Cortical Thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
assymetry_agedifferences;L_bankssts_asy_area.csv;;0.008300774;-0.014869593;0.017668845;;;0.866100318;0.852243288
assymetry_agedifferences;L_caudalanteriorcingulate_asy_area.csv;;0.008084597;-0.018799602;0.012891436;;;0.714815498;0.752469228
assymetry_agedifferences;L_caudalmiddlefrontal_asy_area.csv;;0.011318754;-0.023650076;0.020718623;;;0.896965671;0.04928698
assymetry_agedifferences;L_cuneus_asy_area.csv;;0.008411582;-0.022397322;0.010575472;;;0.482234843;0.711681597
assymetry_agedifferences;L_entorhinal_asy_area.csv;;0.00931041;-0.02346745;0.013028686;;;0.575072733;0.265161223
assymetry_agedifferences;L_fusiform_asy_area.csv;;0.008075633;-0.005407346;0.026248553;;;0.196920114;0.391832601
assymetry_agedifferences;L_inferiorparietal_asy_area.csv;;0.008516663;-0.011294742;0.022089963;;;0.526230537;0.197400576
assymetry_agedifferences;L_inferiortemporal_asy_area.csv;;0.008519191;-0.016384557;0.017010059;;;0.970715157;0.674545356
assymetry_agedifferences;L_isthmuscingulate_asy_area.csv;;0.009858467;-0.013161433;0.025483047;;;0.53201995;0.122640358
assymetry_agedifferences;L_lateraloccipital_asy_area.csv;;0.010506013;-0.019473582;0.021709231;;;0.915266165;0.179990273
assymetry_agedifferences;L_lateralorbitofrontal_asy_area.csv;;0.008997294;-0.016828318;0.018440426;;;0.928614204;0.085238524
assymetry_agedifferences;L_lingual_asy_area.csv;;0.008491485;-0.007349736;0.025936273;;;0.273769893;0.143720675
assymetry_agedifferences;L_medialorbitofrontal_asy_area.csv;;0.011677346;-0.008061236;0.03771312;;;0.204215451;0.003546827
assymetry_agedifferences;L_middletemporal_asy_area.csv;;0.01001971;-0.025613283;0.013663258;;;0.550957542;0.065062022
assymetry_agedifferences;L_parahippocampal_asy_area.csv;;0.008067058;-0.020707848;0.010914437;;;0.543850768;0.422858306
assymetry_agedifferences;L_paracentral_asy_area.csv;;0.010408649;-0.011908122;0.028893034;;;0.414555181;0.022449003
assymetry_agedifferences;L_parsopercularis_asy_area.csv;;0.008070971;-0.022746718;0.008890908;;;0.390686482;0.00756162
assymetry_agedifferences;L_parsorbitalis_asy_area.csv;;0.00805765;-0.002275555;0.029309854;;;0.093434061;0.704149017
assymetry_agedifferences;L_parstriangularis_asy_area.csv;;0.011488736;-0.028835658;0.01619936;;;0.582358554;0.000548912
assymetry_agedifferences;L_pericalcarine_asy_area.csv;;0.008086976;-0.030391205;0.001309159;;;0.072164464;0.35813623
assymetry_agedifferences;L_postcentral_asy_area.csv;;0.008731127;-0.006381795;0.027843595;;;0.219057021;0.397892441
assymetry_agedifferences;L_posteriorcingulate_asy_area.csv;;0.008062051;-0.02105324;0.010549419;;;0.514765063;0.078853294
assymetry_agedifferences;L_precentral_asy_area.csv;;0.009710044;-0.00239999;0.035662684;;;0.086749651;0.21791233
assymetry_agedifferences;L_precuneus_asy_area.csv;;0.008217428;-0.013803309;0.018408418;;;0.779321159;0.659360715
assymetry_agedifferences;L_rostralanteriorcingulate_asy_area.csv;;0.010521684;-0.02931611;0.011928132;;;0.408638156;0.013273029
assymetry_agedifferences;L_rostralmiddlefrontal_asy_area.csv;;0.011019471;-0.013454741;0.029740791;;;0.459927075;0.000122857
assymetry_agedifferences;L_superiorfrontal_asy_area.csv;;0.010756003;-0.026265508;0.015897249;;;0.629823391;0.008989455
assymetry_agedifferences;L_superiorparietal_asy_area.csv;;0.008150722;-0.005462148;0.026488095;;;0.19711276;0.321201216
assymetry_agedifferences;L_superiortemporal_asy_area.csv;;0.009489604;0.003998318;0.041196884;;;0.017251626;0.017400019
assymetry_agedifferences;L_supramarginal_asy_area.csv;;0.012235637;-0.006024902;0.041937913;;;0.142224353;0.0000201442
assymetry_agedifferences;L_frontalpole_asy_area.csv;;0.009390526;-0.010665197;0.026144988;;;0.409812375;0.016626741
assymetry_agedifferences;L_temporalpole_asy_area.csv;;0.008109923;-0.025825864;0.005964449;;;0.220758704;0.486258272
assymetry_agedifferences;L_transversetemporal_asy_area.csv;;0.008077255;-0.016682931;0.014979326;;;0.916013277;0.524278396
assymetry_agedifferences;L_insula_asy_area.csv;;0.008082653;-0.026808322;0.004875096;;;0.17484203;0.050226964
assymetry_agedifferences;R_bankssts_asy_area.csv;;0.008300774;-0.014869593;0.017668845;;;0.866100318;0.852243288
assymetry_agedifferences;R_caudalanteriorcingulate_asy_area.csv;;0.008084597;-0.018799602;0.012891436;;;0.714815498;0.752469228
assymetry_agedifferences;R_caudalmiddlefrontal_asy_area.csv;;0.011318754;-0.023650076;0.020718623;;;0.896965671;0.04928698
assymetry_agedifferences;R_cuneus_asy_area.csv;;0.008411582;-0.022397322;0.010575472;;;0.482234843;0.711681597
assymetry_agedifferences;R_entorhinal_asy_area.csv;;0.00931041;-0.02346745;0.013028686;;;0.575072733;0.265161223
assymetry_agedifferences;R_fusiform_asy_area.csv;;0.008075633;-0.005407346;0.026248553;;;0.196920114;0.391832601
assymetry_agedifferences;R_inferiorparietal_asy_area.csv;;0.008516663;-0.011294742;0.022089963;;;0.526230537;0.197400576
assymetry_agedifferences;R_inferiortemporal_asy_area.csv;;0.008519191;-0.016384557;0.017010059;;;0.970715157;0.674545356
assymetry_agedifferences;R_isthmuscingulate_asy_area.csv;;0.009858467;-0.013161433;0.025483047;;;0.53201995;0.122640358
assymetry_agedifferences;R_lateraloccipital_asy_area.csv;;0.010506013;-0.019473582;0.021709231;;;0.915266165;0.179990273
assymetry_agedifferences;R_lateralorbitofrontal_asy_area.csv;;0.008997294;-0.016828318;0.018440426;;;0.928614204;0.085238524
assymetry_agedifferences;R_lingual_asy_area.csv;;0.008491485;-0.007349736;0.025936273;;;0.273769893;0.143720675
assymetry_agedifferences;R_medialorbitofrontal_asy_area.csv;;0.011677346;-0.008061236;0.03771312;;;0.204215451;0.003546827
assymetry_agedifferences;R_middletemporal_asy_area.csv;;0.01001971;-0.025613283;0.013663258;;;0.550957542;0.065062022
assymetry_agedifferences;R_parahippocampal_asy_area.csv;;0.008067058;-0.020707848;0.010914437;;;0.543850768;0.422858306
assymetry_agedifferences;R_paracentral_asy_area.csv;;0.010408649;-0.011908122;0.028893034;;;0.414555181;0.022449003
assymetry_agedifferences;R_parsopercularis_asy_area.csv;;0.008070971;-0.022746718;0.008890908;;;0.390686482;0.00756162
assymetry_agedifferences;R_parsorbitalis_asy_area.csv;;0.00805765;-0.002275555;0.029309854;;;0.093434061;0.704149017
assymetry_agedifferences;R_parstriangularis_asy_area.csv;;0.011488736;-0.028835658;0.01619936;;;0.582358554;0.000548912
assymetry_agedifferences;R_pericalcarine_asy_area.csv;;0.008086976;-0.030391205;0.001309159;;;0.072164464;0.35813623
assymetry_agedifferences;R_postcentral_asy_area.csv;;0.008731127;-0.006381795;0.027843595;;;0.219057021;0.397892441
assymetry_agedifferences;R_posteriorcingulate_asy_area.csv;;0.008062051;-0.02105324;0.010549419;;;0.514765063;0.078853294
assymetry_agedifferences;R_precentral_asy_area.csv;;0.009710044;-0.00239999;0.035662684;;;0.086749651;0.21791233
assymetry_agedifferences;R_precuneus_asy_area.csv;;0.008217428;-0.013803309;0.018408418;;;0.779321159;0.659360715
assymetry_agedifferences;R_rostralanteriorcingulate_asy_area.csv;;0.010521684;-0.02931611;0.011928132;;;0.408638156;0.013273029
assymetry_agedifferences;R_rostralmiddlefrontal_asy_area.csv;;0.011019471;-0.013454741;0.029740791;;;0.459927075;0.000122857
assymetry_agedifferences;R_superiorfrontal_asy_area.csv;;0.010756003;-0.026265508;0.015897249;;;0.629823391;0.008989455
assymetry_agedifferences;R_superiorparietal_asy_area.csv;;0.008150722;-0.005462148;0.026488095;;;0.19711276;0.321201216
assymetry_agedifferences;R_superiortemporal_asy_area.csv;;0.009489604;0.003998318;0.041196884;;;0.017251626;0.017400019
assymetry_agedifferences;R_supramarginal_asy_area.csv;;0.012235637;-0.006024902;0.041937913;;;0.142224353;0.0000201442
assymetry_agedifferences;R_frontalpole_asy_area.csv;;0.009390526;-0.010665197;0.026144988;;;0.409812375;0.016626741
assymetry_agedifferences;R_temporalpole_asy_area.csv;;0.008109923;-0.025825864;0.005964449;;;0.220758704;0.486258272
assymetry_agedifferences;R_transversetemporal_asy_area.csv;;0.008077255;-0.016682931;0.014979326;;;0.916013277;0.524278396
assymetry_agedifferences;R_insula_asy_area.csv;;0.008082653;-0.026808322;0.004875096;;;0.17484203;0.050226964
