Surface Area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;
assymetry_agedifferences;L_bankssts_asy_area.csv;;0.008339502;0.049227139;-0.032745749;;;-0.0000555004;0.545432429;;;;
assymetry_agedifferences;L_caudalanteriorcingulate_asy_area.csv;;0.008116065;0.520322036;-0.021124601;;;0.010689791;0.875643356;;;;
assymetry_agedifferences;L_caudalmiddlefrontal_asy_area.csv;;0.009266665;0.297085119;-0.027824724;;;0.008499935;0.150901037;;;;
assymetry_agedifferences;L_cuneus_asy_area.csv;;0.008115549;0.955931003;-0.016354653;;;0.015457715;0.594099041;;;;
assymetry_agedifferences;L_entorhinal_asy_area.csv;;0.010213502;0.004459817;0.009025663;;;0.049061853;0.167303324;;;;
assymetry_agedifferences;L_fusiform_asy_area.csv;;0.008143334;0.474486727;-0.021784739;;;0.010136546;0.465183069;;;;
assymetry_agedifferences;L_inferiorparietal_asy_area.csv;;0.008124436;0.066127029;-0.030852752;;;0.00099445;0.160195992;;;;
assymetry_agedifferences;L_inferiortemporal_asy_area.csv;;0.008776173;0.072448275;-0.032965543;;;0.001436424;0.178133288;;;;
assymetry_agedifferences;L_isthmuscingulate_asy_area.csv;;0.008094443;0.058416909;-0.031184007;;;0.000545628;0.107890634;;;;
assymetry_agedifferences;L_lateraloccipital_asy_area.csv;;0.00805705;0.153158521;-0.004282327;;;0.02730073;0.52606914;;;;
assymetry_agedifferences;L_lateralorbitofrontal_asy_area.csv;;0.009840473;0.623392113;-0.024119122;;;0.014454822;0.007405408;;;;
assymetry_agedifferences;L_lingual_asy_area.csv;;0.010660295;0.08614579;-0.039187807;;;0.002599781;0.014119807;;;;
assymetry_agedifferences;L_medialorbitofrontal_asy_area.csv;;0.010518589;0.698151586;-0.01653677;;;0.024695341;0.005978591;;;;
assymetry_agedifferences;L_middletemporal_asy_area.csv;;0.008780766;0.950623899;-0.017753719;;;0.016666251;0.01654268;;;;
assymetry_agedifferences;L_parahippocampal_asy_area.csv;;0.008140117;0.610689504;-0.011810288;;;0.020098383;0.184745847;;;;
assymetry_agedifferences;L_paracentral_asy_area.csv;;0.008658501;0.711781069;-0.020169365;;;0.013771337;0.369120472;;;;
assymetry_agedifferences;L_parsopercularis_asy_area.csv;;0.008284688;0.170785081;-0.004890272;;;0.027585106;0.330751519;;;;
assymetry_agedifferences;L_parsorbitalis_asy_area.csv;;0.008069252;0.226936477;-0.025565423;;;0.006065462;0.274510612;;;;
assymetry_agedifferences;L_parstriangularis_asy_area.csv;;0.010364008;0.921040863;-0.021340391;;;0.019285775;0.0000890221;;;;
assymetry_agedifferences;L_pericalcarine_asy_area.csv;;0.008083582;0.347615795;-0.023435822;;;0.008251236;0.024011643;;;;
