Cortical Thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
assymetry_agedifferences,L_bankssts,0.005032,0.010088844,-0.014742009,0.024805532,,,0.617958948,0.751848483
assymetry_agedifferences,L_caudalanteriorcingulate,0.002388,0.009623256,-0.016473053,0.021249419,,,0.804004544,0.874286705
assymetry_agedifferences,L_caudalmiddlefrontal,0.00819,0.013969522,-0.019189368,0.035570151,,,0.557670979,0.075249827
assymetry_agedifferences,L_cuneus,-0.0093,0.009611841,-0.028135522,0.009542202,,,0.33343953,0.948961406
assymetry_agedifferences,L_entorhinal,-0.01137,0.011342643,-0.033602443,0.010859899,,,0.316090545,0.281366258
assymetry_agedifferences,L_fusiform,0.016591,0.009611307,-0.002247235,0.035428397,,,0.084320004,0.185328807
assymetry_agedifferences,L_inferiorparietal,0.012708,0.010925556,-0.008705201,0.03412219,,,0.244752504,0.140798917
assymetry_agedifferences,L_inferiortemporal,0.006033,0.009704539,-0.012987431,0.025053663,,,0.534152417,0.790495944
assymetry_agedifferences,L_isthmuscingulate,0.012742,0.012263109,-0.011293345,0.036777158,,,0.298784399,0.1021871
assymetry_agedifferences,L_lateraloccipital,-0.00776,0.013117906,-0.033466999,0.017954247,,,0.554331768,0.042507571
assymetry_agedifferences,L_lateralorbitofrontal,0.003672,0.011012454,-0.017912447,0.025255579,,,0.738831431,0.314204104
assymetry_agedifferences,L_lingual,0.019738,0.010898769,-0.00162311,0.041099278,,,0.07013497,0.244306195
assymetry_agedifferences,L_medialorbitofrontal,0.028029,0.013027717,0.002494808,0.053562519,,,0.031439596,0.087151131
assymetry_agedifferences,L_middletemporal,0.0051,0.009905366,-0.0143145,0.02451382,,,0.606666142,0.609270141
assymetry_agedifferences,L_parahippocampal,-0.0066,0.009608667,-0.02543284,0.012232443,,,0.4921454,0.41297712
assymetry_agedifferences,L_paracentral,0.008969,0.013435143,-0.017363215,0.035301579,,,0.504394643,0.027153961
assymetry_agedifferences,L_parsopercularis,-0.00019,0.009593137,-0.018988464,0.018615943,,,0.98450927,0.02705374
assymetry_agedifferences,L_parsorbitalis,0.009883,0.009594301,-0.008921325,0.028687644,,,0.302959645,0.645994338
assymetry_agedifferences,L_parstriangularis,0.003316,0.014895592,-0.025879252,0.032510398,,,0.823856558,0.000714416
assymetry_agedifferences,L_pericalcarine,-0.01469,0.009642903,-0.033587687,0.004211799,,,0.127711939,0.269449823
assymetry_agedifferences,L_postcentral,0.015228,0.010306281,-0.004971526,0.035428353,,,0.139518696,0.604579783
assymetry_agedifferences,L_posteriorcingulate,-0.00049,0.009589564,-0.019285625,0.018304774,,,0.959212707,0.389059193
assymetry_agedifferences,L_precentral,0.022745,0.011996985,-0.000768312,0.046259006,,,0.057970374,0.214199632
