Cortical Thickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
assymetry_handednessdifferences,L_bankssts,0.036644735,0.059576573,-0.080123202,0.153412672,,,0.538497718,0.677960132
assymetry_handednessdifferences,L_caudalanteriorcingulate,-0.066957676,0.059408799,-0.183396782,0.04948143,,,0.259714299,0.972092997
assymetry_handednessdifferences,L_caudalmiddlefrontal,0.046380768,0.057847265,-0.066997787,0.159759324,,,0.422680345,0.985162988
assymetry_handednessdifferences,L_cuneus,0.007945905,0.058432002,-0.106578714,0.122470524,,,0.891832746,0.737025018
assymetry_handednessdifferences,L_entorhinal,0.005137719,0.059643222,-0.111760847,0.122036286,,,0.931354428,0.991222668
assymetry_handednessdifferences,L_fusiform,-0.099319546,0.058755948,-0.214479088,0.015839995,,,0.090956362,0.989853849
assymetry_handednessdifferences,L_inferiorparietal,-0.044572511,0.057963687,-0.15817925,0.069034229,,,0.441909336,0.707278897
assymetry_handednessdifferences,L_inferiortemporal,0.002916114,0.059429104,-0.113562789,0.119395017,,,0.960864481,0.830764956
assymetry_handednessdifferences,L_isthmuscingulate,0.025696343,0.057805026,-0.087599425,0.138992112,,,0.656656,0.965518796
assymetry_handednessdifferences,L_lateraloccipital,0.006384661,0.058559157,-0.108389176,0.121158499,,,0.913179283,0.995741326
assymetry_handednessdifferences,L_lateralorbitofrontal,-0.084144333,0.058017884,-0.197857296,0.029568631,,,0.146970097,0.975845245
assymetry_handednessdifferences,L_lingual,-0.023426545,0.058822202,-0.138715941,0.091862852,,,0.690438358,0.829271448
assymetry_handednessdifferences,L_medialorbitofrontal,-0.047552016,0.058576538,-0.162359922,0.067255889,,,0.416910491,0.989131122
assymetry_handednessdifferences,L_middletemporal,-0.068627729,0.059272739,-0.184800164,0.047544705,,,0.246933602,0.945038525
assymetry_handednessdifferences,L_parahippocampal,0.018764382,0.058623482,-0.096135531,0.133664296,,,0.748905382,0.803873728
assymetry_handednessdifferences,L_paracentral,-0.026198098,0.058703326,-0.141254502,0.088858306,,,0.655395271,0.912824586
assymetry_handednessdifferences,L_parsopercularis,0.070738815,0.058052673,-0.043042333,0.184519963,,,0.223023343,0.514820322
assymetry_handednessdifferences,L_parsorbitalis,0.072848021,0.057913928,-0.040661192,0.186357235,,,0.208439848,0.792306763
assymetry_handednessdifferences,L_parstriangularis,-0.020634266,0.059231673,-0.136726211,0.09545768,,,0.727565778,0.982523015
assymetry_handednessdifferences,L_pericalcarine,0.000158833,0.059798745,-0.117044555,0.11736222,,,0.997880724,0.830897436
assymetry_handednessdifferences,L_postcentral,0.089224581,0.058764523,-0.025951768,0.204400931,,,0.128928473,0.964665351
assymetry_handednessdifferences,L_posteriorcingulate,-0.085158958,0.059381268,-0.201544104,0.031226189,,,0.151542376,0.649634731
assymetry_handednessdifferences,L_precentral,0.072147999,0.058614466,-0.042734244,0.187030241,,,0.218363765,0.930307667
assymetry_handednessdifferences,L_precuneus,-0.023306432,0.058012105,-0.137008068,0.090395203,,,0.687867144,0.999098285
assymetry_handednessdifferences,L_rostralanteriorcingulate,0.014333489,0.058545433,-0.10041345,0.129080429,,,0.806590565,0.929824408
assymetry_handednessdifferences,L_rostralmiddlefrontal,0.049719378,0.065965723,-0.079571064,0.17900982,,,0.451020165,0.601084853
assymetry_handednessdifferences,L_superiorfrontal,-0.069592018,0.059606825,-0.186419248,0.047235212,,,0.243001399,0.82520717
assymetry_handednessdifferences,L_superiorparietal,0.020855391,0.058596619,-0.093991871,0.135702653,,,0.721904533,0.93143216
assymetry_handednessdifferences,L_superiortemporal,-0.008014527,0.060612982,-0.126813788,0.110784733,,,0.894806642,0.852112139
assymetry_handednessdifferences,L_supramarginal,0.082224295,0.058710818,-0.032846794,0.197295383,,,0.161364693,0.960130768
assymetry_handednessdifferences,L_frontalpole,-0.015481153,0.057928042,-0.129018028,0.098055722,,,0.789278223,0.993784709
assymetry_handednessdifferences,L_temporalpole,-0.093166584,0.058670002,-0.208157675,0.021824507,,,0.112291656,0.952094779
