Cortical Thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;
assymetry_sexdifferences;L_bankssts_asy_area.csv;;0.018583565;-0.040799152;0.032047084;;;0.813837189;0.346355842;;;;
assymetry_sexdifferences;L_caudalanteriorcingulate_asy_area.csv;;0.018958559;-0.048972761;0.025343425;;;0.533163715;0.227008276;;;;
assymetry_sexdifferences;L_caudalmiddlefrontal_asy_area.csv;;0.019372909;-0.00663622;0.069304187;;;0.105789288;0.183112914;;;;
assymetry_sexdifferences;L_cuneus_asy_area.csv;;0.016359515;0.012632587;0.076760707;;;0.00629225;0.897732333;;;;
assymetry_sexdifferences;L_entorhinal_asy_area.csv;;0.020505135;0.032926281;0.113304933;;;0.000362856;0.075245299;;;;
assymetry_sexdifferences;L_fusiform_asy_area.csv;;0.016657013;-0.070279829;-0.004985538;;;0.023866617;0.320523382;;;;
assymetry_sexdifferences;L_inferiorparietal_asy_area.csv;;0.022919148;-0.100162827;-0.010321419;;;0.015939214;0.007323008;;;;
assymetry_sexdifferences;L_inferiortemporal_asy_area.csv;;0.021657743;-0.017346281;0.067550513;;;0.246441285;0.023593149;;;;
assymetry_sexdifferences;L_isthmuscingulate_asy_area.csv;;0.019877572;0.006729518;0.084648169;;;0.021532649;0.182893982;;;;
assymetry_sexdifferences;L_lateraloccipital_asy_area.csv;;0.018936712;-0.03740824;0.036822306;;;0.987656546;0.024731095;;;;
assymetry_sexdifferences;L_lateralorbitofrontal_asy_area.csv;;0.022783098;-0.032313476;0.056994626;;;0.588056308;0.000975867;;;;
assymetry_sexdifferences;L_lingual_asy_area.csv;;0.016784322;-0.024214062;0.041579271;;;0.604943659;0.3088949;;;;
assymetry_sexdifferences;L_medialorbitofrontal_asy_area.csv;;0.023366059;0.025211073;0.116804341;;;0.002374238;0.014117791;;;;
assymetry_sexdifferences;L_middletemporal_asy_area.csv;;0.022862104;-0.023779438;0.065838362;;;0.357656739;0.024801236;;;;
assymetry_sexdifferences;L_parahippocampal_asy_area.csv;;0.018000419;0.029728776;0.100289124;;;0.000304403;0.185235777;;;;
