Surface Area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;
cortsurf_assymetry;L_bankssts_asy_area.csv;;0.025685573;0.532581327;0.633266922;;;5.0639E-114;3.03128E-77;;;;;;;
cortsurf_assymetry;L_caudalanteriorcingulate_asy_area.csv;;0.021471902;-0.764678197;-0.680509886;;;2.8178E-248;1.21408E-87;;;;;;;
cortsurf_assymetry;L_caudalmiddlefrontal_asy_area.csv;;0.020469061;0.472652103;0.552889347;;;1.702E-138;1.19456E-60;;;;;;;
cortsurf_assymetry;L_cuneus_asy_area.csv;;0.024712902;-0.422580282;-0.325707486;;;8.87283E-52;2.019E-119;;;;;;;
cortsurf_assymetry;L_entorhinal_asy_area.csv;;0.02660294;0.742540825;0.846822435;;;4.555E-196;6.13519E-82;;;;;;;
cortsurf_assymetry;L_fusiform_asy_area.csv;;0.015469872;0.300328889;0.360969675;;;2.3449E-101;1.48407E-30;;;;;;;
cortsurf_assymetry;L_inferiorparietal_asy_area.csv;;0.031578114;-1.618904529;-1.495120598;;;0;1.7428E-168;;;;;;;
cortsurf_assymetry;L_inferiortemporal_asy_area.csv;;0.018632864;0.446551295;0.519590779;;;3.4135E-148;9.98508E-39;;;;;;;
cortsurf_assymetry;L_isthmuscingulate_asy_area.csv;;0.020062972;0.398633369;0.477278776;;;1.2289E-105;3.21594E-77;;;;;;;
cortsurf_assymetry;L_lateraloccipital_asy_area.csv;;0.012459212;0.274639308;0.323478523;;;2.5851E-127;0.0000000415461;;;;;;;
cortsurf_assymetry;L_lateralorbitofrontal_asy_area.csv;;0.040009424;0.08787217;0.244706229;;;0.0000323513;9.3346E-261;;;;;;;
cortsurf_assymetry;L_lingual_asy_area.csv;;0.022383691;-0.09627651;-0.008534053;;;0.019220525;4.55383E-97;;;;;;;
cortsurf_assymetry;L_medialorbitofrontal_asy_area.csv;;0.03609843;-0.044079182;0.097424063;;;0.459979323;1.0241E-247;;;;;;;
cortsurf_assymetry;L_middletemporal_asy_area.csv;;0.024898119;-1.149467135;-1.051868302;;;0;1.7479E-102;;;;;;;
cortsurf_assymetry;L_parahippocampal_asy_area.csv;;0.017383474;0.266870489;0.335012454;;;3.82383E-67;4.90937E-30;;;;;;;
cortsurf_assymetry;L_paracentral_asy_area.csv;;0.018054226;-1.03798491;-0.967213643;;;0;2.73044E-19;;;;;;;
cortsurf_assymetry;L_parsopercularis_asy_area.csv;;0.014155553;1.050897699;1.106386447;;;0;0.000316623;;;;;;;
cortsurf_assymetry;L_parsorbitalis_asy_area.csv;;0.021358599;-1.787562836;-1.703838666;;;0;0.00000000000741806;;;;;;;
cortsurf_assymetry;L_parstriangularis_asy_area.csv;;0.015270841;-1.028704308;-0.968843713;;;0;0.000000269315;;;;;;;
