Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,,,,,,,
cortsurf_assymetry,L_bankssts,0.582924,0.025685573,0.532581327,0.633266922,,,5.0639E-114,3.03128E-77,,,,,,,
cortsurf_assymetry,L_caudalanteriorcingulate,-0.72259,0.021471902,-0.764678197,-0.680509886,,,2.8178E-248,1.21408E-87,,,,,,,
cortsurf_assymetry,L_caudalmiddlefrontal,0.512771,0.020469061,0.472652103,0.552889347,,,1.702E-138,1.19456E-60,,,,,,,
cortsurf_assymetry,L_cuneus,-0.37414,0.024712902,-0.422580282,-0.325707486,,,8.87283E-52,2.019E-119,,,,,,,
cortsurf_assymetry,L_entorhinal,0.794682,0.02660294,0.742540825,0.846822435,,,4.555E-196,6.13519E-82,,,,,,,
cortsurf_assymetry,L_fusiform,0.330649,0.015469872,0.300328889,0.360969675,,,2.3449E-101,1.48407E-30,,,,,,,
cortsurf_assymetry,L_inferiorparietal,-1.55701,0.031578114,-1.618904529,-1.495120598,,,0,1.7428E-168,,,,,,,
cortsurf_assymetry,L_inferiortemporal,0.483071,0.018632864,0.446551295,0.519590779,,,3.4135E-148,9.98508E-39,,,,,,,
cortsurf_assymetry,L_isthmuscingulate,0.437956,0.020062972,0.398633369,0.477278776,,,1.2289E-105,3.21594E-77,,,,,,,
cortsurf_assymetry,L_lateraloccipital,0.299059,0.012459212,0.274639308,0.323478523,,,2.5851E-127,0.0000000415461,,,,,,,
cortsurf_assymetry,L_lateralorbitofrontal,0.166289,0.040009424,0.08787217,0.244706229,,,0.0000323513,9.3346E-261,,,,,,,
cortsurf_assymetry,L_lingual,-0.05241,0.022383691,-0.09627651,-0.008534053,,,0.019220525,4.55383E-97,,,,,,,
cortsurf_assymetry,L_medialorbitofrontal,0.026672,0.03609843,-0.044079182,0.097424063,,,0.459979323,1.0241E-247,,,,,,,
cortsurf_assymetry,L_middletemporal,-1.10067,0.024898119,-1.149467135,-1.051868302,,,0,1.7479E-102,,,,,,,
cortsurf_assymetry,L_parahippocampal,0.300941,0.017383474,0.266870489,0.335012454,,,3.82383E-67,4.90937E-30,,,,,,,
cortsurf_assymetry,L_paracentral,-1.0026,0.018054226,-1.03798491,-0.967213643,,,0,2.73044E-19,,,,,,,
cortsurf_assymetry,L_parsopercularis,1.078642,0.014155553,1.050897699,1.106386447,,,0,0.000316623,,,,,,,
cortsurf_assymetry,L_parsorbitalis,-1.7457,0.021358599,-1.787562836,-1.703838666,,,0,0.00000000000741806,,,,,,,
cortsurf_assymetry,L_parstriangularis,-0.99877,0.015270841,-1.028704308,-0.968843713,,,0,0.000000269315,,,,,,,
cortsurf_assymetry,L_pericalcarine,-0.94497,0.027300705,-0.998475111,-0.891458314,,,1.5954E-262,4.6194E-171,,,,,,,
cortsurf_assymetry,L_postcentral,0.480663,0.023197492,0.435197048,0.526129543,,,2.26389E-95,2.7471E-117,,,,,,,
cortsurf_assymetry,L_posteriorcingulate,-0.13458,0.015542471,-0.165039531,-0.104114164,,,4.77376E-18,4.67147E-27,,,,,,,"Meyer et al., 2014 CC"
cortsurf_assymetry,L_precentral,-0.11591,0.01467504,-0.144670863,-0.087145762,,,2.82665E-15,1.35928E-15,,,,,,,
cortsurf_assymetry,L_precuneus,-0.585,0.016128666,-0.616609559,-0.553386349,,,4.6892E-288,2.25973E-22,,,,,,,
cortsurf_assymetry,L_rostralanteriorcingulate,1.017766,0.026869973,0.965101635,1.070429994,,,0,3.6242E-125,,,,,,,
cortsurf_assymetry,L_rostralmiddlefrontal,-0.40675,0.019521498,-0.445007797,-0.368484932,,,2.04986E-96,1.46605E-68,,,,,,,
cortsurf_assymetry,L_superiorfrontal,0.417525,0.014078696,0.389931166,0.445118642,,,2.7961E-193,0.000000131159,,,,,,,
cortsurf_assymetry,L_superiorparietal,-0.00197,0.013677577,-0.028780839,0.024834276,,,0.885286252,0.0000000000207888,,,,,,,
cortsurf_assymetry,L_superiortemporal,0.592628,0.019459942,0.554487345,0.630768918,,,1.0686E-203,2.81247E-36,,,,,,,
cortsurf_assymetry,L_supramarginal,0.414185,0.025153531,0.364885314,0.463485343,,,6.4082E-61,2.3045E-153,,,,,,,
cortsurf_assymetry,L_frontalpole,-1.63319,0.022625595,-1.677537545,-1.588846843,,,0,1.84426E-16,,,,,,,
cortsurf_assymetry,L_temporalpole,0.869906,0.022930815,0.824962705,0.914849847,,,0,3.68658E-82,,,,,,,
cortsurf_assymetry,L_transversetemporal,1.75942,0.023760733,1.712849326,1.805989689,,,0,4.85791E-29,,,,,,,
cortsurf_assymetry,L_insula,-0.18423,0.027439589,-0.23801478,-0.130453568,,,0.0000000000189134,9.5324E-148,,,,,,,
cortsurf_assymetry,R_bankssts,0.582924,0.025685573,0.532581327,0.633266922,,,5.0639E-114,3.03128E-77,,,,,,,
cortsurf_assymetry,R_caudalanteriorcingulate,-0.72259,0.021471902,-0.764678197,-0.680509886,,,2.8178E-248,1.21408E-87,,,,,,,
cortsurf_assymetry,R_caudalmiddlefrontal,0.512771,0.020469061,0.472652103,0.552889347,,,1.702E-138,1.19456E-60,,,,,,,
cortsurf_assymetry,R_cuneus,-0.37414,0.024712902,-0.422580282,-0.325707486,,,8.87283E-52,2.019E-119,,,,,,,
cortsurf_assymetry,R_entorhinal,0.794682,0.02660294,0.742540825,0.846822435,,,4.555E-196,6.13519E-82,,,,,,,
cortsurf_assymetry,R_fusiform,0.330649,0.015469872,0.300328889,0.360969675,,,2.3449E-101,1.48407E-30,,,,,,,
cortsurf_assymetry,R_inferiorparietal,-1.55701,0.031578114,-1.618904529,-1.495120598,,,0,1.7428E-168,,,,,,,
cortsurf_assymetry,R_inferiortemporal,0.483071,0.018632864,0.446551295,0.519590779,,,3.4135E-148,9.98508E-39,,,,,,,
cortsurf_assymetry,R_isthmuscingulate,0.437956,0.020062972,0.398633369,0.477278776,,,1.2289E-105,3.21594E-77,,,,,,,
cortsurf_assymetry,R_lateraloccipital,0.299059,0.012459212,0.274639308,0.323478523,,,2.5851E-127,0.0000000415461,,,,,,,
cortsurf_assymetry,R_lateralorbitofrontal,0.166289,0.040009424,0.08787217,0.244706229,,,0.0000323513,9.3346E-261,,,,,,,
cortsurf_assymetry,R_lingual,-0.05241,0.022383691,-0.09627651,-0.008534053,,,0.019220525,4.55383E-97,,,,,,,
cortsurf_assymetry,R_medialorbitofrontal,0.026672,0.03609843,-0.044079182,0.097424063,,,0.459979323,1.0241E-247,,,,,,,
cortsurf_assymetry,R_middletemporal,-1.10067,0.024898119,-1.149467135,-1.051868302,,,0,1.7479E-102,,,,,,,
cortsurf_assymetry,R_parahippocampal,0.300941,0.017383474,0.266870489,0.335012454,,,3.82383E-67,4.90937E-30,,,,,,,
cortsurf_assymetry,R_paracentral,-1.0026,0.018054226,-1.03798491,-0.967213643,,,0,2.73044E-19,,,,,,,
cortsurf_assymetry,R_parsopercularis,1.078642,0.014155553,1.050897699,1.106386447,,,0,0.000316623,,,,,,,
cortsurf_assymetry,R_parsorbitalis,-1.7457,0.021358599,-1.787562836,-1.703838666,,,0,0.00000000000741806,,,,,,,
cortsurf_assymetry,R_parstriangularis,-0.99877,0.015270841,-1.028704308,-0.968843713,,,0,0.000000269315,,,,,,,
cortsurf_assymetry,R_pericalcarine,-0.94497,0.027300705,-0.998475111,-0.891458314,,,1.5954E-262,4.6194E-171,,,,,,,
