SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs          ,fdr_p
anorexia_acANvscontrols,L_bankssts,-0.15401,0.08455,-0.31973,0.011701,398,224,0.068519,0.104268
anorexia_acANvscontrols,L_caudalanteriorcingulate,-0.08518,0.084301,-0.25041,0.080049,398,224,0.312301,0.352598
anorexia_acANvscontrols,L_caudalmiddlefrontal,-0.1981,0.084455,-0.36363,-0.03257,398,224,0.018997,0.041557
anorexia_acANvscontrols,L_cuneus,-0.17911,0.084377,-0.34448,-0.01373,398,224,0.033778,0.064247
anorexia_acANvscontrols,L_entorhinal,-0.16147,0.084461,-0.32701,0.004066,398,224,0.055899,0.091757
anorexia_acANvscontrols,L_fusiform,-0.21925,0.084549,-0.38497,-0.05354,398,224,0.009509,0.024652
anorexia_acANvscontrols,L_inferiorparietal,-0.29417,0.084795,-0.46036,-0.12797,398,224,0.000522,0.003655
anorexia_acANvscontrols,L_inferiortemporal,-0.11066,0.084327,-0.27594,0.054614,398,224,0.18941,0.228599
anorexia_acANvscontrols,L_isthmuscingulate,0.003381,0.084228,-0.1617,0.168465,398,224,0.967978,0.967978
anorexia_acANvscontrols,L_lateraloccipital,-0.19967,0.084424,-0.36513,-0.0342,398,224,0.018028,0.040709
anorexia_acANvscontrols,L_lateralorbitofrontal,-0.16474,0.084423,-0.33021,0.000722,398,224,0.051009,0.089265
anorexia_acANvscontrols,L_lingual,-0.20214,0.084499,-0.36776,-0.03652,398,224,0.016747,0.039077
anorexia_acANvscontrols,L_medialorbitofrontal,-0.02935,0.084247,-0.19447,0.135775,398,224,0.727588,0.748988
anorexia_acANvscontrols,L_middletemporal,-0.15731,0.084345,-0.32263,0.007999,398,224,0.062163,0.096698
anorexia_acANvscontrols,L_parahippocampal,-0.01592,0.21009,-0.42768,0.395852,398,224,0.939612,0.95323
anorexia_acANvscontrols,L_paracentral,-0.46094,0.085309,-0.62814,-0.29373,398,224,0.0000000655,0.00000458
anorexia_acANvscontrols,L_parsopercularis,-0.25427,0.084551,-0.41999,-0.08856,398,224,0.002635,0.009709
anorexia_acANvscontrols,L_parsorbitalis,-0.22642,0.084522,-0.39208,-0.06076,398,224,0.007389,0.020688
anorexia_acANvscontrols,L_parstriangularis,-0.19612,0.212741,-0.61309,0.220843,398,224,0.356591,0.390021
anorexia_acANvscontrols,L_pericalcarine,-0.17894,0.084386,-0.34434,-0.01355,398,224,0.033959,0.064247
anorexia_acANvscontrols,L_postcentral,-0.28262,0.08473,-0.44869,-0.11656,398,224,0.000851,0.004583
anorexia_acANvscontrols,L_posteriorcingulate,-0.14706,0.084368,-0.31241,0.018301,398,224,0.081325,0.118599
anorexia_acANvscontrols,L_precentral,-0.30638,0.084788,-0.47256,-0.1402,398,224,0.000302,0.003021
anorexia_acANvscontrols,L_precuneus,-0.27146,0.084577,-0.43722,-0.10569,398,224,0.001329,0.005937
anorexia_acANvscontrols,L_rostralanteriorcingulate,-0.14763,0.084338,-0.31293,0.017665,398,224,0.080031,0.118599
anorexia_acANvscontrols,L_rostralmiddlefrontal,-0.08366,0.084302,-0.24888,0.081573,398,224,0.321033,0.356704
anorexia_acANvscontrols,L_superiorfrontal,-0.33261,0.084854,-0.49892,-0.1663,398,224,0.0000886,0.001924
anorexia_acANvscontrols,L_superiorparietal,-0.23892,0.084623,-0.40477,-0.07306,398,224,0.004753,0.015124
anorexia_acANvscontrols,L_superiortemporal,-0.2863,0.084641,-0.4522,-0.12041,398,224,0.000718,0.004189
anorexia_acANvscontrols,L_supramarginal,-0.13618,0.084484,-0.30176,0.029407,398,224,0.106987,0.14402
anorexia_acANvscontrols,L_frontalpole,-0.14106,0.084387,-0.30645,0.024337,398,224,0.09461,0.132454
anorexia_acANvscontrols,L_temporalpole,-0.18384,0.084414,-0.34929,-0.01839,398,224,0.029417,0.058835
anorexia_acANvscontrols,L_transversetemporal,-0.3253,0.084756,-0.49142,-0.15918,398,224,0.000124,0.001924
anorexia_acANvscontrols,L_insula,-0.24929,0.084599,-0.4151,-0.08348,398,224,0.003211,0.011239
anorexia_acANvscontrols,R_bankssts,-0.15983,0.084327,-0.32511,0.00545,398,224,0.058048,0.092349
anorexia_acANvscontrols,R_caudalanteriorcingulate,-0.10763,0.084307,-0.27287,0.057607,398,224,0.201724,0.239334
anorexia_acANvscontrols,R_caudalmiddlefrontal,-0.16116,0.084457,-0.32669,0.004372,398,224,0.056365,0.091757
anorexia_acANvscontrols,R_cuneus,-0.25748,0.084542,-0.42318,-0.09178,398,224,0.002322,0.009032
anorexia_acANvscontrols,R_entorhinal,-0.03606,0.084243,-0.20117,0.129058,398,224,0.668658,0.709182
anorexia_acANvscontrols,R_fusiform,-0.10184,0.084326,-0.26711,0.063437,398,224,0.227171,0.265033
anorexia_acANvscontrols,R_inferiorparietal,-0.22402,0.084482,-0.38961,-0.05844,398,224,0.008008,0.021559
anorexia_acANvscontrols,R_inferiortemporal,-0.17057,0.08443,-0.33605,-0.00509,398,224,0.043352,0.077812
anorexia_acANvscontrols,R_isthmuscingulate,-0.05236,0.084251,-0.21749,0.11277,398,224,0.534295,0.575395
anorexia_acANvscontrols,R_lateraloccipital,-0.17365,0.084409,-0.33909,-0.00821,398,224,0.039663,0.073063
anorexia_acANvscontrols,R_lateralorbitofrontal,-0.19601,0.084466,-0.36157,-0.03046,398,224,0.020307,0.043075
anorexia_acANvscontrols,R_lingual,-0.27523,0.084627,-0.4411,-0.10937,398,224,0.001145,0.005724
anorexia_acANvscontrols,R_medialorbitofrontal,-0.13728,0.084312,-0.30252,0.027973,398,224,0.103485,0.142038
anorexia_acANvscontrols,R_middletemporal,-0.26902,0.084677,-0.43498,-0.10305,398,224,0.001488,0.006128
anorexia_acANvscontrols,R_parahippocampal,-0.095,0.084302,-0.26023,0.070227,398,224,0.259772,0.298099
anorexia_acANvscontrols,R_paracentral,-0.28783,0.084739,-0.45391,-0.12174,398,224,0.000682,0.004189
anorexia_acANvscontrols,R_parsopercularis,-0.134,0.08433,-0.29928,0.031283,398,224,0.11206,0.14624
anorexia_acANvscontrols,R_parsorbitalis,-0.11493,0.084321,-0.28019,0.050337,398,224,0.172884,0.216105
anorexia_acANvscontrols,R_parstriangularis,-0.22707,0.084485,-0.39266,-0.06149,398,224,0.007194,0.020688
anorexia_acANvscontrols,R_pericalcarine,-0.20748,0.08442,-0.37294,-0.04202,398,224,0.013982,0.034955
anorexia_acANvscontrols,R_postcentral,-0.18876,0.084482,-0.35434,-0.02318,398,224,0.02546,0.052418
anorexia_acANvscontrols,R_posteriorcingulate,-0.11105,0.084384,-0.27644,0.054337,398,224,0.188162,0.228599
anorexia_acANvscontrols,R_precentral,-0.30119,0.084706,-0.46721,-0.13517,398,224,0.000377,0.003099
anorexia_acANvscontrols,R_precuneus,-0.20542,0.084437,-0.37092,-0.03993,398,224,0.01498,0.036158
anorexia_acANvscontrols,R_rostralanteriorcingulate,-0.11844,0.084393,-0.28384,0.046972,398,224,0.160504,0.204278
anorexia_acANvscontrols,R_rostralmiddlefrontal,-0.16133,0.084367,-0.32668,0.004027,398,224,0.055847,0.091757
anorexia_acANvscontrols,R_superiorfrontal,-0.2372,0.084508,-0.40284,-0.07157,398,224,0.005003,0.015225
anorexia_acANvscontrols,R_superiorparietal,-0.34755,0.084805,-0.51377,-0.18134,398,224,0.0000416,0.001457
anorexia_acANvscontrols,R_superiortemporal,-0.30004,0.084731,-0.46611,-0.13397,398,224,0.000398,0.003099
anorexia_acANvscontrols,R_supramarginal,-0.24637,0.084655,-0.41229,-0.08044,398,224,0.003612,0.012039
anorexia_acANvscontrols,R_frontalpole,-0.145,0.084486,-0.31059,0.020587,398,224,0.086109,0.123014
anorexia_acANvscontrols,R_temporalpole,-0.02978,0.084445,-0.19529,0.135726,398,224,0.724315,0.748988
anorexia_acANvscontrols,R_transversetemporal,-0.27131,0.084687,-0.43729,-0.10532,398,224,0.001357,0.005937
anorexia_acANvscontrols,R_insula,-0.13383,0.0844,-0.29925,0.03159,398,224,0.112814,0.14624
