SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_acANvscontrols,L_bankssts,-0.03153,0.084537,-0.19722,0.13416,398,224,0.709175,0.852784
anorexia_acANvscontrols,L_caudalanteriorcingulate,0.084101,0.084284,-0.08109,0.249295,398,224,0.318363,0.801802
anorexia_acANvscontrols,L_caudalmiddlefrontal,-0.02931,0.084335,-0.1946,0.135984,398,224,0.728193,0.852784
anorexia_acANvscontrols,L_cuneus,-0.02336,0.084304,-0.1886,0.14187,398,224,0.78168,0.852784
anorexia_acANvscontrols,L_entorhinal,-0.05066,0.084395,-0.21607,0.114753,398,224,0.548341,0.820171
anorexia_acANvscontrols,L_fusiform,-0.0168,0.084306,-0.18204,0.148432,398,224,0.842012,0.894638
anorexia_acANvscontrols,L_inferiorparietal,-0.1144,0.084476,-0.27997,0.051173,398,224,0.175673,0.796383
anorexia_acANvscontrols,L_inferiortemporal,0.150976,0.084352,-0.01435,0.316303,398,224,0.073481,0.555187
anorexia_acANvscontrols,L_isthmuscingulate,0.220016,0.08448,0.05444,0.385593,398,224,0.009204,0.158184
anorexia_acANvscontrols,L_lateraloccipital,0.002075,0.084252,-0.16305,0.167205,398,224,0.980349,0.980349
anorexia_acANvscontrols,L_lateralorbitofrontal,0.106909,0.084371,-0.05845,0.272272,398,224,0.205108,0.797832
anorexia_acANvscontrols,L_lingual,-0.02409,0.084339,-0.1894,0.141208,398,224,0.775121,0.852784
anorexia_acANvscontrols,L_medialorbitofrontal,0.219676,0.08447,0.054118,0.385234,398,224,0.009305,0.158184
anorexia_acANvscontrols,L_middletemporal,0.086398,0.084237,-0.0787,0.251499,398,224,0.305053,0.797832
anorexia_acANvscontrols,L_parahippocampal,0.145244,0.238616,-0.32243,0.612923,398,224,0.542727,0.820171
anorexia_acANvscontrols,L_paracentral,-0.3404,0.084854,-0.50671,-0.17409,398,224,0.0000603,0.0041
