SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_acANvscontrols,L_bankssts,-0.82267,0.088266,-0.99567,-0.64967,398,224,0.0000000000000000000116,0.00000000000000000027
anorexia_acANvscontrols,L_caudalanteriorcingulate,-0.06595,0.084365,-0.23131,0.099401,398,224,0.434365,0.467777
anorexia_acANvscontrols,L_caudalmiddlefrontal,-0.60007,0.358414,-1.30255,0.102411,398,224,0.094085,0.129136
anorexia_acANvscontrols,L_cuneus,-0.79415,0.125471,-1.04007,-0.54823,398,224,0.000000000246,0.00000000115
anorexia_acANvscontrols,L_entorhinal,0.075311,0.084261,-0.08984,0.24046,398,224,0.371441,0.419368
anorexia_acANvscontrols,L_fusiform,-0.48846,0.285412,-1.04786,0.070934,398,224,0.087001,0.121802
anorexia_acANvscontrols,L_inferiorparietal,-0.74353,0.470666,-1.66602,0.178957,398,224,0.114166,0.147992
anorexia_acANvscontrols,L_inferiortemporal,-0.56842,0.174231,-0.9099,-0.22693,398,224,0.001105,0.00239
anorexia_acANvscontrols,L_isthmuscingulate,-0.79563,0.087325,-0.96678,-0.62448,398,224,0.0000000000000000000815,0.00000000000000000143
anorexia_acANvscontrols,L_lateraloccipital,-0.81941,0.244448,-1.29852,-0.3403,398,224,0.000802,0.001811
anorexia_acANvscontrols,L_lateralorbitofrontal,-0.55448,0.085971,-0.72298,-0.38598,398,224,0.000000000112,0.000000000561
anorexia_acANvscontrols,L_lingual,-0.83172,0.176082,-1.17684,-0.48661,398,224,0.00000232,0.00000706
anorexia_acANvscontrols,L_medialorbitofrontal,-0.4677,0.085727,-0.63572,-0.29967,398,224,0.0000000488,0.00000019
anorexia_acANvscontrols,L_middletemporal,-0.72699,0.087482,-0.89845,-0.55553,398,224,0.0000000000000000956,0.00000000000000102
anorexia_acANvscontrols,L_parahippocampal,-0.31665,0.084868,-0.48299,-0.15031,398,224,0.000191,0.000445
anorexia_acANvscontrols,L_paracentral,-0.61922,0.342154,-1.28983,0.051384,398,224,0.070329,0.106292
anorexia_acANvscontrols,L_parsopercularis,-0.66639,0.086609,-0.83614,-0.49664,398,224,0.0000000000000142,0.0000000000000996
anorexia_acANvscontrols,L_parsorbitalis,-0.51978,0.085938,-0.68821,-0.35134,398,224,0.00000000146,0.0000000064
anorexia_acANvscontrols,L_parstriangularis,-0.71011,0.158797,-1.02135,-0.39887,398,224,0.00000776,0.0000226
anorexia_acANvscontrols,L_pericalcarine,-0.6087,0.114824,-0.83375,-0.38365,398,224,0.000000115,0.000000424
anorexia_acANvscontrols,L_postcentral,-0.59168,0.367507,-1.31198,0.128621,398,224,0.107402,0.144579
anorexia_acANvscontrols,L_posteriorcingulate,-0.69651,0.086768,-0.86657,-0.52645,398,224,0.000000000000000997,0.00000000000000872
anorexia_acANvscontrols,L_precentral,-0.47296,0.329652,-1.11907,0.173144,398,224,0.151364,0.18823
anorexia_acANvscontrols,L_precuneus,-0.95184,0.231783,-1.40612,-0.49755,398,224,0.0000402,0.000108
anorexia_acANvscontrols,L_rostralanteriorcingulate,-0.1974,0.084739,-0.36348,-0.03131,398,224,0.019833,0.036535
anorexia_acANvscontrols,L_rostralmiddlefrontal,-0.32112,0.386197,-1.07805,0.43581,398,224,0.405693,0.447303
anorexia_acANvscontrols,L_superiorfrontal,-0.87302,0.43957,-1.73456,-0.01148,398,224,0.047025,0.076552
anorexia_acANvscontrols,L_superiorparietal,-0.83515,0.40144,-1.62196,-0.04835,398,224,0.037489,0.065606
anorexia_acANvscontrols,L_superiortemporal,-0.60593,0.086441,-0.77536,-0.43651,398,224,0.00000000000239,0.0000000000152
anorexia_acANvscontrols,L_supramarginal,-0.66288,0.380208,-1.40807,0.082314,398,224,0.081252,0.116075
anorexia_acANvscontrols,L_frontalpole,-0.32861,0.084837,-0.49489,-0.16233,398,224,0.000107,0.000259
anorexia_acANvscontrols,L_temporalpole,0.211365,0.084626,0.045501,0.377229,398,224,0.012502,0.02431
anorexia_acANvscontrols,L_transversetemporal,-0.27694,0.085034,-0.4436,-0.11027,398,224,0.001127,0.00239
anorexia_acANvscontrols,L_insula,-0.41122,0.085225,-0.57826,-0.24418,398,224,0.0000014,0.00000466
anorexia_acANvscontrols,R_bankssts,-0.68018,0.288956,-1.24652,-0.11384,398,224,0.018577,0.035145
anorexia_acANvscontrols,R_caudalanteriorcingulate,0.138561,0.217977,-0.28867,0.565788,398,224,0.524995,0.540436
anorexia_acANvscontrols,R_caudalmiddlefrontal,-0.6894,0.226458,-1.13325,-0.24555,398,224,0.002332,0.004802
anorexia_acANvscontrols,R_cuneus,-0.72451,0.087265,-0.89555,-0.55347,398,224,0.000000000000000102,0.00000000000000102
anorexia_acANvscontrols,R_entorhinal,0.154816,0.084404,-0.01061,0.320246,398,224,0.066621,0.105988
anorexia_acANvscontrols,R_fusiform,-0.41168,0.407264,-1.2099,0.386541,398,224,0.31209,0.358136
anorexia_acANvscontrols,R_inferiorparietal,-0.66675,0.469942,-1.58782,0.254323,398,224,0.155962,0.18823
anorexia_acANvscontrols,R_inferiortemporal,-0.42176,0.295789,-1.0015,0.157971,398,224,0.153898,0.18823
anorexia_acANvscontrols,R_isthmuscingulate,-0.68062,0.086491,-0.85014,-0.5111,398,224,0.00000000000000357,0.0000000000000277
anorexia_acANvscontrols,R_lateraloccipital,-0.64333,0.315455,-1.26161,-0.02505,398,224,0.041412,0.069735
anorexia_acANvscontrols,R_lateralorbitofrontal,-0.43853,0.085506,-0.60612,-0.27094,398,224,0.000000292,0.00000102
anorexia_acANvscontrols,R_lingual,-0.96785,0.08928,-1.14283,-0.79287,398,224,0.00000000000000000000000000221,0.00000000000000000000000155
anorexia_acANvscontrols,R_medialorbitofrontal,-0.40759,0.085475,-0.57512,-0.24006,398,224,0.00000186,0.0000059
anorexia_acANvscontrols,R_middletemporal,-0.60553,0.332817,-1.25784,0.046774,398,224,0.068847,0.106292
anorexia_acANvscontrols,R_parahippocampal,-0.34246,0.085,-0.50905,-0.17586,398,224,0.000056,0.000145
anorexia_acANvscontrols,R_paracentral,-0.55768,0.421329,-1.38347,0.268112,398,224,0.185631,0.220241
anorexia_acANvscontrols,R_parsopercularis,-0.76896,0.087419,-0.9403,-0.59762,398,224,0.00000000000000000141,0.0000000000000000198
