SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs          ,fdr_p
anorexia_acANvscontrols,L_bankssts,-0.15226,0.08447,-0.31782,0.013301,398,224,0.071467,0.13885
anorexia_acANvscontrols,L_caudalanteriorcingulate,0.1898,0.084503,0.024177,0.355423,398,224,0.024699,0.057916
anorexia_acANvscontrols,L_caudalmiddlefrontal,-0.0247,0.08429,-0.18991,0.140505,398,224,0.76949,0.857792
anorexia_acANvscontrols,L_cuneus,-0.3337,0.084818,-0.49994,-0.16746,398,224,0.0000834,0.000811
anorexia_acANvscontrols,L_entorhinal,0.257764,0.084564,0.092022,0.423506,398,224,0.002302,0.00921
anorexia_acANvscontrols,L_fusiform,0.147775,0.084415,-0.01768,0.313226,398,224,0.080019,0.151147
anorexia_acANvscontrols,L_inferiorparietal,-0.27886,0.084668,-0.44481,-0.11292,398,224,0.000989,0.006115
anorexia_acANvscontrols,L_inferiortemporal,0.158688,0.084546,-0.00702,0.324394,398,224,0.060525,0.12105
anorexia_acANvscontrols,L_isthmuscingulate,-0.34789,0.085012,-0.51451,-0.18127,398,224,0.0000427,0.000581
anorexia_acANvscontrols,L_lateraloccipital,-0.26579,0.084652,-0.4317,-0.09987,398,224,0.001691,0.008121
anorexia_acANvscontrols,L_lateralorbitofrontal,0.248543,0.084724,0.082487,0.4146,398,224,0.003351,0.011993
anorexia_acANvscontrols,L_lingual,-0.35663,0.084849,-0.52294,-0.19033,398,224,0.0000263,0.000447
anorexia_acANvscontrols,L_medialorbitofrontal,0.101455,0.08444,-0.06405,0.266954,398,224,0.229559,0.354773
anorexia_acANvscontrols,L_middletemporal,0.096455,0.08432,-0.06881,0.261719,398,224,0.252659,0.381796
anorexia_acANvscontrols,L_parahippocampal,-0.02037,0.08443,-0.18585,0.145109,398,224,0.809347,0.87358
anorexia_acANvscontrols,L_paracentral,-0.1914,0.084623,-0.35726,-0.02554,398,224,0.023711,0.057583
anorexia_acANvscontrols,L_parsopercularis,-0.02329,0.222913,-0.46019,0.413611,398,224,0.916787,0.944569
anorexia_acANvscontrols,L_parsorbitalis,0.12607,0.084395,-0.03934,0.291481,398,224,0.135227,0.23578
anorexia_acANvscontrols,L_parstriangularis,-0.03905,0.084294,-0.20426,0.126164,398,224,0.643179,0.781003
anorexia_acANvscontrols,L_pericalcarine,-0.25509,0.084607,-0.42092,-0.08927,398,224,0.002569,0.009706
anorexia_acANvscontrols,L_postcentral,0.012963,0.084436,-0.15253,0.178455,398,224,0.877983,0.932857
anorexia_acANvscontrols,L_posteriorcingulate,-0.09174,0.084294,-0.25695,0.073475,398,224,0.276454,0.408672
anorexia_acANvscontrols,L_precentral,0.116321,0.084448,-0.04919,0.281836,398,224,0.16838,0.279264
anorexia_acANvscontrols,L_precuneus,-0.27018,0.08463,-0.43605,-0.10431,398,224,0.00141,0.007589
anorexia_acANvscontrols,L_rostralanteriorcingulate,0.279341,0.128541,0.027406,0.531276,398,224,0.029767,0.067472
anorexia_acANvscontrols,L_rostralmiddlefrontal,0.175486,0.084459,0.00995,0.341023,398,224,0.037731,0.080178
anorexia_acANvscontrols,L_superiorfrontal,-0.07046,0.084394,-0.23587,0.094947,398,224,0.403764,0.538352
anorexia_acANvscontrols,L_superiorparietal,-0.16405,0.084427,-0.32952,0.001427,398,224,0.052009,0.10717
anorexia_acANvscontrols,L_superiortemporal,0.012386,0.293618,-0.5631,0.587867,398,224,0.966352,0.980776
anorexia_acANvscontrols,L_supramarginal,-0.05386,0.08424,-0.21897,0.111249,398,224,0.522597,0.670501
anorexia_acANvscontrols,L_frontalpole,0.034199,0.13624,-0.23283,0.301224,398,224,0.801796,0.87358
anorexia_acANvscontrols,L_temporalpole,0.513524,0.085755,0.345447,0.6816,398,224,0.00000000212,0.000000144
