SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_acAN-pwrAN,L_bankssts,-0.0712,0.120191,-0.30677,0.164371,117,224,0.553592,0.956248
anorexia_acAN-pwrAN,L_caudalanteriorcingulate,0.057068,0.120139,-0.1784,0.292536,117,224,0.634777,0.956248
anorexia_acAN-pwrAN,L_caudalmiddlefrontal,0.05726,0.120324,-0.17857,0.293091,117,224,0.634156,0.956248
anorexia_acAN-pwrAN,L_cuneus,-0.05542,0.120204,-0.29101,0.180178,117,224,0.64478,0.956248
anorexia_acAN-pwrAN,L_entorhinal,0.056456,0.120188,-0.17911,0.292021,117,224,0.638545,0.956248
anorexia_acAN-pwrAN,L_fusiform,0.009777,0.120132,-0.22568,0.245231,117,224,0.935135,0.956248
anorexia_acAN-pwrAN,L_inferiorparietal,0.033119,0.120164,-0.2024,0.268636,117,224,0.782842,0.956248
anorexia_acAN-pwrAN,L_inferiortemporal,0.046432,0.120115,-0.18899,0.281853,117,224,0.69908,0.956248
anorexia_acAN-pwrAN,L_isthmuscingulate,0.10853,0.120235,-0.12713,0.344186,117,224,0.366713,0.956248
anorexia_acAN-pwrAN,L_lateraloccipital,-0.01679,0.120191,-0.25237,0.218776,117,224,0.888872,0.956248
anorexia_acAN-pwrAN,L_lateralorbitofrontal,-0.09052,0.120202,-0.32611,0.145071,117,224,0.451409,0.956248
anorexia_acAN-pwrAN,L_lingual,-0.08272,0.120266,-0.31844,0.152993,117,224,0.491555,0.956248
anorexia_acAN-pwrAN,L_medialorbitofrontal,-0.02943,0.120169,-0.26496,0.206095,117,224,0.806519,0.956248
anorexia_acAN-pwrAN,L_middletemporal,-0.02792,0.120097,-0.26331,0.207461,117,224,0.816137,0.956248
anorexia_acAN-pwrAN,L_parahippocampal,-0.0827,0.12027,-0.31843,0.153022,117,224,0.49168,0.956248
anorexia_acAN-pwrAN,L_paracentral,-0.07567,0.120201,-0.31126,0.159919,117,224,0.528999,0.956248
anorexia_acAN-pwrAN,L_parsopercularis,-0.08374,0.120213,-0.31935,0.151876,117,224,0.486075,0.956248
anorexia_acAN-pwrAN,L_parsorbitalis,-0.03803,0.120138,-0.2735,0.197433,117,224,0.751561,0.956248
anorexia_acAN-pwrAN,L_parstriangularis,-0.13566,0.120235,-0.37131,0.100001,117,224,0.259215,0.956248
anorexia_acAN-pwrAN,L_pericalcarine,-0.0571,0.120114,-0.29252,0.178321,117,224,0.634529,0.956248
anorexia_acAN-pwrAN,L_postcentral,0.01192,0.120123,-0.22352,0.247358,117,224,0.920951,0.956248
anorexia_acAN-pwrAN,L_posteriorcingulate,-0.08217,0.120302,-0.31796,0.153617,117,224,0.494579,0.956248
anorexia_acAN-pwrAN,L_precentral,-0.10091,0.120166,-0.33643,0.134611,117,224,0.401043,0.956248
anorexia_acAN-pwrAN,L_precuneus,0.009701,0.120093,-0.22568,0.24508,117,224,0.935615,0.956248
anorexia_acAN-pwrAN,L_rostralanteriorcingulate,0.057271,0.120121,-0.17816,0.292703,117,224,0.633518,0.956248
anorexia_acAN-pwrAN,L_rostralmiddlefrontal,0.082407,0.120297,-0.15337,0.318185,117,224,0.493322,0.956248
anorexia_acAN-pwrAN,L_superiorfrontal,-0.054,0.120104,-0.2894,0.181396,117,224,0.652972,0.956248
anorexia_acAN-pwrAN,L_superiorparietal,-0.00501,0.120299,-0.24079,0.230774,117,224,0.966792,0.966792
anorexia_acAN-pwrAN,L_superiortemporal,-0.13027,0.12021,-0.36587,0.105343,117,224,0.278523,0.956248
anorexia_acAN-pwrAN,L_supramarginal,0.039535,0.120118,-0.19589,0.274963,117,224,0.742052,0.956248
anorexia_acAN-pwrAN,L_frontalpole,-0.04922,0.120209,-0.28483,0.18638,117,224,0.682182,0.956248
anorexia_acAN-pwrAN,L_temporalpole,0.131667,0.120281,-0.10408,0.367413,117,224,0.273663,0.956248
anorexia_acAN-pwrAN,L_transversetemporal,-0.16259,0.120348,-0.39847,0.073284,117,224,0.176686,0.956248
anorexia_acAN-pwrAN,L_insula,-0.03803,0.120238,-0.27369,0.197635,117,224,0.751804,0.956248
anorexia_acAN-pwrAN,R_bankssts,-0.09914,0.120236,-0.3348,0.136514,117,224,0.409614,0.956248
anorexia_acAN-pwrAN,R_caudalanteriorcingulate,-0.04213,0.120096,-0.27751,0.193257,117,224,0.725762,0.956248
anorexia_acAN-pwrAN,R_caudalmiddlefrontal,0.101973,0.120232,-0.13368,0.337623,117,224,0.396364,0.956248
anorexia_acAN-pwrAN,R_cuneus,-0.02871,0.120121,-0.26415,0.20672,117,224,0.811078,0.956248
anorexia_acAN-pwrAN,R_entorhinal,0.026922,0.120156,-0.20858,0.262423,117,224,0.82271,0.956248
anorexia_acAN-pwrAN,R_fusiform,0.12471,0.120365,-0.1112,0.360621,117,224,0.300154,0.956248
anorexia_acAN-pwrAN,R_inferiorparietal,-0.01783,0.120143,-0.25331,0.217642,117,224,0.881992,0.956248
anorexia_acAN-pwrAN,R_inferiortemporal,0.060686,0.120176,-0.17485,0.296227,117,224,0.613575,0.956248
anorexia_acAN-pwrAN,R_isthmuscingulate,0.093275,0.120249,-0.14241,0.328959,117,224,0.437938,0.956248
anorexia_acAN-pwrAN,R_lateraloccipital,-0.07466,0.12024,-0.31032,0.16101,117,224,0.534671,0.956248
anorexia_acAN-pwrAN,R_lateralorbitofrontal,-0.02216,0.120112,-0.25758,0.21325,117,224,0.853593,0.956248
anorexia_acAN-pwrAN,R_lingual,-0.14081,0.120233,-0.37647,0.094837,117,224,0.241526,0.956248
anorexia_acAN-pwrAN,R_medialorbitofrontal,-0.00865,0.120118,-0.24408,0.226776,117,224,0.942588,0.956248
anorexia_acAN-pwrAN,R_middletemporal,-0.02035,0.1201,-0.25574,0.215043,117,224,0.865461,0.956248
anorexia_acAN-pwrAN,R_parahippocampal,-0.06013,0.120241,-0.2958,0.175539,117,224,0.617023,0.956248
anorexia_acAN-pwrAN,R_paracentral,-0.02671,0.120222,-0.26234,0.208921,117,224,0.824179,0.956248
anorexia_acAN-pwrAN,R_parsopercularis,-0.06774,0.120213,-0.30335,0.167872,117,224,0.573091,0.956248
anorexia_acAN-pwrAN,R_parsorbitalis,0.028513,0.120127,-0.20693,0.263958,117,224,0.812378,0.956248
anorexia_acAN-pwrAN,R_parstriangularis,-0.06641,0.120148,-0.3019,0.169075,117,224,0.580439,0.956248
anorexia_acAN-pwrAN,R_pericalcarine,-0.08093,0.120132,-0.31638,0.154528,117,224,0.500539,0.956248
anorexia_acAN-pwrAN,R_postcentral,-0.03107,0.120133,-0.26653,0.204382,117,224,0.795894,0.956248
anorexia_acAN-pwrAN,R_posteriorcingulate,-0.03527,0.120099,-0.27066,0.200117,117,224,0.768991,0.956248
anorexia_acAN-pwrAN,R_precentral,0.026949,0.120129,-0.2085,0.262397,117,224,0.822498,0.956248
anorexia_acAN-pwrAN,R_precuneus,0.037996,0.120157,-0.19751,0.2735,117,224,0.751837,0.956248
anorexia_acAN-pwrAN,R_rostralanteriorcingulate,-0.05279,0.120151,-0.28828,0.182698,117,224,0.660378,0.956248
anorexia_acAN-pwrAN,R_rostralmiddlefrontal,0.048587,0.120179,-0.18696,0.284133,117,224,0.686003,0.956248
anorexia_acAN-pwrAN,R_superiorfrontal,-0.01625,0.120104,-0.25165,0.219147,117,224,0.892352,0.956248
anorexia_acAN-pwrAN,R_superiorparietal,-0.06891,0.120135,-0.30437,0.166549,117,224,0.566229,0.956248
anorexia_acAN-pwrAN,R_superiortemporal,-0.1457,0.120268,-0.38142,0.090025,117,224,0.225731,0.956248
anorexia_acAN-pwrAN,R_supramarginal,-0.01606,0.120217,-0.25168,0.219563,117,224,0.893743,0.956248
anorexia_acAN-pwrAN,R_frontalpole,-0.08377,0.120356,-0.31966,0.152121,117,224,0.486406,0.956248
anorexia_acAN-pwrAN,R_temporalpole,0.117448,0.120454,-0.11864,0.353534,117,224,0.329539,0.956248
anorexia_acAN-pwrAN,R_transversetemporal,-0.165,0.120312,-0.40081,0.070805,117,224,0.170233,0.956248
anorexia_acAN-pwrAN,R_insula,-0.01068,0.120124,-0.24612,0.224754,117,224,0.929125,0.956248
