SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs        ,fdr_p
anorexia_acAN-pwrANvscontrols,L_bankssts,-0.62131,0.124171,-0.86468,-0.37794,117,224,0.000000563,0.00000835
anorexia_acAN-pwrANvscontrols,L_caudalanteriorcingulate,-0.01405,0.120268,-0.24977,0.221672,117,224,0.907008,0.920153
anorexia_acAN-pwrANvscontrols,L_caudalmiddlefrontal,-0.38838,0.174482,-0.73036,-0.0464,117,224,0.02602,0.041395
anorexia_acAN-pwrANvscontrols,L_cuneus,-0.47774,0.121962,-0.71678,-0.2387,117,224,0.0000896,0.000224
anorexia_acAN-pwrANvscontrols,L_entorhinal,0.062561,0.120182,-0.17299,0.298113,117,224,0.602681,0.659182
anorexia_acAN-pwrANvscontrols,L_fusiform,-0.58688,0.123438,-0.82881,-0.34495,117,224,0.00000199,0.0000107
anorexia_acAN-pwrANvscontrols,L_inferiorparietal,-0.39407,0.306538,-0.99487,0.206737,117,224,0.198604,0.239695
anorexia_acAN-pwrANvscontrols,L_inferiortemporal,-0.56355,0.123036,-0.80469,-0.3224,117,224,0.00000464,0.0000191
anorexia_acAN-pwrANvscontrols,L_isthmuscingulate,-0.33566,0.120913,-0.57264,-0.09867,117,224,0.005503,0.009876
anorexia_acAN-pwrANvscontrols,L_lateraloccipital,-0.63897,0.124088,-0.88218,-0.39576,117,224,0.000000261,0.00000647
anorexia_acAN-pwrANvscontrols,L_lateralorbitofrontal,-0.5423,0.123983,-0.7853,-0.2993,117,224,0.0000122,0.000045
anorexia_acAN-pwrANvscontrols,L_lingual,-0.6036,0.123161,-0.84499,-0.36221,117,224,0.000000954,0.00000835
anorexia_acAN-pwrANvscontrols,L_medialorbitofrontal,-0.48988,0.122745,-0.73046,-0.24931,117,224,0.0000658,0.000189
anorexia_acAN-pwrANvscontrols,L_middletemporal,-0.63608,0.123795,-0.87871,-0.39345,117,224,0.000000277,0.00000647
anorexia_acAN-pwrANvscontrols,L_parahippocampal,-0.19247,0.120606,-0.42886,0.043909,117,224,0.110513,0.144857
anorexia_acAN-pwrANvscontrols,L_paracentral,-0.48266,0.123038,-0.72381,-0.24151,117,224,0.0000875,0.000224
anorexia_acAN-pwrANvscontrols,L_parsopercularis,-0.49575,0.122965,-0.73675,-0.25474,117,224,0.0000554,0.000169
anorexia_acAN-pwrANvscontrols,L_parsorbitalis,-0.37144,0.121997,-0.61055,-0.13233,117,224,0.00233,0.00453
anorexia_acAN-pwrANvscontrols,L_parstriangularis,-0.4902,0.123028,-0.73133,-0.24907,117,224,0.0000676,0.000189
anorexia_acAN-pwrANvscontrols,L_pericalcarine,-0.3635,0.121407,-0.60146,-0.12555,117,224,0.002753,0.005208
anorexia_acAN-pwrANvscontrols,L_postcentral,-0.35677,0.185471,-0.72029,0.006742,117,224,0.054403,0.078541
anorexia_acAN-pwrANvscontrols,L_posteriorcingulate,-0.40178,0.121643,-0.6402,-0.16336,117,224,0.000957,0.00203
anorexia_acAN-pwrANvscontrols,L_precentral,-0.41302,0.122264,-0.65266,-0.17339,117,224,0.00073,0.001648
anorexia_acAN-pwrANvscontrols,L_precuneus,-0.59572,0.124386,-0.83951,-0.35193,117,224,0.00000167,0.0000107
anorexia_acAN-pwrANvscontrols,L_rostralanteriorcingulate,-0.30521,0.121823,-0.54398,-0.06644,117,224,0.012232,0.020884
anorexia_acAN-pwrANvscontrols,L_rostralmiddlefrontal,-0.2938,0.22693,-0.73858,0.150971,117,224,0.195428,0.239695
anorexia_acAN-pwrANvscontrols,L_superiorfrontal,-0.69093,0.125321,-0.93655,-0.4453,117,224,0.0000000352,0.00000247
anorexia_acAN-pwrANvscontrols,L_superiorparietal,-0.6104,0.123913,-0.85326,-0.36753,117,224,0.000000839,0.00000835
anorexia_acAN-pwrANvscontrols,L_superiortemporal,-0.54055,0.123187,-0.78199,-0.2991,117,224,0.0000114,0.0000445
anorexia_acAN-pwrANvscontrols,L_supramarginal,-0.39277,0.253744,-0.8901,0.104556,117,224,0.121644,0.154819
anorexia_acAN-pwrANvscontrols,L_frontalpole,-0.26488,0.121484,-0.50299,-0.02678,117,224,0.029228,0.045465
anorexia_acAN-pwrANvscontrols,L_temporalpole,0.010568,0.120183,-0.22499,0.246123,117,224,0.929932,0.929932
anorexia_acAN-pwrANvscontrols,L_transversetemporal,-0.2319,0.120953,-0.46897,0.005161,117,224,0.0552,0.078541
anorexia_acAN-pwrANvscontrols,L_insula,-0.39364,0.121631,-0.63203,-0.15525,117,224,0.001211,0.002493
anorexia_acAN-pwrANvscontrols,R_bankssts,-0.57408,0.123061,-0.81528,-0.33289,117,224,0.00000309,0.0000144
anorexia_acAN-pwrANvscontrols,R_caudalanteriorcingulate,-0.04763,0.120503,-0.28381,0.188548,117,224,0.692631,0.734609
anorexia_acAN-pwrANvscontrols,R_caudalmiddlefrontal,-0.61757,0.123813,-0.86024,-0.3749,117,224,0.00000061,0.00000835
anorexia_acAN-pwrANvscontrols,R_cuneus,-0.4221,0.122235,-0.66168,-0.18252,117,224,0.000554,0.001293
anorexia_acAN-pwrANvscontrols,R_entorhinal,0.104061,0.120196,-0.13152,0.339642,117,224,0.386622,0.458704
anorexia_acAN-pwrANvscontrols,R_fusiform,-0.59866,0.123402,-0.84052,-0.3568,117,224,0.00000123,0.00000954
anorexia_acAN-pwrANvscontrols,R_inferiorparietal,-0.66068,0.157945,-0.97024,-0.35111,117,224,0.0000288,0.000101
anorexia_acAN-pwrANvscontrols,R_inferiortemporal,-0.50445,0.156826,-0.81183,-0.19708,117,224,0.001297,0.002594
anorexia_acAN-pwrANvscontrols,R_isthmuscingulate,-0.35894,0.121033,-0.59616,-0.12172,117,224,0.003021,0.005565
anorexia_acAN-pwrANvscontrols,R_lateraloccipital,-0.43242,0.201653,-0.82766,-0.03719,117,224,0.032001,0.047661
anorexia_acAN-pwrANvscontrols,R_lateralorbitofrontal,-0.50556,0.123465,-0.74754,-0.26357,117,224,0.0000423,0.000134
anorexia_acAN-pwrANvscontrols,R_lingual,-0.58489,0.123541,-0.82703,-0.34275,117,224,0.0000022,0.000011
anorexia_acAN-pwrANvscontrols,R_medialorbitofrontal,-0.17313,0.234571,-0.63288,0.286619,117,224,0.460467,0.537211
anorexia_acAN-pwrANvscontrols,R_middletemporal,-0.51472,0.209697,-0.92572,-0.10373,117,224,0.014104,0.023506
