SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_acAN-pwrAN,L_bankssts,-0.17575,0.120507,-0.41194,0.060439,117,224,0.144724,0.983347
anorexia_acAN-pwrAN,L_caudalanteriorcingulate,0.130849,0.120269,-0.10487,0.366572,117,224,0.276609,0.983347
anorexia_acAN-pwrAN,L_caudalmiddlefrontal,0.061702,0.120219,-0.17392,0.297328,117,224,0.607777,0.983347
anorexia_acAN-pwrAN,L_cuneus,-0.11744,0.120215,-0.35306,0.118173,117,224,0.328594,0.983347
anorexia_acAN-pwrAN,L_entorhinal,0.199937,0.120614,-0.03646,0.436336,117,224,0.097386,0.983347
anorexia_acAN-pwrAN,L_fusiform,-0.00035,0.120165,-0.23587,0.235171,117,224,0.997691,0.997691
anorexia_acAN-pwrAN,L_inferiorparietal,-0.03538,0.120281,-0.27113,0.200365,117,224,0.768641,0.983347
anorexia_acAN-pwrAN,L_inferiortemporal,-0.00344,0.12019,-0.23901,0.23213,117,224,0.977173,0.991757
anorexia_acAN-pwrAN,L_isthmuscingulate,-0.02842,0.120199,-0.264,0.207171,117,224,0.813122,0.983347
anorexia_acAN-pwrAN,L_lateraloccipital,-0.10376,0.120324,-0.3396,0.132067,117,224,0.388482,0.983347
anorexia_acAN-pwrAN,L_lateralorbitofrontal,-0.01655,0.120465,-0.25266,0.219556,117,224,0.89072,0.983347
anorexia_acAN-pwrAN,L_lingual,-0.19248,0.120359,-0.42838,0.043416,117,224,0.109766,0.983347
anorexia_acAN-pwrAN,L_medialorbitofrontal,-0.1218,0.120482,-0.35794,0.114343,117,224,0.312055,0.983347
anorexia_acAN-pwrAN,L_middletemporal,-0.08989,0.120271,-0.32561,0.14584,117,224,0.454842,0.983347
anorexia_acAN-pwrAN,L_parahippocampal,0.018723,0.120142,-0.21675,0.254197,117,224,0.876162,0.983347
anorexia_acAN-pwrAN,L_paracentral,0.09129,0.120146,-0.14419,0.326771,117,224,0.447357,0.983347
anorexia_acAN-pwrAN,L_parsopercularis,0.087663,0.120153,-0.14783,0.323158,117,224,0.465639,0.983347
anorexia_acAN-pwrAN,L_parsorbitalis,0.093791,0.120235,-0.14187,0.329448,117,224,0.435353,0.983347
anorexia_acAN-pwrAN,L_parstriangularis,-0.00779,0.120412,-0.2438,0.228211,117,224,0.948403,0.983347
anorexia_acAN-pwrAN,L_pericalcarine,-0.09009,0.120171,-0.32562,0.145442,117,224,0.45345,0.983347
anorexia_acAN-pwrAN,L_postcentral,0.03803,0.120285,-0.19772,0.273783,117,224,0.751878,0.983347
anorexia_acAN-pwrAN,L_posteriorcingulate,0.020848,0.120177,-0.21469,0.25639,117,224,0.862274,0.983347
anorexia_acAN-pwrAN,L_precentral,0.22578,0.120412,-0.01022,0.461783,117,224,0.060783,0.983347
anorexia_acAN-pwrAN,L_precuneus,0.053426,0.120333,-0.18242,0.289275,117,224,0.657054,0.983347
anorexia_acAN-pwrAN,L_rostralanteriorcingulate,0.040953,0.120366,-0.19496,0.276866,117,224,0.733675,0.983347
anorexia_acAN-pwrAN,L_rostralmiddlefrontal,0.023282,0.120382,-0.21266,0.259226,117,224,0.846642,0.983347
anorexia_acAN-pwrAN,L_superiorfrontal,-0.05887,0.120267,-0.29459,0.176852,117,224,0.624511,0.983347
anorexia_acAN-pwrAN,L_superiorparietal,0.082128,0.12047,-0.15399,0.318245,117,224,0.495412,0.983347
anorexia_acAN-pwrAN,L_superiortemporal,-0.01598,0.120136,-0.25144,0.219482,117,224,0.894186,0.983347
anorexia_acAN-pwrAN,L_supramarginal,-0.11285,0.120209,-0.34846,0.122754,117,224,0.347836,0.983347
anorexia_acAN-pwrAN,L_frontalpole,0.015392,0.120393,-0.22057,0.251358,117,224,0.898267,0.983347
anorexia_acAN-pwrAN,L_temporalpole,0.246588,0.120658,0.010104,0.483073,117,224,0.040983,0.983347
anorexia_acAN-pwrAN,L_transversetemporal,0.11931,0.120183,-0.11624,0.354864,117,224,0.320839,0.983347
anorexia_acAN-pwrAN,L_insula,0.093903,0.120314,-0.14191,0.329714,117,224,0.43511,0.983347
anorexia_acAN-pwrAN,R_bankssts,-0.08845,0.120357,-0.32435,0.147441,117,224,0.462382,0.983347
anorexia_acAN-pwrAN,R_caudalanteriorcingulate,0.141942,0.12034,-0.09392,0.377804,117,224,0.238195,0.983347
anorexia_acAN-pwrAN,R_caudalmiddlefrontal,-0.05108,0.12014,-0.28655,0.184385,117,224,0.670685,0.983347
anorexia_acAN-pwrAN,R_cuneus,-0.02974,0.120115,-0.26516,0.205683,117,224,0.804459,0.983347
anorexia_acAN-pwrAN,R_entorhinal,0.310651,0.121058,0.073381,0.547921,117,224,0.010284,0.699324
anorexia_acAN-pwrAN,R_fusiform,-0.01609,0.120165,-0.25161,0.219431,117,224,0.893492,0.983347
anorexia_acAN-pwrAN,R_inferiorparietal,-0.17203,0.120355,-0.40793,0.063857,117,224,0.152892,0.983347
anorexia_acAN-pwrAN,R_inferiortemporal,-0.01302,0.120404,-0.249,0.222969,117,224,0.913902,0.983347
anorexia_acAN-pwrAN,R_isthmuscingulate,-0.12459,0.120338,-0.36045,0.111265,117,224,0.3005,0.983347
anorexia_acAN-pwrAN,R_lateraloccipital,-0.06606,0.120448,-0.30214,0.170009,117,224,0.583356,0.983347
anorexia_acAN-pwrAN,R_lateralorbitofrontal,-0.00688,0.120381,-0.24282,0.229063,117,224,0.954425,0.983347
anorexia_acAN-pwrAN,R_lingual,-0.12585,0.120232,-0.3615,0.109802,117,224,0.295234,0.983347
anorexia_acAN-pwrAN,R_medialorbitofrontal,0.086747,0.170569,-0.24756,0.421056,117,224,0.611049,0.983347
anorexia_acAN-pwrAN,R_middletemporal,-0.15251,0.120281,-0.38826,0.083236,117,224,0.204817,0.983347
anorexia_acAN-pwrAN,R_parahippocampal,0.070891,0.12039,-0.16507,0.306852,117,224,0.555965,0.983347
anorexia_acAN-pwrAN,R_paracentral,-0.01126,0.120384,-0.2472,0.224693,117,224,0.92551,0.983347
anorexia_acAN-pwrAN,R_parsopercularis,0.03042,0.120202,-0.20517,0.266013,117,224,0.800209,0.983347
anorexia_acAN-pwrAN,R_parsorbitalis,-0.07444,0.120565,-0.31074,0.161865,117,224,0.536962,0.983347
anorexia_acAN-pwrAN,R_parstriangularis,-0.09499,0.120331,-0.33084,0.140854,117,224,0.429873,0.983347
anorexia_acAN-pwrAN,R_pericalcarine,0.038173,0.120354,-0.19772,0.274063,117,224,0.751112,0.983347
anorexia_acAN-pwrAN,R_postcentral,-0.10506,0.120149,-0.34055,0.130431,117,224,0.381905,0.983347
anorexia_acAN-pwrAN,R_posteriorcingulate,-0.01812,0.12019,-0.25369,0.217449,117,224,0.880173,0.983347
anorexia_acAN-pwrAN,R_precentral,0.064268,0.120128,-0.17118,0.299714,117,224,0.592654,0.983347
anorexia_acAN-pwrAN,R_precuneus,-0.0105,0.120236,-0.24616,0.225161,117,224,0.930429,0.983347
anorexia_acAN-pwrAN,R_rostralanteriorcingulate,0.153207,0.120292,-0.08256,0.388974,117,224,0.202797,0.983347
anorexia_acAN-pwrAN,R_rostralmiddlefrontal,0.024869,0.120346,-0.21101,0.260743,117,224,0.836288,0.983347
anorexia_acAN-pwrAN,R_superiorfrontal,0.228007,0.237701,-0.23788,0.693892,117,224,0.33745,0.983347
anorexia_acAN-pwrAN,R_superiorparietal,0.082957,0.120586,-0.15339,0.319302,117,224,0.491487,0.983347
anorexia_acAN-pwrAN,R_superiortemporal,-0.02766,0.120107,-0.26306,0.207747,117,224,0.817871,0.983347
anorexia_acAN-pwrAN,R_supramarginal,-0.05054,0.12027,-0.28626,0.185189,117,224,0.674347,0.983347
anorexia_acAN-pwrAN,R_frontalpole,-0.11469,0.120304,-0.35048,0.121099,117,224,0.340412,0.983347
anorexia_acAN-pwrAN,R_temporalpole,0.207525,0.120619,-0.02888,0.443933,117,224,0.085341,0.983347
anorexia_acAN-pwrAN,R_transversetemporal,0.092411,0.120307,-0.14339,0.328208,117,224,0.442415,0.983347
anorexia_acAN-pwrAN,R_insula,-0.02323,0.120293,-0.259,0.212543,117,224,0.846892,0.983347
