SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexiavsCN;L_bankssts;-0,1401;0,067531;-0,27246;-0,00774;945;674;0,038021;0,198877
anorexiavsCN;L_caudalanteriorcingulate;0,039934;0,051493;-0,06099;0,140859;961;684;0,438029;0,793748
anorexiavsCN;L_caudalmiddlefrontal;0,019781;0,063977;-0,10561;0,145174;961;684;0,757177;0,953483
anorexiavsCN;L_cuneus;0,013862;0,051494;-0,08706;0,114788;960;680;0,787776;0,957359
anorexiavsCN;L_entorhinal;0,038485;0,051539;-0,06253;0,139499;959;681;0,455238;0,793748
anorexiavsCN;L_fusiform;-0,05344;0,051477;-0,15433;0,047457;962;684;0,299246;0,726739
anorexiavsCN;L_inferiorparietal;-0,10854;0,057911;-0,22204;0,004964;960;684;0,060895;0,243582
anorexiavsCN;L_inferiortemporal;0,067882;0,051499;-0,03305;0,168819;961;683;0,187464;0,554242
anorexiavsCN;L_isthmuscingulate;0,172937;0,051505;0,071988;0,273885;962;684;0,000786;0,017818
anorexiavsCN;L_lateraloccipital;0,001745;0,05146;-0,09911;0,102603;961;684;0,972954;0,987476
anorexiavsCN;L_lateralorbitofrontal;-0,00228;0,05155;-0,10331;0,098759;961;682;0,964756;0,987476
anorexiavsCN;L_lingual;0,000704;0,051487;-0,10021;0,101617;960;681;0,989091;0,989091
anorexiavsCN;L_medialorbitofrontal;0,160491;0,051545;0,059465;0,261518;962;683;0,001848;0,025134
anorexiavsCN;L_middletemporal;0,018707;0,051526;-0,08228;0,119697;954;680;0,716557;0,953483
anorexiavsCN;L_parahippocampal;0,028153;0,112537;-0,19242;0,248722;959;682;0,802457;0,957359
anorexiavsCN;L_paracentral;-0,1994;0,051598;-0,30053;-0,09827;962;684;0,000111;0,00757
anorexiavsCN;L_parsopercularis;-0,10807;0,05143;-0,20887;-0,00727;962;684;0,035618;0,198877
