CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs              ,fdr_p
anorexiavsCN,L_bankssts,-0.21737,0.078435,-0.3711,-0.06364,945,674,0.005584,0.014073
anorexiavsCN,L_caudalanteriorcingulate,0.178343,0.051645,0.07712,0.279566,961,684,0.000554,0.002216
anorexiavsCN,L_caudalmiddlefrontal,-0.10708,0.051412,-0.20784,-0.00631,961,684,0.037271,0.068499
anorexiavsCN,L_cuneus,-0.16949,0.057977,-0.28313,-0.05586,960,680,0.003462,0.010234
anorexiavsCN,L_entorhinal,0.255392,0.051727,0.154009,0.356776,959,681,0.000000792,0.00000539
anorexiavsCN,L_fusiform,0.13757,0.070323,-0.00026,0.275401,962,684,0.050436,0.08794
anorexiavsCN,L_inferiorparietal,-0.35921,0.05184,-0.46081,-0.25761,960,684,0.00000000000423,0.000000000288
anorexiavsCN,L_inferiortemporal,0.147233,0.051539,0.04622,0.248247,961,683,0.00428,0.011641
anorexiavsCN,L_isthmuscingulate,-0.23119,0.051627,-0.33237,-0.13,962,684,0.00000753,0.0000427
anorexiavsCN,L_lateraloccipital,-0.19571,0.052383,-0.29838,-0.09305,961,684,0.000187,0.000847
anorexiavsCN,L_lateralorbitofrontal,0.283829,0.05181,0.182282,0.385375,961,682,0.000000043,0.000000584
anorexiavsCN,L_lingual,-0.07797,0.051607,-0.17911,0.023182,960,681,0.130848,0.197726
anorexiavsCN,L_medialorbitofrontal,0.131017,0.051551,0.029979,0.232054,962,683,0.011037,0.026805
anorexiavsCN,L_middletemporal,0.035105,0.051605,-0.06604,0.136249,954,680,0.496338,0.555334
anorexiavsCN,L_parahippocampal,0.044249,0.051509,-0.05671,0.145205,959,682,0.390318,0.457615
anorexiavsCN,L_paracentral,-0.25942,0.051665,-0.36068,-0.15815,962,684,0.000000514,0.00000388
anorexiavsCN,L_parsopercularis,-0.05215,0.074559,-0.19828,0.093985,962,684,0.48429,0.555334
anorexiavsCN,L_parsorbitalis,0.072002,0.051497,-0.02893,0.172935,962,683,0.162058,0.220399
anorexiavsCN,L_parstriangularis,0.093437,0.088436,-0.0799,0.266769,962,684,0.290722,0.366094
anorexiavsCN,L_pericalcarine,-0.12256,0.064377,-0.24874,0.003613,953,678,0.056932,0.09262
anorexiavsCN,L_postcentral,0.035199,0.051963,-0.06665,0.137044,939,673,0.498167,0.555334
anorexiavsCN,L_posteriorcingulate,-0.25161,0.070542,-0.38987,-0.11335,961,684,0.000361,0.001536
anorexiavsCN,L_precentral,0.176722,0.092927,-0.00541,0.358855,942,670,0.057207,0.09262
anorexiavsCN,L_precuneus,-0.33555,0.051877,-0.43723,-0.23387,962,684,0.0000000000992,0.00000000337
anorexiavsCN,L_rostralanteriorcingulate,0.242299,0.077516,0.090371,0.394227,961,684,0.001773,0.006029
anorexiavsCN,L_rostralmiddlefrontal,0.190164,0.084934,0.023698,0.356631,960,682,0.025157,0.052799
anorexiavsCN,L_superiorfrontal,-0.11516,0.051599,-0.2163,-0.01403,961,683,0.025623,0.052799
anorexiavsCN,L_superiorparietal,-0.2843,0.053846,-0.38983,-0.17876,962,684,0.000000129,0.00000132
anorexiavsCN,L_superiortemporal,0.192571,0.091665,0.012911,0.37223,951,679,0.035657,0.068499
anorexiavsCN,L_supramarginal,-0.12509,0.051424,-0.22588,-0.0243,960,684,0.014998,0.033996
anorexiavsCN,L_frontalpole,0.049945,0.05153,-0.05105,0.150943,962,683,0.332429,0.411003
anorexiavsCN,L_temporalpole,0.38893,0.076217,0.239548,0.538313,960,682,0.000000334,0.00000284
anorexiavsCN,L_transversetemporal,0.272185,0.051638,0.170976,0.373394,962,684,0.000000136,0.00000132
anorexiavsCN,L_insula,0.227604,0.092146,0.047001,0.408207,962,684,0.01351,0.031679
anorexiavsCN,R_bankssts,-0.12152,0.051433,-0.22233,-0.02072,959,682,0.01814,0.039791
anorexiavsCN,R_caudalanteriorcingulate,0.113788,0.059667,-0.00316,0.230734,960,683,0.056515,0.09262
anorexiavsCN,R_caudalmiddlefrontal,-0.04192,0.065099,-0.16951,0.085671,962,684,0.519606,0.56989
anorexiavsCN,R_cuneus,-0.0701,0.051605,-0.17125,0.031039,955,681,0.174307,0.23241
anorexiavsCN,R_entorhinal,0.164805,0.087415,-0.00652,0.336135,959,684,0.059386,0.093912
anorexiavsCN,R_fusiform,0.225687,0.05158,0.124592,0.326783,962,683,0.0000121,0.0000634
anorexiavsCN,R_inferiorparietal,-0.28135,0.060949,-0.4008,-0.16189,961,683,0.00000391,0.0000242
anorexiavsCN,R_inferiortemporal,0.183702,0.06128,0.063595,0.303808,961,682,0.00272,0.008407
anorexiavsCN,R_isthmuscingulate,-0.16792,0.05149,-0.26883,-0.067,962,684,0.00111,0.003971
anorexiavsCN,R_lateraloccipital,-0.07305,0.05143,-0.17385,0.027749,962,683,0.15549,0.215783
