SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_pwrANvscontrols,L_bankssts,-0.1342,0.080961,-0.29288,0.024485,551,249,0.09741,0.67573
anorexia_pwrANvscontrols,L_caudalanteriorcingulate,-0.00771,0.180705,-0.36189,0.34646,558,250,0.965949,0.991936
anorexia_pwrANvscontrols,L_caudalmiddlefrontal,0.026199,0.180354,-0.32729,0.379687,559,250,0.884503,0.967425
anorexia_pwrANvscontrols,L_cuneus,-0.00752,0.080937,-0.16615,0.151117,557,246,0.926016,0.982138
anorexia_pwrANvscontrols,L_entorhinal,-0.05261,0.080483,-0.21035,0.105136,559,250,0.513337,0.899238
anorexia_pwrANvscontrols,L_fusiform,0.04855,0.178294,-0.3009,0.398,559,250,0.78539,0.899238
anorexia_pwrANvscontrols,L_inferiorparietal,-0.23813,0.086497,-0.40766,-0.0686,557,250,0.005904,0.413308
anorexia_pwrANvscontrols,L_inferiortemporal,-0.05695,0.080493,-0.21471,0.100813,558,250,0.479245,0.899238
anorexia_pwrANvscontrols,L_isthmuscingulate,-0.04911,0.080534,-0.20696,0.108733,559,250,0.541982,0.899238
anorexia_pwrANvscontrols,L_lateraloccipital,-0.05878,0.156762,-0.36602,0.248473,558,250,0.707711,0.899238
anorexia_pwrANvscontrols,L_lateralorbitofrontal,-0.11668,0.080675,-0.2748,0.041434,558,248,0.148074,0.698279
anorexia_pwrANvscontrols,L_lingual,0.051355,0.111455,-0.16709,0.269804,557,248,0.644966,0.899238
anorexia_pwrANvscontrols,L_medialorbitofrontal,0.045605,0.080539,-0.11225,0.20346,559,249,0.571224,0.899238
anorexia_pwrANvscontrols,L_middletemporal,-0.05775,0.08065,-0.21582,0.10032,554,250,0.473944,0.899238
anorexia_pwrANvscontrols,L_parahippocampal,0.0937,0.173183,-0.24573,0.433132,559,250,0.588475,0.899238
anorexia_pwrANvscontrols,L_paracentral,-0.17042,0.08054,-0.32827,-0.01256,559,250,0.034353,0.67573
anorexia_pwrANvscontrols,L_parsopercularis,-0.12337,0.080523,-0.28119,0.034451,559,250,0.125493,0.67573
anorexia_pwrANvscontrols,L_parsorbitalis,-0.12894,0.080543,-0.2868,0.028919,559,249,0.109396,0.67573
anorexia_pwrANvscontrols,L_parstriangularis,-0.03996,0.101745,-0.23937,0.159461,559,250,0.694535,0.899238
anorexia_pwrANvscontrols,L_pericalcarine,-0.03178,0.081021,-0.19058,0.127018,556,246,0.694882,0.899238
anorexia_pwrANvscontrols,L_postcentral,-0.0478,0.102761,-0.24921,0.153609,558,250,0.641826,0.899238
anorexia_pwrANvscontrols,L_posteriorcingulate,0.001478,0.080773,-0.15683,0.15979,558,250,0.985401,0.991936
anorexia_pwrANvscontrols,L_precentral,-0.03252,0.092798,-0.2144,0.149357,559,250,0.725988,0.899238
anorexia_pwrANvscontrols,L_precuneus,-0.13286,0.080693,-0.29102,0.025293,559,250,0.099656,0.67573
anorexia_pwrANvscontrols,L_rostralanteriorcingulate,-0.09938,0.122697,-0.33987,0.141098,558,250,0.417941,0.899238
anorexia_pwrANvscontrols,L_rostralmiddlefrontal,-0.03603,0.13565,-0.3019,0.229841,558,248,0.790548,0.899238
anorexia_pwrANvscontrols,L_superiorfrontal,-0.02161,0.080646,-0.17968,0.136449,558,249,0.788685,0.899238
anorexia_pwrANvscontrols,L_superiorparietal,-0.08463,0.080628,-0.24266,0.0734,559,250,0.293898,0.865139
anorexia_pwrANvscontrols,L_superiortemporal,-0.06936,0.0813,-0.2287,0.089987,553,248,0.393593,0.899238
anorexia_pwrANvscontrols,L_supramarginal,-0.08727,0.08074,-0.24552,0.070975,558,250,0.279738,0.865139
anorexia_pwrANvscontrols,L_frontalpole,-0.05191,0.191439,-0.42713,0.3233,559,249,0.786257,0.899238
anorexia_pwrANvscontrols,L_temporalpole,-0.20066,0.08098,-0.35938,-0.04195,557,248,0.013214,0.462474
anorexia_pwrANvscontrols,L_transversetemporal,-0.1,0.080613,-0.258,0.058001,559,250,0.214804,0.865139
anorexia_pwrANvscontrols,L_insula,-0.11646,0.080825,-0.27487,0.041959,559,250,0.149631,0.698279
anorexia_pwrANvscontrols,R_bankssts,-0.04366,0.080669,-0.20177,0.114448,558,249,0.588351,0.899238
anorexia_pwrANvscontrols,R_caudalanteriorcingulate,-0.02749,0.080519,-0.1853,0.130326,558,250,0.732806,0.899238
anorexia_pwrANvscontrols,R_caudalmiddlefrontal,-0.00145,0.143127,-0.28197,0.279076,559,250,0.991936,0.991936
anorexia_pwrANvscontrols,R_cuneus,-0.12469,0.080956,-0.28336,0.033986,553,249,0.123521,0.67573
anorexia_pwrANvscontrols,R_entorhinal,-0.08477,0.080369,-0.24229,0.072754,559,250,0.291555,0.865139
anorexia_pwrANvscontrols,R_fusiform,-0.08178,0.123521,-0.32388,0.160317,559,249,0.507925,0.899238
anorexia_pwrANvscontrols,R_inferiorparietal,-0.09756,0.080482,-0.2553,0.060181,558,249,0.225435,0.865139
anorexia_pwrANvscontrols,R_inferiortemporal,-0.0443,0.162795,-0.36338,0.274768,559,249,0.785509,0.899238
anorexia_pwrANvscontrols,R_isthmuscingulate,-0.07622,0.080576,-0.23415,0.081704,559,250,0.344169,0.899238
anorexia_pwrANvscontrols,R_lateraloccipital,0.118748,0.113774,-0.10425,0.341741,559,249,0.296619,0.865139
anorexia_pwrANvscontrols,R_lateralorbitofrontal,-0.15144,0.080768,-0.30974,0.006866,558,248,0.0608,0.67573
anorexia_pwrANvscontrols,R_lingual,0.008044,0.125583,-0.23809,0.254182,554,248,0.948929,0.991419
anorexia_pwrANvscontrols,R_medialorbitofrontal,-0.05735,0.080616,-0.21536,0.100655,559,249,0.476837,0.899238
anorexia_pwrANvscontrols,R_middletemporal,-0.07988,0.091873,-0.25994,0.100194,559,250,0.384627,0.899238
anorexia_pwrANvscontrols,R_parahippocampal,0.07256,0.150339,-0.2221,0.367219,559,250,0.629351,0.899238
anorexia_pwrANvscontrols,R_paracentral,-0.13379,0.080524,-0.29161,0.024038,559,250,0.096624,0.67573
anorexia_pwrANvscontrols,R_parsopercularis,-0.04235,0.080477,-0.20008,0.115386,559,250,0.598765,0.899238
anorexia_pwrANvscontrols,R_parsorbitalis,-0.09339,0.08045,-0.25107,0.064285,559,249,0.245685,0.865139
anorexia_pwrANvscontrols,R_parstriangularis,-0.16328,0.080404,-0.32087,-0.00569,559,250,0.042278,0.67573
anorexia_pwrANvscontrols,R_pericalcarine,-0.07679,0.081011,-0.23557,0.081986,550,248,0.343161,0.899238
anorexia_pwrANvscontrols,R_postcentral,-0.09509,0.080692,-0.25325,0.06306,559,250,0.238605,0.865139
anorexia_pwrANvscontrols,R_posteriorcingulate,-0.0465,0.080651,-0.20458,0.111569,558,250,0.564204,0.899238
anorexia_pwrANvscontrols,R_precentral,-0.13695,0.085522,-0.30457,0.030668,559,250,0.109296,0.67573
anorexia_pwrANvscontrols,R_precuneus,-0.04735,0.12296,-0.28834,0.19365,559,250,0.700197,0.899238
anorexia_pwrANvscontrols,R_rostralanteriorcingulate,-0.04322,0.080526,-0.20105,0.114603,558,250,0.59142,0.899238
anorexia_pwrANvscontrols,R_rostralmiddlefrontal,0.016949,0.15162,-0.28022,0.314119,558,248,0.910993,0.981069
anorexia_pwrANvscontrols,R_superiorfrontal,-0.09003,0.080619,-0.24804,0.067983,558,249,0.264125,0.865139
anorexia_pwrANvscontrols,R_superiorparietal,-0.16504,0.090235,-0.3419,0.011814,559,250,0.067394,0.67573
anorexia_pwrANvscontrols,R_superiortemporal,-0.06498,0.08065,-0.22306,0.093088,558,249,0.420388,0.899238
anorexia_pwrANvscontrols,R_supramarginal,-0.04711,0.080766,-0.20541,0.111193,558,250,0.559733,0.899238
anorexia_pwrANvscontrols,R_frontalpole,-0.01791,0.098402,-0.21078,0.174952,559,249,0.85556,0.950622
anorexia_pwrANvscontrols,R_temporalpole,-0.06483,0.080481,-0.22257,0.092911,559,249,0.420522,0.899238
anorexia_pwrANvscontrols,R_transversetemporal,-0.05018,0.08031,-0.20758,0.107227,559,250,0.532103,0.899238
anorexia_pwrANvscontrols,R_insula,-0.05731,0.080591,-0.21526,0.100647,559,250,0.477024,0.899238
