SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
anorexia_pwrANvscontrols,L_bankssts,-0.10019,0.081201,-0.25934,0.058965,551,249,0.217277,0.434555
anorexia_pwrANvscontrols,L_caudalanteriorcingulate,-0.06721,0.080498,-0.22499,0.09056,558,250,0.403736,0.66961
anorexia_pwrANvscontrols,L_caudalmiddlefrontal,-0.20264,0.08055,-0.36051,-0.04476,559,250,0.011881,0.064031
anorexia_pwrANvscontrols,L_cuneus,0.011563,0.112975,-0.20986,0.232989,557,246,0.918482,0.991377
anorexia_pwrANvscontrols,L_entorhinal,0.146271,0.080665,-0.01183,0.304372,559,250,0.069782,0.182508
anorexia_pwrANvscontrols,L_fusiform,0.192198,0.080695,0.034038,0.350357,559,250,0.017229,0.083685
anorexia_pwrANvscontrols,L_inferiorparietal,-0.31057,0.080961,-0.46925,-0.15189,557,250,0.000125,0.002596
anorexia_pwrANvscontrols,L_inferiortemporal,0.154215,0.080592,-0.00374,0.312173,558,250,0.055682,0.165992
anorexia_pwrANvscontrols,L_isthmuscingulate,-0.28612,0.08073,-0.44435,-0.12789,559,250,0.000394,0.004464
anorexia_pwrANvscontrols,L_lateraloccipital,-0.14371,0.096284,-0.33242,0.045005,558,250,0.135558,0.307265
anorexia_pwrANvscontrols,L_lateralorbitofrontal,0.276189,0.121315,0.038416,0.513962,558,248,0.022808,0.086165
anorexia_pwrANvscontrols,L_lingual,0.027682,0.080887,-0.13085,0.186217,557,248,0.732173,0.905092
anorexia_pwrANvscontrols,L_medialorbitofrontal,0.236456,0.080895,0.077905,0.395008,559,249,0.003467,0.025947
anorexia_pwrANvscontrols,L_middletemporal,0.081773,0.080671,-0.07634,0.239884,554,250,0.310743,0.571095
anorexia_pwrANvscontrols,L_parahippocampal,0.014618,0.080532,-0.14322,0.172459,559,250,0.855957,0.957677
anorexia_pwrANvscontrols,L_paracentral,-0.30178,0.080888,-0.46031,-0.14324,559,250,0.000191,0.002596
anorexia_pwrANvscontrols,L_parsopercularis,-0.14734,0.14443,-0.43041,0.135742,559,250,0.307671,0.571095
anorexia_pwrANvscontrols,L_parsorbitalis,-0.14258,0.108826,-0.35588,0.070715,559,249,0.190138,0.417076
anorexia_pwrANvscontrols,L_parstriangularis,0.144795,0.1544,-0.15782,0.447412,559,250,0.348352,0.607382
anorexia_pwrANvscontrols,L_pericalcarine,0.007459,0.139094,-0.26516,0.280077,556,246,0.957235,0.998407
anorexia_pwrANvscontrols,L_postcentral,0.033691,0.080546,-0.12418,0.191558,558,250,0.675737,0.900544
anorexia_pwrANvscontrols,L_posteriorcingulate,-0.22087,0.118671,-0.45347,0.011718,558,250,0.062713,0.17058
anorexia_pwrANvscontrols,L_precentral,-0.10126,0.080642,-0.25931,0.056797,559,250,0.209241,0.431164
anorexia_pwrANvscontrols,L_precuneus,-0.29415,0.147078,-0.58242,-0.00589,559,250,0.045502,0.154707
anorexia_pwrANvscontrols,L_rostralanteriorcingulate,0.15002,0.080546,-0.00785,0.307887,559,250,0.062526,0.17058
anorexia_pwrANvscontrols,L_rostralmiddlefrontal,0.185526,0.081234,0.02631,0.344743,557,248,0.022381,0.086165
anorexia_pwrANvscontrols,L_superiorfrontal,-0.35033,0.156903,-0.65785,-0.0428,558,249,0.025564,0.091493
anorexia_pwrANvscontrols,L_superiorparietal,-0.37023,0.081283,-0.52954,-0.21091,559,250,0.00000524,0.000357
anorexia_pwrANvscontrols,L_superiortemporal,0.046884,0.144169,-0.23568,0.32945,553,248,0.745029,0.905092
anorexia_pwrANvscontrols,L_supramarginal,-0.02611,0.080393,-0.18368,0.13146,558,250,0.74537,0.905092
anorexia_pwrANvscontrols,L_frontalpole,0.156129,0.080791,-0.00222,0.314477,559,249,0.053297,0.165992
anorexia_pwrANvscontrols,L_temporalpole,0.216016,0.12945,-0.0377,0.469734,557,248,0.095173,0.231135
anorexia_pwrANvscontrols,L_transversetemporal,0.078812,0.08053,-0.07902,0.236648,559,250,0.327741,0.586484
anorexia_pwrANvscontrols,L_insula,0.072914,0.150789,-0.22263,0.368455,559,250,0.628705,0.890666
anorexia_pwrANvscontrols,R_bankssts,-0.0143,0.080544,-0.17216,0.143564,558,249,0.859093,0.957677
anorexia_pwrANvscontrols,R_caudalanteriorcingulate,-0.0266,0.080678,-0.18472,0.131526,558,250,0.741626,0.905092
anorexia_pwrANvscontrols,R_caudalmiddlefrontal,0.052984,0.106076,-0.15492,0.260889,559,250,0.61743,0.890666
anorexia_pwrANvscontrols,R_cuneus,-0.03534,0.080936,-0.19397,0.123289,553,249,0.662351,0.900544
anorexia_pwrANvscontrols,R_entorhinal,0.143057,0.113239,-0.07889,0.365001,559,250,0.206476,0.431164
anorexia_pwrANvscontrols,R_fusiform,0.260464,0.080814,0.102071,0.418857,559,249,0.001269,0.010783
anorexia_pwrANvscontrols,R_inferiorparietal,-0.02742,0.142176,-0.30608,0.251238,558,249,0.847063,0.957677
anorexia_pwrANvscontrols,R_inferiortemporal,0.231371,0.080816,0.072975,0.389767,559,249,0.004197,0.025947
anorexia_pwrANvscontrols,R_isthmuscingulate,-0.11997,0.080355,-0.27746,0.037523,559,250,0.135437,0.307265
anorexia_pwrANvscontrols,R_lateraloccipital,-0.05129,0.080551,-0.20917,0.106584,559,249,0.524273,0.81024
anorexia_pwrANvscontrols,R_lateralorbitofrontal,0.306523,0.081177,0.147419,0.465627,558,248,0.000159,0.002596
anorexia_pwrANvscontrols,R_lingual,0.050416,0.125824,-0.1962,0.297028,554,248,0.688651,0.900544
anorexia_pwrANvscontrols,R_medialorbitofrontal,0.264563,0.080874,0.106053,0.423072,559,249,0.001071,0.010399
anorexia_pwrANvscontrols,R_middletemporal,0.201803,0.080557,0.043915,0.359691,559,250,0.012241,0.064031
anorexia_pwrANvscontrols,R_parahippocampal,0.024465,0.080478,-0.13327,0.182199,559,250,0.76113,0.908014
anorexia_pwrANvscontrols,R_paracentral,-0.15395,0.142197,-0.43265,0.124752,559,250,0.278964,0.541987
anorexia_pwrANvscontrols,R_parsopercularis,0.00213,0.080561,-0.15577,0.160025,559,250,0.97891,0.998407
anorexia_pwrANvscontrols,R_parsorbitalis,-0.07841,0.13983,-0.35247,0.195649,559,249,0.574955,0.868821
anorexia_pwrANvscontrols,R_parstriangularis,-0.0001,0.080345,-0.15757,0.157371,559,250,0.998987,0.998987
anorexia_pwrANvscontrols,R_pericalcarine,0.07821,0.117838,-0.15275,0.309169,550,248,0.50688,0.801578
anorexia_pwrANvscontrols,R_postcentral,0.153657,0.080452,-0.00403,0.311341,559,250,0.056145,0.165992
anorexia_pwrANvscontrols,R_posteriorcingulate,-0.01018,0.080498,-0.16795,0.147598,558,250,0.899406,0.986446
anorexia_pwrANvscontrols,R_precentral,-0.00164,0.080449,-0.15932,0.156036,559,250,0.983724,0.998407
anorexia_pwrANvscontrols,R_precuneus,-0.23312,0.080921,-0.39172,-0.07452,559,250,0.003966,0.025947
anorexia_pwrANvscontrols,R_rostralanteriorcingulate,0.189134,0.080842,0.030686,0.347581,558,250,0.019307,0.086165
anorexia_pwrANvscontrols,R_rostralmiddlefrontal,0.130222,0.166624,-0.19636,0.4568,558,248,0.43449,0.70346
anorexia_pwrANvscontrols,R_superiorfrontal,-0.07035,0.082109,-0.23128,0.09058,558,249,0.391554,0.665642
anorexia_pwrANvscontrols,R_superiorparietal,-0.40496,0.093338,-0.5879,-0.22202,559,250,0.0000143,0.000487
anorexia_pwrANvscontrols,R_superiortemporal,0.187331,0.080762,0.02904,0.345622,558,249,0.020366,0.086165
anorexia_pwrANvscontrols,R_supramarginal,0.003294,0.088196,-0.16957,0.176155,558,250,0.970209,0.998407
anorexia_pwrANvscontrols,R_frontalpole,0.139556,0.080768,-0.01875,0.297857,559,249,0.084012,0.211585
anorexia_pwrANvscontrols,R_temporalpole,0.034599,0.156468,-0.27207,0.341269,559,249,0.824997,0.957677
anorexia_pwrANvscontrols,R_transversetemporal,0.03433,0.080493,-0.12343,0.192095,559,250,0.669745,0.900544
anorexia_pwrANvscontrols,R_insula,0.089049,0.165266,-0.23487,0.412964,559,250,0.590009,0.872188
