Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.182;;;;;;;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;-0.054;;;;;;;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.217;;;;;;;
AgevsCortThick;L_cuneus_thickavg;-0.139;;;;;;;
AgevsCortThick;L_entorhinal_thickavg;0.029;;;;;;;
AgevsCortThick;L_fusiform_thickavg;-0.14;;;;;;;
AgevsCortThick;L_inferiorparietal_thickavg;-0.192;;;;;;;
AgevsCortThick;L_inferiortemporal_thickavg;-0.103;;;;;;;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.168;;;;;;;
AgevsCortThick;L_lateraloccipital_thickavg;-0.049;;;;;;;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.145;;;;;;;
AgevsCortThick;L_lingual_thickavg;-0.176;;;;;;;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.113;;;;;;;
AgevsCortThick;L_middletemporal_thickavg;-0.162;;;;;;;
AgevsCortThick;L_parahippocampal_thickavg;-0.082;;;;;;;
AgevsCortThick;L_paracentral_thickavg;-0.223;;;;;;;
AgevsCortThick;L_parsopercularis_thickavg;-0.258;;;;;;;
AgevsCortThick;L_parsorbitalis_thickavg;-0.161;;;;;;;
AgevsCortThick;L_parstriangularis_thickavg;-0.232;;;;;;;
AgevsCortThick;L_pericalcarine_thickavg;-0.13;;;;;;;
AgevsCortThick;L_postcentral_thickavg;-0.193;;;;;;;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.221;;;;;;;
AgevsCortThick;L_precentral_thickavg;-0.266;;;;;;;
AgevsCortThick;L_precuneus_thickavg;-0.207;;;;;;;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;-0.103;;;;;;;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.167;;;;;;;
AgevsCortThick;L_superiorfrontal_thickavg;-0.279;;;;;;;
AgevsCortThick;L_superiorparietal_thickavg;-0.145;;;;;;;
AgevsCortThick;L_superiortemporal_thickavg;-0.24;;;;;;;
AgevsCortThick;L_supramarginal_thickavg;-0.232;;;;;;;
AgevsCortThick;L_frontalpole_thickavg;-0.057;;;;;;;
AgevsCortThick;L_temporalpole_thickavg;0.004;;;;;;;
AgevsCortThick;L_transversetemporal_thickavg;-0.209;;;;;;;
AgevsCortThick;L_insula_thickavg;-0.192;;;;;;;
AgevsCortThick;R_bankssts_thickavg;-0.18;;;;;;;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;-0.11;;;;;;;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.212;;;;;;;
AgevsCortThick;R_cuneus_thickavg;-0.162;;;;;;;
AgevsCortThick;R_entorhinal_thickavg;0.013;;;;;;;
AgevsCortThick;R_fusiform_thickavg;-0.146;;;;;;;
AgevsCortThick;R_inferiorparietal_thickavg;-0.187;;;;;;;
AgevsCortThick;R_inferiortemporal_thickavg;-0.049;;;;;;;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.2;;;;;;;
AgevsCortThick;R_lateraloccipital_thickavg;-0.058;;;;;;;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.15;;;;;;;
AgevsCortThick;R_lingual_thickavg;-0.178;;;;;;;
AgevsCortThick;R_medialorbitofrontal_thickavg;-0.14;;;;;;;
AgevsCortThick;R_middletemporal_thickavg;-0.164;;;;;;;
AgevsCortThick;R_parahippocampal_thickavg;-0.076;;;;;;;
AgevsCortThick;R_paracentral_thickavg;-0.212;;;;;;;
AgevsCortThick;R_parsopercularis_thickavg;-0.266;;;;;;;
AgevsCortThick;R_parsorbitalis_thickavg;-0.13;;;;;;;
AgevsCortThick;R_parstriangularis_thickavg;-0.247;;;;;;;
AgevsCortThick;R_pericalcarine_thickavg;-0.159;;;;;;;
AgevsCortThick;R_postcentral_thickavg;-0.186;;;;;;;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.186;;;;;;;
AgevsCortThick;R_precentral_thickavg;-0.249;;;;;;;
AgevsCortThick;R_precuneus_thickavg;-0.21;;;;;;;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;-0.083;;;;;;;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.166;;;;;;;
AgevsCortThick;R_superiorfrontal_thickavg;-0.247;;;;;;;
AgevsCortThick;R_superiorparietal_thickavg;-0.123;;;;;;;
AgevsCortThick;R_superiortemporal_thickavg;-0.247;;;;;;;
AgevsCortThick;R_supramarginal_thickavg;-0.196;;;;;;;
AgevsCortThick;R_frontalpole_thickavg;-0.064;;;;;;;
AgevsCortThick;R_temporalpole_thickavg;0.026;;;;;;;
AgevsCortThick;R_transversetemporal_thickavg;-0.19;;;;;;;
AgevsCortThick;R_insula_thickavg;-0.197;;;;;;;
