Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.244;;;;;;;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;-0.067;;;;;;;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.308;;;;;;;
AgevsCortThick;L_cuneus_thickavg;-0.18;;;;;;;
AgevsCortThick;L_entorhinal_thickavg;-0.023;;;;;;;
AgevsCortThick;L_fusiform_thickavg;-0.218;;;;;;;
AgevsCortThick;L_inferiorparietal_thickavg;-0.277;;;;;;;
AgevsCortThick;L_inferiortemporal_thickavg;-0.175;;;;;;;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.286;;;;;;;
AgevsCortThick;L_lateraloccipital_thickavg;-0.132;;;;;;;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.229;;;;;;;
AgevsCortThick;L_lingual_thickavg;-0.249;;;;;;;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.178;;;;;;;
AgevsCortThick;L_middletemporal_thickavg;-0.261;;;;;;;
AgevsCortThick;L_parahippocampal_thickavg;-0.13;;;;;;;
AgevsCortThick;L_paracentral_thickavg;-0.236;;;;;;;
AgevsCortThick;L_parsopercularis_thickavg;-0.38;;;;;;;
AgevsCortThick;L_parsorbitalis_thickavg;-0.269;;;;;;;
AgevsCortThick;L_parstriangularis_thickavg;-0.344;;;;;;;
AgevsCortThick;L_pericalcarine_thickavg;-0.159;;;;;;;
AgevsCortThick;L_postcentral_thickavg;-0.267;;;;;;;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.29;;;;;;;
AgevsCortThick;L_precentral_thickavg;-0.326;;;;;;;
AgevsCortThick;L_precuneus_thickavg;-0.311;;;;;;;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;-0.158;;;;;;;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.285;;;;;;;
AgevsCortThick;L_superiorfrontal_thickavg;-0.354;;;;;;;
AgevsCortThick;L_superiorparietal_thickavg;-0.216;;;;;;;
AgevsCortThick;L_superiortemporal_thickavg;-0.32;;;;;;;
AgevsCortThick;L_supramarginal_thickavg;-0.333;;;;;;;
AgevsCortThick;L_frontalpole_thickavg;-0.14;;;;;;;
AgevsCortThick;L_temporalpole_thickavg;-0.066;;;;;;;
AgevsCortThick;L_transversetemporal_thickavg;-0.213;;;;;;;
AgevsCortThick;L_insula_thickavg;-0.291;;;;;;;
AgevsCortThick;R_bankssts_thickavg;-0.279;;;;;;;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;-0.111;;;;;;;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.293;;;;;;;
AgevsCortThick;R_cuneus_thickavg;-0.18;;;;;;;
AgevsCortThick;R_entorhinal_thickavg;-0.009;;;;;;;
AgevsCortThick;R_fusiform_thickavg;-0.248;;;;;;;
AgevsCortThick;R_inferiorparietal_thickavg;-0.29;;;;;;;
AgevsCortThick;R_inferiortemporal_thickavg;-0.179;;;;;;;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.286;;;;;;;
AgevsCortThick;R_lateraloccipital_thickavg;-0.165;;;;;;;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.254;;;;;;;
AgevsCortThick;R_lingual_thickavg;-0.261;;;;;;;
AgevsCortThick;R_medialorbitofrontal_thickavg;-0.206;;;;;;;
AgevsCortThick;R_middletemporal_thickavg;-0.25;;;;;;;
AgevsCortThick;R_parahippocampal_thickavg;-0.148;;;;;;;
AgevsCortThick;R_paracentral_thickavg;-0.249;;;;;;;
AgevsCortThick;R_parsopercularis_thickavg;-0.355;;;;;;;
AgevsCortThick;R_parsorbitalis_thickavg;-0.261;;;;;;;
AgevsCortThick;R_parstriangularis_thickavg;-0.358;;;;;;;
AgevsCortThick;R_pericalcarine_thickavg;-0.157;;;;;;;
AgevsCortThick;R_postcentral_thickavg;-0.264;;;;;;;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.264;;;;;;;
AgevsCortThick;R_precentral_thickavg;-0.318;;;;;;;
AgevsCortThick;R_precuneus_thickavg;-0.298;;;;;;;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;-0.19;;;;;;;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.263;;;;;;;
AgevsCortThick;R_superiorfrontal_thickavg;-0.348;;;;;;;
AgevsCortThick;R_superiorparietal_thickavg;-0.221;;;;;;;
AgevsCortThick;R_superiortemporal_thickavg;-0.322;;;;;;;
AgevsCortThick;R_supramarginal_thickavg;-0.364;;;;;;;
AgevsCortThick;R_frontalpole_thickavg;-0.165;;;;;;;
AgevsCortThick;R_temporalpole_thickavg;-0.059;;;;;;;
AgevsCortThick;R_transversetemporal_thickavg;-0.202;;;;;;;
AgevsCortThick;R_insula_thickavg;-0.307;;;;;;;
