Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.401;;;;;;0.1348;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;-0.278;;;;;;0.0002;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.383;;;;;;0.5413;
AgevsCortThick;L_cuneus_thickavg;-0.385;;;;;;0.0025;
AgevsCortThick;L_entorhinal_thickavg;0.008;;;;;;0.7225;
AgevsCortThick;L_fusiform_thickavg;-0.343;;;;;;0.1722;
AgevsCortThick;L_inferiorparietal_thickavg;-0.52;;;;;;0.2081;
AgevsCortThick;L_inferiortemporal_thickavg;-0.31;;;;;;0.0449;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.362;;;;;;0.5258;
AgevsCortThick;L_lateraloccipital_thickavg;-0.381;;;;;;0.2683;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.48;;;;;;0.6571;
AgevsCortThick;L_lingual_thickavg;-0.404;;;;;;0.5093;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.396;;;;;;0.9359;
AgevsCortThick;L_middletemporal_thickavg;-0.385;;;;;;0.0033;
AgevsCortThick;L_parahippocampal_thickavg;-0.171;;;;;;0.2011;
AgevsCortThick;L_paracentral_thickavg;-0.427;;;;;;0.1578;
AgevsCortThick;L_parsopercularis_thickavg;-0.424;;;;;;0.4775;
AgevsCortThick;L_parsorbitalis_thickavg;-0.386;;;;;;0.0847;
AgevsCortThick;L_parstriangularis_thickavg;-0.447;;;;;;0.3120;
AgevsCortThick;L_pericalcarine_thickavg;-0.274;;;;;;0.1714;
AgevsCortThick;L_postcentral_thickavg;-0.382;;;;;;0.0441;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.487;;;;;;0.0227;
AgevsCortThick;L_precentral_thickavg;-0.278;;;;;;0;
AgevsCortThick;L_precuneus_thickavg;-0.543;;;;;;0.7903;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;-0.326;;;;;;0.0664;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.5;;;;;;0.5133;
AgevsCortThick;L_superiorfrontal_thickavg;-0.503;;;;;;0.6952;
AgevsCortThick;L_superiorparietal_thickavg;-0.484;;;;;;0.9745;
AgevsCortThick;L_superiortemporal_thickavg;-0.312;;;;;;0.0815;
AgevsCortThick;L_supramarginal_thickavg;-0.47;;;;;;0.3212;
AgevsCortThick;L_frontalpole_thickavg;-0.244;;;;;;0.0005;
AgevsCortThick;L_temporalpole_thickavg;0.003;;;;;;0.0379;
AgevsCortThick;L_transversetemporal_thickavg;-0.262;;;;;;0.6329;
AgevsCortThick;L_insula_thickavg;-0.381;;;;;;0.3535;
AgevsCortThick;R_bankssts_thickavg;-0.385;;;;;;0.2366;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;-0.279;;;;;;0.0001;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.379;;;;;;0.8999;
AgevsCortThick;R_cuneus_thickavg;-0.415;;;;;;0.0112;
AgevsCortThick;R_entorhinal_thickavg;0.024;;;;;;0.1436;
AgevsCortThick;R_fusiform_thickavg;-0.367;;;;;;0.0303;
AgevsCortThick;R_inferiorparietal_thickavg;-0.52;;;;;;0.1918;
AgevsCortThick;R_inferiortemporal_thickavg;-0.32;;;;;;0.0857;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.372;;;;;;0.0196;
AgevsCortThick;R_lateraloccipital_thickavg;-0.382;;;;;;0.8078;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.447;;;;;;0.0027;
AgevsCortThick;R_lingual_thickavg;-0.426;;;;;;0.1938;
AgevsCortThick;R_medialorbitofrontal_thickavg;-0.426;;;;;;0.0545;
AgevsCortThick;R_middletemporal_thickavg;-0.403;;;;;;0.0009;
AgevsCortThick;R_parahippocampal_thickavg;-0.183;;;;;;0.3844;
AgevsCortThick;R_paracentral_thickavg;-0.411;;;;;;0.0248;
AgevsCortThick;R_parsopercularis_thickavg;-0.411;;;;;;0.6346;
AgevsCortThick;R_parsorbitalis_thickavg;-0.342;;;;;;0.0043;
AgevsCortThick;R_parstriangularis_thickavg;-0.442;;;;;;0.4239;
AgevsCortThick;R_pericalcarine_thickavg;-0.269;;;;;;0.0415;
AgevsCortThick;R_postcentral_thickavg;-0.39;;;;;;0.3740;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.462;;;;;;0.0076;
AgevsCortThick;R_precentral_thickavg;-0.292;;;;;;0.0000;
AgevsCortThick;R_precuneus_thickavg;-0.532;;;;;;0.6332;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;-0.294;;;;;;0.0376;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.482;;;;;;0.2797;
AgevsCortThick;R_superiorfrontal_thickavg;-0.487;;;;;;0.6076;
AgevsCortThick;R_superiorparietal_thickavg;-0.475;;;;;;0.7408;
AgevsCortThick;R_superiortemporal_thickavg;-0.341;;;;;;0.0476;
AgevsCortThick;R_supramarginal_thickavg;-0.483;;;;;;0.0463;
AgevsCortThick;R_frontalpole_thickavg;-0.263;;;;;;0.0515;
AgevsCortThick;R_temporalpole_thickavg;0.077;;;;;;0.0013;
AgevsCortThick;R_transversetemporal_thickavg;-0.285;;;;;;0.0427;
AgevsCortThick;R_insula_thickavg;-0.371;;;;;;0.1187;
