CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_p;;;;;
PDvsCN;L_bankssts_thickavg;-0.104;0.007;-0.040;-0.012;-1.105;1081;2061;<0.001;;;;;;
PDvsCN;L_caudalanteriorcingulate_thickavg;0.043;0.011;-0.006;0.036;0.567;1169;2297;0.173;;;;;;
PDvsCN;L_caudalmiddlefrontal_thickavg;-0.135;0.006;-0.039;-0.015;-1.119;1167;2300;<0.001;;;;;;
PDvsCN;L_cuneus_thickavg;-0.112;0.006;-0.032;-0.010;-1.157;1118;2142;<0.001;;;;;;
PDvsCN;L_entorhinal_thickavg;-0.096;0.013;-0.066;-0.014;-1.240;1163;2260;0.002;;;;;;
PDvsCN;L_fusiform_thickavg;-0.198;0.006;-0.055;-0.030;-1.638;1170;2274;<0.001;;;;;;
PDvsCN;L_inferiorparietal_thickavg;-0.188;0.006;-0.047;-0.025;-1.549;1128;2213;<0.001;;;;;;
PDvsCN;L_inferiortemporal_thickavg;-0.193;0.007;-0.055;-0.029;-1.578;1110;2211;<0.001;;;;;;
PDvsCN;L_isthmuscingulate_thickavg;-0.177;0.008;-0.057;-0.027;-1.792;1173;2302;<0.001;;;;;;
PDvsCN;L_lateraloccipital_thickavg;-0.166;0.006;-0.042;-0.019;-1.440;1151;2227;<0.001;;;;;;
PDvsCN;L_lateralorbitofrontal_thickavg;-0.125;0.006;-0.040;-0.015;-1.089;1168;2305;<0.001;;;;;;
PDvsCN;L_lingual_thickavg;-0.111;0.005;-0.029;-0.009;-0.992;1158;2244;<0.001;;;;;;
PDvsCN;L_medialorbitofrontal_thickavg;-0.098;0.006;-0.033;-0.008;-0.861;1166;2286;0.001;;;;;;
PDvsCN;L_middletemporal_thickavg;-0.156;0.007;-0.049;-0.022;-1.317;1096;2101;<0.001;;;;;;
PDvsCN;L_parahippocampal_thickavg;-0.122;0.012;-0.068;-0.021;-1.708;1169;2308;<0.001;;;;;;
PDvsCN;L_paracentral_thickavg;-0.109;0.007;-0.038;-0.012;-1.116;1170;2294;<0.001;;;;;;
PDvsCN;L_parsopercularis_thickavg;-0.020;0.006;-0.016;0.007;-0.171;1174;2300;0.477;;;;;;
