Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
APS< HC;L_bankssts_thickavg;-0.08;;-0.15;0;;;0.04;
APS< HC;L_caudalanteriorcingulate_thickavg;-0.02;;-0.09;0.06;;;0.64;
APS< HC;L_caudalmiddlefrontal_thickavg;-0.06;;-0.14;0.01;;;0.10;
APS< HC;L_cuneus_thickavg;-0.07;;-0.14;0.01;;;0.07;
APS< HC;L_entorhinal_thickavg;-0.10;;-0.17;-0.02;;;9.54e-03;
APS< HC;L_fusiform_thickavg;-0.05;;-0.13;0.02;;;0.16;
APS< HC;L_inferiorparietal_thickavg;-0.06;;-0.13;0.02;;;0.13;
APS< HC;L_inferiortemporal_thickavg;-0.04;;-0.11;0.04;;;0.32;
APS< HC;L_isthmuscingulate_thickavg;-0.01;;-0.08;0.07;;;0.86;
APS< HC;L_lateraloccipital_thickavg;-0.01;;-0.08;0.06;;;0.82;
APS< HC;L_lateralorbitofrontal_thickavg;-0.03;;-0.10;0.04;;;0.43;
APS< HC;L_lingual_thickavg;-0.05;;-0.13;0.02;;;0.15;
APS< HC;L_medialorbitofrontal_thickavg;-0.02;;-0.1;0.05;;;0.56;
APS< HC;L_middletemporal_thickavg;0;;-0.07;0.08;;;0.93;
APS< HC;L_parahippocampal_thickavg;-0.04;;-0.11;0.03;;;0.29;
APS< HC;L_paracentral_thickavg;-0.01;;-0.08;0.06;;;0.78;
APS< HC;L_parsopercularis_thickavg;-0.08;;-0.16;-0.01;;;0.02;
APS< HC;L_parsorbitalis_thickavg;0.01;;-0.07;0.08;;;0.83;
APS< HC;L_parstriangularis_thickavg;-0.06;;-0.13;0.01;;;0.12;
APS< HC;L_pericalcarine_thickavg;-0.06;;-0.14;0.01;;;0.09;
APS< HC;L_postcentral_thickavg;0;;-0.07;0.08;;;0.93;
APS< HC;L_posteriorcingulate_thickavg;-0.04;;-0.12;0.03;;;0.25;
APS< HC;L_precentral_thickavg;0.04;;-0.03;0.12;;;0.26;
APS< HC;L_precuneus_thickavg;-0.03;;-0.1;0.05;;;0.49;
APS< HC;L_rostralanteriorcingulate_thickavg;-0.12;;-0.2;-0.05;;;1.05e-03;
APS< HC;L_rostralmiddlefrontal_thickavg;-0.02;;-0.09;0.05;;;0.59;
APS< HC;L_superiorfrontal_thickavg;-0.05;;-0.12;0.02;;;0.19;
APS< HC;L_superiorparietal_thickavg;0.01;;-0.06;0.09;;;0.75;
APS< HC;L_superiortemporal_thickavg;-0.04;;-0.11;0.03;;;0.30;
APS< HC;L_supramarginal_thickavg;-0.11;;-0.19;-0.04;;;3.40e-03;
