Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
APS< no APS;L_bankssts_thickavg;-0.08;0;-0.25;0.09;0;0;0.38;0
APS< no APS;L_caudalanteriorcingulate_thickavg;-0.06;0;-0.23;0.11;0;0;0.50;0
APS< no APS;L_caudalmiddlefrontal_thickavg;-0.10;0;-0.27;0.06;0;0;0.23;0
APS< no APS;L_cuneus_thickavg;-0.12;0;-0.29;0.05;0;0;0.16;0
APS< no APS;L_entorhinal_thickavg;-0.02;0;-0.19;0.14;0;0;0.77;0
APS< no APS;L_fusiform_thickavg;-0.05;0;-0.22;0.12;0;0;0.56;0
APS< no APS;L_inferiorparietal_thickavg;0;0;-0.17;0.17;0;0;0.98;0
APS< no APS;L_inferiortemporal_thickavg;-0.06;0;-0.23;0.1;0;0;0.46;0
APS< no APS;L_isthmuscingulate_thickavg;0.01;0;-0.16;0.18;0;0;0.90;0
APS< no APS;L_lateraloccipital_thickavg;-0.02;0;-0.19;0.15;0;0;0.79;0
APS< no APS;L_lateralorbitofrontal_thickavg;-0.07;0;-0.24;0.1;0;0;0.40;0
APS< no APS;L_lingual_thickavg;0.08;0;-0.09;0.25;0;0;0.34;0
APS< no APS;L_medialorbitofrontal_thickavg;-0.01;0;-0.18;0.16;0;0;0.92;0
APS< no APS;L_middletemporal_thickavg;-0.09;0;-0.26;0.08;0;0;0.29;0
APS< no APS;L_parahippocampal_thickavg;0.12;0;-0.05;0.28;0;0;0.18;0
APS< no APS;L_paracentral_thickavg;-0.01;0;-0.18;0.16;0;0;0.91;0
APS< no APS;L_parsopercularis_thickavg;-0.06;0;-0.23;0.11;0;0;0.47;0
APS< no APS;L_parsorbitalis_thickavg;-0.13;0;-0.3;0.04;0;0;0.13;0
APS< no APS;L_parstriangularis_thickavg;-0.09;0;-0.26;0.08;0;0;0.29;0
APS< no APS;L_pericalcarine_thickavg;-0.09;0;-0.26;0.08;0;0;0.29;0
APS< no APS;L_postcentral_thickavg;0.04;0;-0.13;0.21;0;0;0.64;0
APS< no APS;L_posteriorcingulate_thickavg;0;0;-0.17;0.17;0;0;0.98;0
APS< no APS;L_precentral_thickavg;-0.06;0;-0.23;0.11;0;0;0.47;0
APS< no APS;L_precuneus_thickavg;0.12;0;-0.05;0.29;0;0;0.16;0
APS< no APS;L_rostralanteriorcingulate_thickavg;-0.16;0;-0.33;0.01;0;0;0.06;0
APS< no APS;L_rostralmiddlefrontal_thickavg;-0.04;0;-0.21;0.12;0;0;0.61;0
APS< no APS;L_superiorfrontal_thickavg;-0.24;0;-0.41;-0.07;0;0;5.92e-03;0
APS< no APS;L_superiorparietal_thickavg;0.01;0;-0.16;0.18;0;0;0.92;0
APS< no APS;L_superiortemporal_thickavg;-0.02;0;-0.19;0.15;0;0;0.79;0
APS< no APS;L_supramarginal_thickavg;0.07;0;-0.1;0.24;0;0;0.45;0
