Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
BIPS< no BIPS;L_bankssts_thickavg;0;;-0.21;0.22;;;0.97;
BIPS< no BIPS;L_caudalanteriorcingulate_thickavg;0.08;;-0.14;0.29;;;0.48;
BIPS< no BIPS;L_caudalmiddlefrontal_thickavg;0.02;;-0.19;0.23;;;0.86;
BIPS< no BIPS;L_cuneus_thickavg;0;;-0.22;0.22;;;0.99;
BIPS< no BIPS;L_entorhinal_thickavg;-0.02;;-0.23;0.19;;;0.85;
BIPS< no BIPS;L_fusiform_thickavg;0.12;;-0.1;0.33;;;0.28;
BIPS< no BIPS;L_inferiorparietal_thickavg;0.13;;-0.09;0.34;;;0.25;
BIPS< no BIPS;L_inferiortemporal_thickavg;0.22;;0;0.43;;;0.05;
BIPS< no BIPS;L_isthmuscingulate_thickavg;-0.12;;-0.34;0.09;;;0.26;
BIPS< no BIPS;L_lateraloccipital_thickavg;0.21;;0;0.43;;;0.05;
BIPS< no BIPS;L_lateralorbitofrontal_thickavg;-0.04;;-0.25;0.17;;;0.71;
BIPS< no BIPS;L_lingual_thickavg;-0.21;;-0.42;0.01;;;0.06;
BIPS< no BIPS;L_medialorbitofrontal_thickavg;0;;-0.21;0.22;;;0.97;
BIPS< no BIPS;L_middletemporal_thickavg;0.16;;-0.05;0.38;;;0.13;
BIPS< no BIPS;L_parahippocampal_thickavg;-0.09;;-0.31;0.12;;;0.39;
BIPS< no BIPS;L_paracentral_thickavg;0.17;;-0.04;0.38;;;0.12;
BIPS< no BIPS;L_parsopercularis_thickavg;-0.04;;-0.25;0.17;;;0.72;
BIPS< no BIPS;L_parsorbitalis_thickavg;0.06;;-0.15;0.28;;;0.56;
BIPS< no BIPS;L_parstriangularis_thickavg;-0.04;;-0.25;0.17;;;0.72;
BIPS< no BIPS;L_pericalcarine_thickavg;-0.08;;-0.3;0.13;;;0.45;
BIPS< no BIPS;L_postcentral_thickavg;0.04;;-0.17;0.25;;;0.71;
BIPS< no BIPS;L_posteriorcingulate_thickavg;0.06;;-0.15;0.27;;;0.56;
BIPS< no BIPS;L_precentral_thickavg;0.10;;-0.11;0.31;;;0.35;
BIPS< no BIPS;L_precuneus_thickavg;0.02;;-0.2;0.23;;;0.89;
BIPS< no BIPS;L_rostralanteriorcingulate_thickavg;0.16;;-0.06;0.37;;;0.15;
BIPS< no BIPS;L_rostralmiddlefrontal_thickavg;0.14;;-0.08;0.35;;;0.21;
BIPS< no BIPS;L_superiorfrontal_thickavg;0.21;;0;0.42;;;0.05;
BIPS< no BIPS;L_superiorparietal_thickavg;-0.06;;-0.27;0.16;;;0.61;
BIPS< no BIPS;L_superiortemporal_thickavg;-0.05;;-0.27;0.16;;;0.65;
BIPS< no BIPS;L_supramarginal_thickavg;-0.10;;-0.32;0.11;;;0.36;
BIPS< no BIPS;L_frontalpole_thickavg;0.02;;-0.19;0.23;;;0.85;
BIPS< no BIPS;L_temporalpole_thickavg;-0.05;;-0.27;0.16;;;0.62;
