Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no BIPS< HC;L_bankssts_thickavg;-0.07;;-0.14;0;;;0.06;
no BIPS< HC;L_caudalanteriorcingulate_thickavg;-0.02;;-0.09;0.06;;;0.65;
no BIPS< HC;L_caudalmiddlefrontal_thickavg;-0.05;;-0.13;0.02;;;0.15;
no BIPS< HC;L_cuneus_thickavg;-0.06;;-0.13;0.02;;;0.13;
no BIPS< HC;L_entorhinal_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;L_fusiform_thickavg;-0.05;;-0.13;0.02;;;0.14;
no BIPS< HC;L_inferiorparietal_thickavg;-0.06;;-0.14;0.01;;;0.09;
no BIPS< HC;L_inferiortemporal_thickavg;-0.04;;-0.12;0.03;;;0.24;
no BIPS< HC;L_isthmuscingulate_thickavg;0;;-0.07;0.07;;;0.98;
no BIPS< HC;L_lateraloccipital_thickavg;-0.02;;-0.09;0.05;;;0.62;
no BIPS< HC;L_lateralorbitofrontal_thickavg;-0.02;;-0.09;0.05;;;0.58;
no BIPS< HC;L_lingual_thickavg;-0.05;;-0.12;0.02;;;0.17;
no BIPS< HC;L_medialorbitofrontal_thickavg;-0.02;;-0.09;0.05;;;0.57;
no BIPS< HC;L_middletemporal_thickavg;0;;-0.07;0.08;;;0.95;
no BIPS< HC;L_parahippocampal_thickavg;-0.04;;-0.12;0.03;;;0.23;
no BIPS< HC;L_paracentral_thickavg;-0.02;;-0.09;0.05;;;0.61;
no BIPS< HC;L_parsopercularis_thickavg;-0.08;;-0.15;0;;;0.04;
no BIPS< HC;L_parsorbitalis_thickavg;0.02;;-0.06;0.09;;;0.67;
no BIPS< HC;L_parstriangularis_thickavg;-0.05;;-0.12;0.02;;;0.20;
no BIPS< HC;L_pericalcarine_thickavg;-0.05;;-0.12;0.02;;;0.18;
no BIPS< HC;L_postcentral_thickavg;0;;-0.08;0.07;;;0.94;
no BIPS< HC;L_posteriorcingulate_thickavg;-0.05;;-0.12;0.03;;;0.21;
no BIPS< HC;L_precentral_thickavg;0.04;;-0.03;0.12;;;0.26;
no BIPS< HC;L_precuneus_thickavg;-0.04;;-0.11;0.04;;;0.32;
no BIPS< HC;L_rostralanteriorcingulate_thickavg;-0.12;;-0.19;-0.04;;;1.60e-03;
no BIPS< HC;L_rostralmiddlefrontal_thickavg;-0.02;;-0.1;0.05;;;0.52;
no BIPS< HC;L_superiorfrontal_thickavg;-0.04;;-0.11;0.03;;;0.28;
no BIPS< HC;L_superiorparietal_thickavg;0.01;;-0.06;0.09;;;0.70;
no BIPS< HC;L_superiortemporal_thickavg;-0.03;;-0.11;0.04;;;0.36;
no BIPS< HC;L_supramarginal_thickavg;-0.11;;-0.18;-0.04;;;3.08e-03;
no BIPS< HC;L_frontalpole_thickavg;0.03;;-0.04;0.11;;;0.38;
no BIPS< HC;L_temporalpole_thickavg;-0.03;;-0.1;0.04;;;0.44;
no BIPS< HC;L_transversetemporal_thickavg;-0.05;;-0.13;0.02;;;0.16;
no BIPS< HC;L_insula_thickavg;-0.06;;-0.13;0.02;;;0.13;
no BIPS< HC;R_bankssts_thickavg;-0.08;;-0.16;-0.01;;;0.03;
no BIPS< HC;R_caudalanteriorcingulate_thickavg;-0.08;;-0.16;-0.01;;;0.03;
no BIPS< HC;R_caudalmiddlefrontal_thickavg;-0.04;;-0.11;0.04;;;0.34;
no BIPS< HC;R_cuneus_thickavg;-0.08;;-0.16;-0.01;;;0.03;
