Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
CHR-PS-< HC;L_bankssts_thickavg;-0.12;;-0.2;-0.04;;;2.22e-03;
CHR-PS-< HC;L_caudalanteriorcingulate_thickavg;-0.06;;-0.13;0..02;;;0.16;
CHR-PS-< HC;L_caudalmiddlefrontal_thickavg;-0.10;;-0.18;-0.02;;;9.86e-03;
CHR-PS-< HC;L_cuneus_thickavg;-0.06;;-0.14;0.01;;;0.10;
CHR-PS-< HC;L_entorhinal_thickavg;-0.13;;-0.21;-0.05;;;9.06e-04;
CHR-PS-< HC;L_fusiform_thickavg;-0.10;;-0.18;-0.02;;;0.01;
CHR-PS-< HC;L_inferiorparietal_thickavg;-0.13;;-0.21;-0.05;;;1.10e-03;
CHR-PS-< HC;L_inferiortemporal_thickavg;-0.11;;-0.18;-0.03;;;7.35e-03;
CHR-PS-< HC;L_isthmuscingulate_thickavg;-0.05;;-0.12;0.03;;;0.25;
CHR-PS-< HC;L_lateraloccipital_thickavg;-0.06;;-0.13;0.02;;;0.15;
CHR-PS-< HC;L_lateralorbitofrontal_thickavg;-0.09;;-0.17;-0.01;;;0.02;
CHR-PS-< HC;L_lingual_thickavg;-0.09;;-0.17;-0.01;;;0.02;
CHR-PS-< HC;L_medialorbitofrontal_thickavg;-0.10;;-0.17;-0.02;;;0.01;
CHR-PS-< HC;L_middletemporal_thickavg;-0.06;;-0.14;0.02;;;0.13;
CHR-PS-< HC;L_parahippocampal_thickavg;-0.09;;-0.17;-0.01;;;0.02;
CHR-PS-< HC;L_paracentral_thickavg;-0.07;;-0.15;0.01;;;0.07;
CHR-PS-< HC;L_parsopercularis_thickavg;-0.12;;-0.2;-0.05;;;1.90e-03;
CHR-PS-< HC;L_parsorbitalis_thickavg;-0.05;;-0.13;0.02;;;0.17;
CHR-PS-< HC;L_parstriangularis_thickavg;-0.09;;-0.17;-0.02;;;0.02;
CHR-PS-< HC;L_pericalcarine_thickavg;-0.07;;-0.15;0;;;0.07;
CHR-PS-< HC;L_postcentral_thickavg;-0.08;;-0.15;0;;;0.05;
CHR-PS-< HC;L_posteriorcingulate_thickavg;-0.11;;-0.19;-0.03;;;5.10e-03;
CHR-PS-< HC;L_precentral_thickavg;-0.02;;-0.1;0.05;;;0.54;
CHR-PS-< HC;L_precuneus_thickavg;-0.10;;-0.18;-0.03;;;9.36e-03;
CHR-PS-< HC;L_rostralanteriorcingulate_thickavg;-0.16;;-0.24;-0.09;;;3.73e-05;
CHR-PS-< HC;L_rostralmiddlefrontal_thickavg;-0.10;;-0.18;-0.02;;;9.95e-03;
CHR-PS-< HC;L_superiorfrontal_thickavg;-0.10;;-0.18;-0.03;;;8.04e-03;
CHR-PS-< HC;L_superiorparietal_thickavg;-0.06;;-0.14;0.02;;;0.12;
CHR-PS-< HC;L_superiortemporal_thickavg;-0.08;;-0.16;0;;;0.05;
CHR-PS-< HC;L_supramarginal_thickavg;-0.13;;-0.21;-0.05;;;9.63e-04;
CHR-PS-< HC;L_frontalpole_thickavg;-0.03;;-0.11;0.04;;;0.39;
CHR-PS-< HC;L_temporalpole_thickavg;-0.05;;-0.13;0.03;;;0.19;
CHR-PS-< HC;L_transversetemporal_thickavg;-0.06;;-0.13;0.02;;;0.15;
CHR-PS-< HC;L_insula_thickavg;-0.11;;-0.19;-0.03;;;5.81e-03;
CHR-PS-< HC;R_bankssts_thickavg;-0.10;;-0.18;-0.02;;;0.01;
CHR-PS-< HC;R_caudalanteriorcingulate_thickavg;-0.14;;-0.22;-0.06;;;4.83e-04;
CHR-PS-< HC;R_caudalmiddlefrontal_thickavg;-0.07;;-0.15;0;;;0.06;
CHR-PS-< HC;R_cuneus_thickavg;-0.12;;-0.2;-0.04;;;2.96e-03;
CHR-PS-< HC;R_entorhinal_thickavg;-0.07;;-0.15;0;;;0.06;
CHR-PS-< HC;R_fusiform_thickavg;-0.12;;-0.2;-0.05;;;1.62-03;
CHR-PS-< HC;R_inferiorparietal_thickavg;-0.16;;-0.23;-0.08;;;7.49e-05;
CHR-PS-< HC;R_inferiortemporal_thickavg;-0.10;;-0.18;-0.03;;;9.06e-03;
CHR-PS-< HC;R_isthmuscingulate_thickavg;0.04;;-0.03;0.12;;;0.28;
CHR-PS-< HC;R_lateraloccipital_thickavg;-0.06;;-0.13;0.02;;;0.15;
CHR-PS-< HC;R_lateralorbitofrontal_thickavg;-0.10;;-0.18;-0.02;;;0.01;
CHR-PS-< HC;R_lingual_thickavg;-0.04;;-0.12;0.04;;;0.33;
CHR-PS-< HC;R_medialorbitofrontal_thickavg;-0.14;;-0.21;-0.06;;;4.86e-04;
CHR-PS-< HC;R_middletemporal_thickavg;-0.13;;-0.2;-0.05;;;1.43e-03;
CHR-PS-< HC;R_parahippocampal_thickavg;0.01;;-0.06;0.09;;;0.74;
CHR-PS-< HC;R_paracentral_thickavg;-0.03;;-0.1;0.05;;;0.50;
CHR-PS-< HC;R_parsopercularis_thickavg;-0.04;;-0.12;0.03;;;0.28;
CHR-PS-< HC;R_parsorbitalis_thickavg;-0.04;;-0.12;0.03;;;0.27;
CHR-PS-< HC;R_parstriangularis_thickavg;-0.04;;-0.11;0.04;;;0.35;
CHR-PS-< HC;R_pericalcarine_thickavg;-0.12;;-0.2;-0.04;;;2.48e-03;
CHR-PS-< HC;R_postcentral_thickavg;-0.11;;-0.19;-0.03;;;6.15e-03;
CHR-PS-< HC;R_posteriorcingulate_thickavg;-0.13;;-0.21;-0.05;;;1.10e-03;
CHR-PS-< HC;R_precentral_thickavg;-0.07;;-0.15;0.01;;;0.09;
CHR-PS-< HC;R_precuneus_thickavg;-0.09;;-0.17;-0.02;;;0.02;
CHR-PS-< HC;R_rostralanteriorcingulate_thickavg;-0.13;;-0.2;-0.05;;;1.52e-03;
CHR-PS-< HC;R_rostralmiddlefrontal_thickavg;-0.10;;-0.18;-0.02;;;0.01;
CHR-PS-< HC;R_superiorfrontal_thickavg;-0.16;;-0.24;-0.08;;;4.46e-05;
CHR-PS-< HC;R_superiorparietal_thickavg;-0.07;;-0.15;0.01;;;0.08;
CHR-PS-< HC;R_superiortemporal_thickavg;-0.08;;-0.16;-0.01;;;0.04;
CHR-PS-< HC;R_supramarginal_thickavg;-0.10;;-0.18;-0.03;;;9.58e-03;
CHR-PS-< HC;R_frontalpole_thickavg;0.01;;-0.07;0.08;;;0.88;
CHR-PS-< HC;R_temporalpole_thickavg;-0.02;;-0.1;0.06;;;0.63;
CHR-PS-< HC;R_transversetemporal_thickavg;-0.05;;-0.13;0.03;;;0.20;
CHR-PS-< HC;R_insula_thickavg;-0.08;;-0.16;0;;;0.04;
