Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;
APS< BIPS;L_bankssts_thickavg;-0.16;;0.13;-0.45;;;0.28;;;;;;;
APS< BIPS;L_caudalanteriorcingulate_thickavg;-0.26;;0.03;-0.54;;;0.08;;;;;;;
APS< BIPS;L_caudalmiddlefrontal_thickavg;-0.16;;0.12;-0.45;;;0.27;;;;;;;
APS< BIPS;L_cuneus_thickavg;-0.31;;-0.03;-0.6;;;0.03;;;;;;;
APS< BIPS;L_entorhinal_thickavg;0.01;;0.29;-0.28;;;0.95;;;;;;;
APS< BIPS;L_fusiform_thickavg;-0.28;;0.01;-0.56;;;0.06;;;;;;;
APS< BIPS;L_inferiorparietal_thickavg;-0.07;;0.21;-0.35;;;0.63;;;;;;;
APS< BIPS;L_inferiortemporal_thickavg;-0.19;;0.1;-0.47;;;0.20;;;;;;;
APS< BIPS;L_isthmuscingulate_thickavg;-0.07;;0.21;-0.36;;;0.62;;;;;;;
APS< BIPS;L_lateraloccipital_thickavg;-0.41;;-0.12;-0.69;;;5.32e-03;;;;;;;
APS< BIPS;L_lateralorbitofrontal_thickavg;-0.04;;0.25;-0.32;;;0.81;;;;;;;
APS< BIPS;L_lingual_thickavg;0.07;;0.36;-0.21;;;0.62;;;;;;;
APS< BIPS;L_medialorbitofrontal_thickavg;-0.06;;0.22;-0.35;;;0.66;;;;;;;
APS< BIPS;L_middletemporal_thickavg;-0.21;;0.08;-0.49;;;0.16;;;;;;;
APS< BIPS;L_parahippocampal_thickavg;0.24;;0.52;-0.04;;;0.10;;;;;;;
APS< BIPS;L_paracentral_thickavg;-0.04;;0.24;-0.32;;;0.79;;;;;;;
APS< BIPS;L_parsopercularis_thickavg;0.05;;0.33;-0.24;;;0.76;;;;;;;
APS< BIPS;L_parsorbitalis_thickavg;-0.18;;0.11;-0.46;;;0.22;;;;;;;
APS< BIPS;L_parstriangularis_thickavg;-0.08;;0.2;-0.36;;;0.59;;;;;;;
APS< BIPS;L_pericalcarine_thickavg;-0.18;;0.1;-0.47;;;0.21;;;;;;;
APS< BIPS;L_postcentral_thickavg;0.03;;0.31;-0.25;;;0.84;;;;;;;
APS< BIPS;L_posteriorcingulate_thickavg;-0.19;;0.09;-0.47;;;0.18;;;;;;;
APS< BIPS;L_precentral_thickavg;-0.20;;0.08;-0.49;;;0.16;;;;;;;
APS< BIPS;L_precuneus_thickavg;0.08;;0.37;-0.2;;;0.57;;;;;;;
APS< BIPS;L_rostralanteriorcingulate_thickavg;-0.20;;0.08;-0.48;;;0.16;;;;;;;
APS< BIPS;L_rostralmiddlefrontal_thickavg;-0.36;;-0.07;-0.64;;;0.01;;;;;;;
APS< BIPS;L_superiorfrontal_thickavg;-0.34;;-0.66;-0.62;;;0.02;;;;;;;
APS< BIPS;L_superiorparietal_thickavg;0.07;;0.35;-0.22;;;0.64;;;;;;;
APS< BIPS;L_superiortemporal_thickavg;-0.01;;0.28;-0.3;;;0.96;;;;;;;
APS< BIPS;L_supramarginal_thickavg;0.11;;0.4;-0.18;;;0.47;;;;;;;
APS< BIPS;L_frontalpole_thickavg;0;;0.28;-0.28;;;0.99;;;;;;;
APS< BIPS;L_temporalpole_thickavg;0.05;;0.33;-0.23;;;0.73;;;;;;;
APS< BIPS;L_transversetemporal_thickavg;0.13;;0.41;-0.16;;;0.39;;;;;;;
APS< BIPS;L_insula_thickavg;0.04;;0.33;-0.24;;;0.78;;;;;;;
APS< BIPS;R_bankssts_thickavg;-0.26;;0.03;-0.54;;;0.08;;;;;;;
APS< BIPS;R_caudalanteriorcingulate_thickavg;-0.13;;0.16;-0.41;;;0.38;;;;;;;
APS< BIPS;R_caudalmiddlefrontal_thickavg;-0.25;;0.03;-0.54;;;0.08;;;;;;;
APS< BIPS;R_cuneus_thickavg;-0.13;;0.16;-0.41;;;0.39;;;;;;;
APS< BIPS;R_entorhinal_thickavg;0;;0.29;-0.28;;;0.98;;;;;;;
APS< BIPS;R_fusiform_thickavg;-0.31;;-0.03;-0.59;;;0.03;;;;;;;
APS< BIPS;R_inferiorparietal_thickavg;-0.11;;0.17;-0.4;;;0.43;;;;;;;
APS< BIPS;R_inferiortemporal_thickavg;-0.36;;-0.07;-0.64;;;0.01;;;;;;;
APS< BIPS;R_isthmuscingulate_thickavg;-0.33;;-0.04;-0.61;;;0.03;;;;;;;
APS< BIPS;R_lateraloccipital_thickavg;-0.18;;0.1;-0.46;;;0.22;;;;;;;
APS< BIPS;R_lateralorbitofrontal_thickavg;-0.07;;0.21;-0.36;;;0.62;;;;;;;
APS< BIPS;R_lingual_thickavg;-0.18;;0.11;-0.47;;;0.22;;;;;;;
APS< BIPS;R_medialorbitofrontal_thickavg;-0.06;;0.22;-0.35;;;0.66;;;;;;;
APS< BIPS;R_middletemporal_thickavg;-0.09;;0.2;-0.37;;;0.56;;;;;;;
APS< BIPS;R_parahippocampal_thickavg;0.01;;0.29;-0.27;;;0.94;;;;;;;
APS< BIPS;R_paracentral_thickavg;0;;0.28;-0.29;;;0.97;;;;;;;
APS< BIPS;R_parsopercularis_thickavg;-0.09;;0.19;-0.38;;;0.51;;;;;;;
APS< BIPS;R_parsorbitalis_thickavg;-0.14;;0.14;-0.43;;;0.32;;;;;;;
APS< BIPS;R_parstriangularis_thickavg;-0.09;;0.19;-0.37;;;0.54;;;;;;;
APS< BIPS;R_pericalcarine_thickavg;-0.04;;0.25;-0.33;;;0.81;;;;;;;
APS< BIPS;R_postcentral_thickavg;0.20;;0.49;-0.08;;;0.17;;;;;;;
APS< BIPS;R_posteriorcingulate_thickavg;-0.05;;0.23;-0.33;;;0.72;;;;;;;
APS< BIPS;R_precentral_thickavg;-0.10;;0.18;-0.39;;;0.47;;;;;;;
APS< BIPS;R_precuneus_thickavg;0.07;;0.35;-0.22;;;0.64;;;;;;;
APS< BIPS;R_rostralanteriorcingulate_thickavg;-0.17;;0.12;-0.45;;;0.25;;;;;;;
APS< BIPS;R_rostralmiddlefrontal_thickavg;-0.43;;-0.15;-0.71;;;2.90e-03;;;;;;;
APS< BIPS;R_superiorfrontal_thickavg;-0.22;;0.06;-0.51;;;0.12;;;;;;;
APS< BIPS;R_superiorparietal_thickavg;-0.15;;0.13;-0.43;;;0.30;;;;;;;
APS< BIPS;R_superiortemporal_thickavg;-0.08;;0.2;-0.36;;;0.58;;;;;;;
APS< BIPS;R_supramarginal_thickavg;0.04;;0.32;-0.24;;;0.78;;;;;;;
APS< BIPS;R_frontalpole_thickavg;-0.27;;0.01;-0.56;;;0.06;;;;;;;
APS< BIPS;R_temporalpole_thickavg;-0.21;;0.08;-0.49;;;0.15;;;;;;;
APS< BIPS;R_transversetemporal_thickavg;-0.03;;0.25;-0.32;;;0.83;;;;;;;
;R_insula_thickavg;-0.01;;0.28;-0.3;;;0.95;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
