Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
BIPS< HC;L_bankssts_thickavg;0.09;;-0.2;0.38;;;0.54;
BIPS< HC;L_caudalanteriorcingulate_thickavg;0.24;;-0.05;0.52;;;0.10;
BIPS< HC;L_caudalmiddlefrontal_thickavg;0.10;;-0.18;0.39;;;0.47;
BIPS< HC;L_cuneus_thickavg;0.24;;-0.04;0.53;;;0,1;
BIPS< HC;L_entorhinal_thickavg;-0.12;;-0.4;0.17;;;0.42;
BIPS< HC;L_fusiform_thickavg;0.23;;-0.05;0.52;;;0.11;
BIPS< HC;L_inferiorparietal_thickavg;0.01;;-0.27;0.29;;;0.96;
BIPS< HC;L_inferiortemporal_thickavg;0.14;;-0.14;0.43;;;0.32;
BIPS< HC;L_isthmuscingulate_thickavg;0.06;;-0.23;0.34;;;0.69;
BIPS< HC;L_lateraloccipital_thickavg;0.40;;0.12;0.69;;;5.73e-03;
BIPS< HC;L_lateralorbitofrontal_thickavg;0.01;;-0.27;0.3;;;0.93;
BIPS< HC;L_lingual_thickavg;-0.13;;-0.41;0.16;;;0.38;
BIPS< HC;L_medialorbitofrontal_thickavg;0.05;;-0.24;0.33;;;0.75;
BIPS< HC;L_middletemporal_thickavg;0.21;;-0.08;0.49;;;0.15;
BIPS< HC;L_parahippocampal_thickavg;-0.27;;-0.56;0.01;;;0.06;
BIPS< HC;L_paracentral_thickavg;0.01;;-0.27;0.29;;;0.94;
BIPS< HC;L_parsopercularis_thickavg;-0.14;;-0.42;0.15;;;0.35;
BIPS< HC;L_parsorbitalis_thickavg;0.19;;-0.09;0.47;;;0.19;
BIPS< HC;L_parstriangularis_thickavg;0.01;;-0.27;0.29;;;0.95;
BIPS< HC;L_pericalcarine_thickavg;0.13;;-0.16;0.42;;;0.38;
BIPS< HC;L_postcentral_thickavg;-0.02;;-0.3;0.26;;;0.88;
BIPS< HC;L_posteriorcingulate_thickavg;0.14;;-0.14;0.43;;;0.32;
BIPS< HC;L_precentral_thickavg;0.25;;-0.04;0.53;;;0.09;
BIPS< HC;L_precuneus_thickavg;-0.12;;-0.4;0.16;;;0.41;
BIPS< HC;L_rostralanteriorcingulate_thickavg;0.08;;-0.2;0.36;;;0.59;
BIPS< HC;L_rostralmiddlefrontal_thickavg;0.34;;0.05;0.62;;;0.02;
BIPS< HC;L_superiorfrontal_thickavg;0.28;;0;0.56;;;0.05;
BIPS< HC;L_superiorparietal_thickavg;-0.06;;-0.34;0.22;;;0.69;
BIPS< HC;L_superiortemporal_thickavg;-0.02;;-0.31;0.27;;;0.90;
BIPS< HC;L_supramarginal_thickavg;-0.21;;-0.5;0.08;;;0.16;
BIPS< HC;L_frontalpole_thickavg;0.04;;-0.24;0.32;;;0.79;
BIPS< HC;L_temporalpole_thickavg;-0.06;;-0.34;0.23;;;0.70;
BIPS< HC;L_transversetemporal_thickavg;-0.18;;-0.46;0.11;;;0.23;
BIPS< HC;L_insula_thickavg;-0.10;;-0.39;0.18 ;;;0.47;
BIPS< HC;R_bankssts_thickavg;0.19;;-0.09;0.47;;;0.19;
BIPS< HC;R_caudalanteriorcingulate_thickavg;0.04;;-0.25;0.32;;;0.80;
BIPS< HC;R_caudalmiddlefrontal_thickavg;0.21;;-0.08;0.49;;;0.15;
