Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
GRD< HC;L_bankssts_thickavg;-0.04;;-0.25;0.17;;;0.68;
GRD< HC;L_caudalanteriorcingulate_thickavg;-0.06;;-0.27;0.14;;;0.55;
GRD< HC;L_caudalmiddlefrontal_thickavg;0.01;;-0.2;0.21;;;0.93;
GRD< HC;L_cuneus_thickavg;-0.03;;-0.24;0.18;;;0.75;
GRD< HC;L_entorhinal_thickavg;-0.04;;-0.24;0.17;;;0.74;
GRD< HC;L_fusiform_thickavg;-0.13;;-0.33;0.08;;;0.23;
GRD< HC;L_inferiorparietal_thickavg;-0.10;;-0.3;0.11;;;0.35;
GRD< HC;L_inferiortemporal_thickavg;-0.03;;-0.24;0.17;;;0.75;
GRD< HC;L_isthmuscingulate_thickavg;-0.05;;-0.25;0.16;;;0.67;
GRD< HC;L_lateraloccipital_thickavg;-0.19;;-0.39;0.02;;;0.08;
GRD< HC;L_lateralorbitofrontal_thickavg;0.07;;-0.13;0.28;;;0.49;
GRD< HC;L_lingual_thickavg;-0.13;;-0.34;0.08;;;0.22;
GRD< HC;L_medialorbitofrontal_thickavg;-0.03;;-0.24;0.18;;;0.78;
GRD< HC;L_middletemporal_thickavg;0.04;;-0.17;0.25;;;0.71;
GRD< HC;L_parahippocampal_thickavg;-0.10;;-0.3;0.11;;;0.35;
GRD< HC;L_paracentral_thickavg;0;;-0.21;0.2;;;0.97;
GRD< HC;L_parsopercularis_thickavg;0.03;;-0.18;0.23;;;0.79;
GRD< HC;L_parsorbitalis_thickavg;0.14;;-0.06;0.35;;;0.18;
GRD< HC;L_parstriangularis_thickavg;0.05;;-0.16;0.25;;;0.65;
GRD< HC;L_pericalcarine_thickavg;-0.01;;-0.21;0.2;;;0.95;
GRD< HC;L_postcentral_thickavg;-0.05;;-0.25;0.16;;;0.67;
GRD< HC;L_posteriorcingulate_thickavg;-0.14;;-0.35;0.07;;;0.19;
GRD< HC;L_precentral_thickavg;0.03;;-0.18;0.24;;;0.77;
GRD< HC;L_precuneus_thickavg;-0.16;;-0.36;0.05;;;0.13;
GRD< HC;L_rostralanteriorcingulate_thickavg;0.02;;-0.19;0.22;;;0.87;
GRD< HC;L_rostralmiddlefrontal_thickavg;-0.12;;-0.32;0.09;;;0.27;
GRD< HC;L_superiorfrontal_thickavg;0.14;;-0.06;-0.35;;;0.17;
GRD< HC;L_superiorparietal_thickavg;0.04;;-0.17;0.25;;;0.71;
GRD< HC;L_superiortemporal_thickavg;-0.01;;-0.22;0.19;;;0.89;
GRD< HC;L_supramarginal_thickavg;-0.14;;-0.35;0.06;;;0.18;
GRD< HC;L_frontalpole_thickavg;0.09;;-0.11;0.3;;;0.37;
GRD< HC;L_temporalpole_thickavg;0.01;;-0.2;0.21;;;0.96;
GRD< HC;L_transversetemporal_thickavg;0.06;;-0.14;0.27;;;0.56;
GRD< HC;L_insula_thickavg;0.01;;-0.2;0.21;;;0.95;
GRD< HC;R_bankssts_thickavg;-0.16;;-0.36;0.05;;;0.14;
GRD< HC;R_caudalanteriorcingulate_thickavg;-0.02;;-0.23;0.19;;;0.85;
GRD< HC;R_caudalmiddlefrontal_thickavg;0.11;;-0.1;0.32;;;0.29;
GRD< HC;R_cuneus_thickavg;-0.10;;-0.31;0.11;;;0.36;
GRD< HC;R_entorhinal_thickavg;0.15;;-0.06;0.36;;;0.16;
GRD< HC;R_fusiform_thickavg;-0.05;;-0.25;0.16;;;0.65;
