CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_contols;n_patients;pobs;fdr_p;;;;;;;
APS< HC;L_bankssts_thickavg;-0.10;;-0.17;-0.02;;;0.01;;;;;;;;
APS< HC;L_caudalanteriorcingulate_thickavg;-0.06;;-0.14;0.01;;;0.09;;;;;;;;
APS< HC;L_caudalmiddlefrontal_thickavg;-0.10;;-0.18;-0.03;;;6.00e-03;;;;;;;;
APS< HC;L_cuneus_thickavg;0.01;;-0.06;0.09;;;0.70;;;;;;;;
APS< HC;L_entorhinal_thickavg;-0.01;;-0.09;0.06;;;0.70;;;;;;;;
APS< HC;L_fusiform_thickavg;-0.17;;-0.24;-0.09;;;1.17e-05;;;;;;;;
APS< HC;L_inferiorparietal_thickavg;-0.17;;-0.24;-0.09;;;8.60e-06;;;;;;;;
APS< HC;L_inferiortemporal_thickavg;-0.10;;-0.18;-0.03;;;6.67e-03;;;;;;;;
APS< HC;L_isthmuscingulate_thickavg;-0.01;;-0.09;0.06;;;0.69;;;;;;;;
APS< HC;L_lateraloccipital_thickavg;-0.11;;-0.19;-0.04;;;2.70e-03;;;;;;;;
APS< HC;L_lateralorbitofrontal_thickavg;-0.07;;-0.14;0;;;0.06;;;;;;;;
APS< HC;L_lingual_thickavg;-0.03;;-0.11;0.04;;;0.40;;;;;;;;
APS< HC;L_medialorbitofrontal_thickavg;-0.12;;-0.19;-0.04;;;2.22e-03;;;;;;;;
APS< HC;L_middletemporal_thickavg;-0.09;;-0.16;-0.02;;;0.02;;;;;;;;
APS< HC;L_parahippocampal_thickavg;-0.13;;-0.2;-0.05;;;8.44e-04;;;;;;;;
APS< HC;L_paracentral_thickavg;-0.15;;-0.22;-0.08;;;6.45e-05;;;;;;;;
APS< HC;L_parsopercularis_thickavg;-0.04;;-0.12;0.03;;;0.25;;;;;;;;
APS< HC;L_parsorbitalis_thickavg;-0.05;;-0.12;0.02;;;0.19;;;;;;;;
APS< HC;L_parstriangularis_thickavg;0.03;;-0.04;0.11;;;0.39;;;;;;;;
APS< HC;L_pericalcarine_thickavg;0.02;;-0.06;0.09;;;0.67;;;;;;;;
APS< HC;L_postcentral_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;
