CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;p
APS< no APS;L_bankssts_thickavg;-0.16;0;-0.33;0.01;0;0;0.07
APS< no APS;L_caudalanteriorcingulate_thickavg;0.04;0;-0.13;0.21;0;0;0.61
APS< no APS;L_caudalmiddlefrontal_thickavg;-0.05;0;-0.22;0.12;0;0;0.57
APS< no APS;L_cuneus_thickavg;-0.13;0;-0.3;0.04;0;0;0.14
APS< no APS;L_entorhinal_thickavg;0.06;0;-0.11;0.23;0;0;0.50
APS< no APS;L_fusiform_thickavg;-0.14;0;-0.31;0.03;0;0;0.10
APS< no APS;L_inferiorparietal_thickavg;-0.14;0;-0.31;0.03;0;0;0.10
APS< no APS;L_inferiortemporal_thickavg;0.04;0;-0.13;0.21;0;0;0.63
APS< no APS;L_isthmuscingulate_thickavg;0.02;0;-0.15;0.19;0;0;0.80
APS< no APS;L_lateraloccipital_thickavg;-0.13;0;-0.3;0.04;0;0;0.13
APS< no APS;L_lateralorbitofrontal_thickavg;-0.09;0;-0.26;0.08;0;0;0.28
APS< no APS;L_lingual_thickavg;-0.16;0;-0.33;0.01;0;0;0.06
APS< no APS;L_medialorbitofrontal_thickavg;-0.01;0;-0.18;0.16;0;0;0.89
APS< no APS;L_middletemporal_thickavg;-0.04;0;-0.21;0.13;0;0;0.61
APS< no APS;L_parahippocampal_thickavg;-0.10;0;-0.27;0.07;0;0;0.23
APS< no APS;L_paracentral_thickavg;-0.18;0;-0.35;-0.01;0;0;0.04
APS< no APS;L_parsopercularis_thickavg;-0.10;0;-0.27;0.07;0;0;0.24
APS< no APS;L_parsorbitalis_thickavg;-0.09;0;-0.26;0.08;0;0;0.30
APS< no APS;L_parstriangularis_thickavg;0.04;0;-0.13;0.2;0;0;0.68
APS< no APS;L_pericalcarine_thickavg;-0.19;0;-0.36;-0.02;0;0;0.03
APS< no APS;L_postcentral_thickavg;0.02;0;-0.15;0.19;0;0;0.78
APS< no APS;L_posteriorcingulate_thickavg;-0.03;0;-0.2;0.14;0;0;0.75
APS< no APS;L_precentral_thickavg;-0.05;0;-0.22;0.11;0;0;0.53
APS< no APS;L_precuneus_thickavg;-0.22;0;-0.39;-0.05;0;0;0.01
APS< no APS;L_rostralanteriorcingulate_thickavg;0.04;0;-0.13;0.21;0;0;0.67
APS< no APS;L_rostralmiddlefrontal_thickavg;-0.05;0;-0.22;0.12;0;0;0.54
