CorticalThickness;Structure;d_icv;low_ci_icv;up_ci_icv;p;;;;;
BIPS< no BIPS;L_bankssts_thickavg;0.04;-0.17;0.26;0.70;;;;;
BIPS< no BIPS;L_caudalanteriorcingulate_thickavg;-0.14;-0.36;0.07;0.19;;;;;
BIPS< no BIPS;L_caudalmiddlefrontal_thickavg;-0.08;-0.3;0.13;0.45;;;;;
BIPS< no BIPS;L_cuneus_thickavg;0.24;0.03;0.46;0.03;;;;;
BIPS< no BIPS;L_entorhinal_thickavg;-0.28;-0.49;-0.07;9.76e-03;;;;;
BIPS< no BIPS;L_fusiform_thickavg;-0.02;-0.23;0.19;0.87;;;;;
BIPS< no BIPS;L_inferiorparietal_thickavg;-0.10;-0.31;0.12;0.38;;;;;
BIPS< no BIPS;L_inferiortemporal_thickavg;0.02;-0.19;0.23;0.86;;;;;
BIPS< no BIPS;L_isthmuscingulate_thickavg;-0.18;-0.4;0.03;0.09;;;;;
BIPS< no BIPS;L_lateraloccipital_thickavg;0;-0.22;0.21;0.97;;;;;
BIPS< no BIPS;L_lateralorbitofrontal_thickavg;0.12;-0.09;0.33;0.27;;;;;
BIPS< no BIPS;L_lingual_thickavg;0.14;-0.08;0.35;0.22;;;;;
BIPS< no BIPS;L_medialorbitofrontal_thickavg;0.16;-0.06;0.37;0.15;;;;;
BIPS< no BIPS;L_middletemporal_thickavg;-0.01;-0.22;0.21;0.94;;;;;
BIPS< no BIPS;L_parahippocampal_thickavg;0.03;-0.18;0.25;0.75;;;;;
BIPS< no BIPS;L_paracentral_thickavg;0.09;-0.13;0.3;0.42;;;;;
BIPS< no BIPS;L_parsopercularis_thickavg;0.19;-0.02;0.41;0.08;;;;;
BIPS< no BIPS;L_parsorbitalis_thickavg;-0.01;-0.23;0.2;0.90;;;;;
BIPS< no BIPS;L_parstriangularis_thickavg;0.01;-0.2;0.23;0.90;;;;;
BIPS< no BIPS;L_pericalcarine_thickavg;0.23;0.01;0.45;0.04;;;;;
BIPS< no BIPS;L_postcentral_thickavg;0.07;-0.15;0.28;0.54;;;;;
BIPS< no BIPS;L_posteriorcingulate_thickavg;-0.08;-0.29;0.13;0.47;;;;;
BIPS< no BIPS;L_precentral_thickavg;0;-0.22;0.21;0.97;;;;;
BIPS< no BIPS;L_precuneus_thickavg;0.08;-0.13;0.29;0.46;;;;;
BIPS< no BIPS;L_rostralanteriorcingulate_thickavg;-0.03;-0.24;0.18;0.79;;;;;
BIPS< no BIPS;L_rostralmiddlefrontal_thickavg;0.02;-0.19;0.23;0.85;;;;;
BIPS< no BIPS;L_superiorfrontal_thickavg;0;-0.21;0.22;0.97;;;;;
BIPS< no BIPS;L_superiorparietal_thickavg;0.10;-0.11;0.31;0.36;;;;;
BIPS< no BIPS;L_superiortemporal_thickavg;0;-0.22;0.31;0.97;;;;;
BIPS< no BIPS;L_supramarginal_thickavg;-0.01;-0.22;0.2;0.94;;;;;
BIPS< no BIPS;L_frontalpole_thickavg;0.14;-0.07;0.35;0.19;;;;;
BIPS< no BIPS;L_temporalpole_thickavg;-0.09;-0.31;0.12;0.39;;;;;
