CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;
APS <BIPS;L_bankssts_thickavg;-0.14;;0.15;-0.43;;;;0.33;;;;;;;;
APS <BIPS;L_caudalanteriorcingulate_thickavg;0.20;;0.48;-0.09;;;;0.18;;;;;;;;
APS <BIPS;L_caudalmiddlefrontal_thickavg;0.13;;0.42;-0.16;;;;0.39;;;;;;;;
APS <BIPS;L_cuneus_thickavg;-0.28;;0.01;-0.57;;;;0.06;;;;;;;;
APS <BIPS;L_entorhinal_thickavg;0.10;;0.39;-0.18;;;;0.48;;;;;;;;
APS <BIPS;L_fusiform_thickavg;-0.08;;0.2;-0.36;;;;0.58;;;;;;;;
APS <BIPS;L_inferiorparietal_thickavg;0.06;;0.35;-0.22;;;;0.68;;;;;;;;
APS <BIPS;L_inferiortemporal_thickavg;0;;0.28;-0.29;;;;0.97;;;;;;;;
APS <BIPS;L_isthmuscingulate_thickavg;0.18;;0.46;-0.11;;;;0.23;;;;;;;;
APS <BIPS;L_lateraloccipital_thickavg;0.01;;0.29;-0.28;;;;0.97;;;;;;;;
APS <BIPS;L_lateralorbitofrontal_thickavg;-0.03;;0.26;-0.31;;;;0.84;;;;;;;;
APS <BIPS;L_lingual_thickavg;-0.31;;-0.03;-0.6;;;;0.03;;;;;;;;
APS <BIPS;L_medialorbitofrontal_thickavg;-0.12;;0.17;-0.4;;;;0.43;;;;;;;;
APS <BIPS;L_middletemporal_thickavg;0;;0.29;-0.29;;;;1;;;;;;;;
APS <BIPS;L_parahippocampal_thickavg;-0.28;;0.01;-0.56;;;;0.06;;;;;;;;
APS <BIPS;L_paracentral_thickavg;-0.23;;0.06;-0.51;;;;0.12;;;;;;;;
APS <BIPS;L_parsopercularis_thickavg;-0.18;;0.11;-0.47;;;;0.22;;;;;;;;
APS <BIPS;L_parsorbitalis_thickavg;-0.08;;0.21;-0.36;;;;0.60;;;;;;;;
APS <BIPS;L_parstriangularis_thickavg;-0.06;;0.22;-0.34;;;;0.68;;;;;;;;
APS <BIPS;L_pericalcarine_thickavg;-0.41;;-0.12;-0.7;;;;5.39e-03;;;;;;;;
APS <BIPS;L_postcentral_thickavg;-0.07;;0.22;-0.36;;;;0.64;;;;;;;;
APS <BIPS;L_posteriorcingulate_thickavg;0.09;;0.38;-0.2;;;;0.54;;;;;;;;
