CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;;;;
APS< HC;L_bankssts_thickavg;-0.09;;-0.17;-0.02;;;0.02;;;;;;;;;;;;;;;;
APS< HC;L_caudalanteriorcingulate_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;;
APS< HC;L_caudalmiddlefrontal_thickavg;-0.09;;-0.16;-0.01;;;0.02;;;;;;;;;;;;;;;;
APS< HC;L_cuneus_thickavg;0;;-0.08;0.08;;;0.97;;;;;;;;;;;;;;;;
APS< HC;L_entorhinal_thickavg;0.01;;-0.07;0.08;;;0.83;;;;;;;;;;;;;;;;
APS< HC;L_fusiform_thickavg;-0.16;;-0.24;-0.08;;;4.41e-05;;;;;;;;;;;;;;;;
APS< HC;L_inferiorparietal_thickavg;-0.16;;-0.23;-0.08;;;5.57e-05;;;;;;;;;;;;;;;;
APS< HC;L_inferiortemporal_thickavg;-0.10;;-0.18;-0.03;;;7.65e-03;;;;;;;;;;;;;;;;
APS< HC;L_isthmuscingulate_thickavg;0;;-0.08;0.07;;;0.91;;;;;;;;;;;;;;;;
APS< HC;L_lateraloccipital_thickavg;-0.12;;-0.19;-0.04;;;2.47e-03;;;;;;;;;;;;;;;;
APS< HC;L_lateralorbitofrontal_thickavg;-0.09;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;;
APS< HC;L_lingual_thickavg;-0.04;;-0.11;0.04;;;0.35;;;;;;;;;;;;;;;;
APS< HC;L_medialorbitofrontal_thickavg;-0.14;;-0.22;-0.06;;;3.28e-04;;;;;;;;;;;;;;;;
APS< HC;L_middletemporal_thickavg;-0.09;;-0.17;-0.02;;;0.02;;;;;;;;;;;;;;;;
APS< HC;L_parahippocampal_thickavg;-0.12;;-0.19;-0.04;;;2.87e-03;;;;;;;;;;;;;;;;
APS< HC;L_paracentral_thickavg;-0.14;;-0.22;-0.07;;;2.07e-04;;;;;;;;;;;;;;;;
APS< HC;L_parsopercularis_thickavg;-0.04;;-0.11;0.04;;;0.36;;;;;;;;;;;;;;;;
APS< HC;L_parsorbitalis_thickavg;-0.04;;-0.11;0.04;;;0.33;;;;;;;;;;;;;;;;
APS< HC;L_parstriangularis_thickavg;0.04;;-0.04;0.12;;;0.30;;;;;;;;;;;;;;;;
APS< HC;L_pericalcarine_thickavg;0;;-0.07;0.08;;;0.96;;;;;;;;;;;;;;;;
APS< HC;L_postcentral_thickavg;-0.07;;-0.15;0.01;;;0.07;;;;;;;;;;;;;;;;
APS< HC;L_posteriorcingulate_thickavg;-0.09;;-0.17;-0.02;;;0.02;;;;;;;;;;;;;;;;
APS< HC;L_precentral_thickavg;-0.10;;-0.17;-0.02;;;0.01;;;;;;;;;;;;;;;;
APS< HC;L_precuneus_thickavg;-0.11;;-0.18;-0.03;;;5.80e-03;;;;;;;;;;;;;;;;
APS< HC;L_rostralanteriorcingulate_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;;
APS< HC;L_rostralmiddlefrontal_thickavg;-0.12;;-0.2;-0.05;;;1.61e-03;;;;;;;;;;;;;;;;
APS< HC;L_superiorfrontal_thickavg;-0.08;;-0.16;-0.01;;;0.03;;;;;;;;;;;;;;;;
APS< HC;L_superiorparietal_thickavg;-0.09;;-0.17;-0.01;;;0.02;;;;;;;;;;;;;;;;
APS< HC;L_superiortemporal_thickavg;-0.11;;-0.19;-0.03;;;4.85e-03;;;;;;;;;;;;;;;;
APS< HC;L_supramarginal_thickavg;-0.08;;-0.15;0;;;0.05;;;;;;;;;;;;;;;;
APS< HC;L_frontalpole_thickavg;-0.05;;-0.13;0.02;;;0.19;;;;;;;;;;;;;;;;
APS< HC;L_temporalpole_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;;
APS< HC;L_transversetemporal_thickavg;-0.04;;-0.12;0.03;;;0.28;;;;;;;;;;;;;;;;
APS< HC;L_insula_thickavg;-0.15;;-0.23;-0.07;;;1.14e-04;;;;;;;;;;;;;;;;
APS< HC;R_bankssts_thickavg;-0.13;;-0.21;-0.06;;;6.47e-04;;;;;;;;;;;;;;;;
APS< HC;R_caudalanteriorcingulate_thickavg;-0.08;;-0.16;-0.01;;;0.04;;;;;;;;;;;;;;;;
APS< HC;R_caudalmiddlefrontal_thickavg;-0.12;;-0.19;-0.04;;;2.33e-03;;;;;;;;;;;;;;;;
APS< HC;R_cuneus_thickavg;-0.04;;-0.12;0.03;;;0.26;;;;;;;;;;;;;;;;
APS< HC;R_entorhinal_thickavg;-0.03;;-0.1;0.05;;;0.51;;;;;;;;;;;;;;;;
APS< HC;R_fusiform_thickavg;-0.09;;-0.17;-0.01;;;0.02;;;;;;;;;;;;;;;;
APS< HC;R_inferiorparietal_thickavg;-0.12;;-0.19;-0.04;;;2.87e-03;;;;;;;;;;;;;;;;
