CorticalThickness;f ;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_bankssts_thickavg;-0.12;;-0.25;0.02;;;0.10;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_caudalanteriorcingulate_thickavg;-0.06;;-0.19;0.08;;;0.40;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_caudalmiddlefrontal_thickavg;-0.22;;-0.36;-0.09;;;1.27e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_cuneus_thickavg;-0.07;;-0.2;0.07;;;0.34;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_entorhinal_thickavg;-0.09;;-0.22;0.05;;;0.21;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_fusiform_thickavg;-0.29;;-0.43;-0.16;;;2.49e-05;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_inferiorparietal_thickavg;-0.23;;-0.36;-0.09;;;9.67e-04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_inferiortemporal_thickavg;-0.19;;-0.32;-0.05;;;5.93e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_isthmuscingulate_thickavg;-0.05;;-0.18;0.09;;;0.50;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_lateraloccipital_thickavg;-0.22;;-0.35;-0.08;;;1.71e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_lateralorbitofrontal_thickavg;-0.16;;-0.29;-0.02;;;0.02;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_lingual_thickavg;-0.06;;-0.2;0.07;;;0.37;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_medialorbitofrontal_thickavg;-0.07;;-0.21;0.06;;;0.30;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_middletemporal_thickavg;-0.17;;-0.31;-0.04;;;0.01;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_parahippocampal_thickavg;-0.12;;-0.25;0.02;;;0.08;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_paracentral_thickavg;-0.33;;-0.46;-0.19;;;1.94e-06;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_parsopercularis_thickavg;-0.04;;-0.17;0.1;;;0.58;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_parsorbitalis_thickavg;-0.09;;-0.23;0.04;;;0.19;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_parstriangularis_thickavg;-0.02;;-0.15;0.12;;;0.78;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_pericalcarine_thickavg;0;;-0.13;0.14;;;0.96;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_postcentral_thickavg;-0.15;;-0.28;-0.01;;;0.04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_posteriorcingulate_thickavg;-0.07;;-0.2;0.06;;;0.31;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_precentral_thickavg;-0.15;;-0.29;-0.01;;;0.03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_precuneus_thickavg;-0.11;;-0.25;0.02;;;0.10;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_rostralanteriorcingulate_thickavg;-0.15;;-0.28;-0.01;;;0.04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_rostralmiddlefrontal_thickavg;-0.19;;-0.32;-0.05;;;6.31e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_superiorfrontal_thickavg;-0.13;;-0.27;0;;;0.06;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_superiorparietal_thickavg;-0.17;;-0.3;-0.03;;;0.02;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_superiortemporal_thickavg;-0.24;;-0.38;-0.11;;;4.63e-04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_supramarginal_thickavg;-0.11;;-0.25;0.02;;;0.11;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_frontalpole_thickavg;-0.10;;-0.24;0.03;;;0.14;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_temporalpole_thickavg;-0.08;;-0.22;0.05;;;0.24;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_transversetemporal_thickavg;-0.16;;-0.29;-0.02;;;0.02;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;L_insula_thickavg;-0.20;;-0.33;-0.06;;;4.51e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_bankssts_thickavg;-0.23;;-0.37;-0.1;;;7.32e-04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_caudalanteriorcingulate_thickavg;-0.06;;-0.19;0.08;;;0.41;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_caudalmiddlefrontal_thickavg;-0.17;;-0.31;-0.04;;;0.01;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_cuneus_thickavg;-0.10;;-0.24;0.04;;;0.15;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_entorhinal_thickavg;-0.13;;-0.27;0;;;0.05;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_fusiform_thickavg;-0.22;;-0.36;-0.09;;;1.15e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_inferiorparietal_thickavg;-0.11;;-0.25;0.02;;;0.11;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_inferiortemporal_thickavg;-0.16;;-0.3;-0.03;;;0.02;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_isthmuscingulate_thickavg;-0.04;;-0.18;0.09;;;0.53;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_lateraloccipital_thickavg;-0.23;;-0.37;-0.1;;;6.51e-04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_lateralorbitofrontal_thickavg;-0.08;;-0.21;0.06;;;0.25;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_lingual_thickavg;-0.03;;-0.16;0.11;;;0.68;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_medialorbitofrontal_thickavg;-0.09;;-0.22;0.04;;;0.19;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_middletemporal_thickavg;-0.27;;-0.4;-0.13;;;9.01e-05;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_parahippocampal_thickavg;-0.07;;-0.21;0.06;;;0.29;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_paracentral_thickavg;-0.28;;-0.42;-0.15;;;3.81e-05;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_parsopercularis_thickavg;-0.12;;-0.26;0.01;;;0.07;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_parsorbitalis_thickavg;-0.04;;-0.18;0.09;;;0.54;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_parstriangularis_thickavg;-0.11;;-0.25;0.02;;;0.10;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_pericalcarine_thickavg;0.03;;-0.11;0.16;;;0.68;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_postcentral_thickavg;-0.22;;-0.36;-0.09;;;1.30e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_posteriorcingulate_thickavg;-0.19;;-0.33;-0.06;;;5.88e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_precentral_thickavg;-0.24;;-0.37;-0.1;;;6.50e-04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_precuneus_thickavg;-0.17;;-0.31;-0.04;;;0.01;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_rostralanteriorcingulate_thickavg;-0.11;;-0.24;0.03;;;0.12;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_rostralmiddlefrontal_thickavg;-0.13;;-0.32;-0.06;;;5.72e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_superiorfrontal_thickavg;-0.14;;-0.28;-0.01;;;0.04;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_superiorparietal_thickavg;-0.14;;-0.27;0;;;0.05;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_superiortemporal_thickavg;-0.31;;-0.45;-0.18;;;5.80e-06;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_supramarginal_thickavg;-0.12;;-0.26;0.01;;;0.08;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_frontalpole_thickavg;-0.12;;-0.25;0.02;;;0.08;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_temporalpole_thickavg;-0.09;;-0.23;0.04;;;0.17;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_transversetemporal_thickavg;-0.23;;-0.36;-0.09;;;1.08e-03;;;;;;;;;;;;;;;;;
CHR-PS+ < HC;R_insula_thickavg;-0.19;;-0.33;-0.06;;;5.12e-03;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; 
