CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;;;
GRD< HC;L_bankssts_thickavg;-0.05;;-0.19;0.08;;;0.44;;;;;;;;;;;;;;;
GRD< HC;L_caudalanteriorcingulate_thickavg;-0.03;;-0.16;0.11;;;0.70;;;;;;;;;;;;;;;
GRD< HC;L_caudalmiddlefrontal_thickavg;-0.12;;-0.25;0.02;;;0.10;;;;;;;;;;;;;;;
GRD< HC;L_cuneus_thickavg;0.07;;-0.07;0.02;;;0.33;;;;;;;;;;;;;;;
GRD< HC;L_entorhinal_thickavg;-0.07;;-0.21;0.06;;;0.29;;;;;;;;;;;;;;;
GRD< HC;L_fusiform_thickavg;-0.12;;-0.25;0.02;;;0.09;;;;;;;;;;;;;;;
GRD< HC;L_inferiorparietal_thickavg;-0.13;;-0.27;0;;;0.06;;;;;;;;;;;;;;;
GRD< HC;L_inferiortemporal_thickavg;-0.10;;-0.24;0.03;;;0.14;;;;;;;;;;;;;;;
GRD< HC;L_isthmuscingulate_thickavg;-0.02;;-0.15;0.12;;;0.80;;;;;;;;;;;;;;;
GRD< HC;L_lateraloccipital_thickavg;-0.04;;-0.17;0.1;;;0.59;;;;;;;;;;;;;;;
GRD< HC;L_lateralorbitofrontal_thickavg;0.04;;-0.1;0.17;;;0.60;;;;;;;;;;;;;;;
GRD< HC;L_lingual_thickavg;0.03;;-0.11;0.16;;;0.69;;;;;;;;;;;;;;;
GRD< HC;L_medialorbitofrontal_thickavg;-0.04;;-0.17;0.1;;;0.60;;;;;;;;;;;;;;;
GRD< HC;L_middletemporal_thickavg;-0.03;;-0.17;0.1;;;0.63;;;;;;;;;;;;;;;
GRD< HC;L_parahippocampal_thickavg;-0.13;;-0.26;0.01;;;0.06;;;;;;;;;;;;;;;
GRD< HC;L_paracentral_thickavg;-0.13;;-0.26;0.01;;;0.07;;;;;;;;;;;;;;;
GRD< HC;L_parsopercularis_thickavg;-0.08;;-0.21;0.06;;;0.26;;;;;;;;;;;;;;;
GRD< HC;L_parsorbitalis_thickavg;-0.05;;-0.19;0.08;;;0.44;;;;;;;;;;;;;;;
GRD< HC;L_parstriangularis_thickavg;-0.04;;-0.18;0.09;;;0.55;;;;;;;;;;;;;;;
GRD< HC;L_pericalcarine_thickavg;0.12;;-0.01;0.26;;;0.08;;;;;;;;;;;;;;;
GRD< HC;L_postcentral_thickavg;-0.17;;-0.31;-0.03;;;0.02;;;;;;;;;;;;;;;
GRD< HC;L_posteriorcingulate_thickavg;-0.07;;-0.21;0.06;;;0.28;;;;;;;;;;;;;;;
GRD< HC;L_precentral_thickavg;-0.16;;-0.29;-0.02;;;0.02;;;;;;;;;;;;;;;
GRD< HC;L_precuneus_thickavg;-0.09;;-0.22;0.05;;;0.22;;;;;;;;;;;;;;;
GRD< HC;L_rostralanteriorcingulate_thickavg;-0.13;;-0.26;0.01;;;0.07;;;;;;;;;;;;;;;
GRD< HC;L_rostralmiddlefrontal_thickavg;-0.08;;-0.21;0.06;;;0.28;;;;;;;;;;;;;;;
GRD< HC;L_superiorfrontal_thickavg;-0.15;;-0.28;-0.01;;;0.03;;;;;;;;;;;;;;;
GRD< HC;L_superiorparietal_thickavg;-0.11;;-0.25;0.03;;;0.12;;;;;;;;;;;;;;;
GRD< HC;L_superiortemporal_thickavg;-0.09;;-0.23;0.05;;;0.19;;;;;;;;;;;;;;;
GRD< HC;L_supramarginal_thickavg;-0.17;;-0.3;-0.03;;;0.02;;;;;;;;;;;;;;;
GRD< HC;L_frontalpole_thickavg;0.01;;-0.12;0.15;;;0.84;;;;;;;;;;;;;;;
GRD< HC;L_temporalpole_thickavg;0.07;;-0.07;0.21;;;0.31;;;;;;;;;;;;;;;
GRD< HC;L_transversetemporal_thickavg;-0.12;;-0.26;0.02;;;0.09;;;;;;;;;;;;;;;
GRD< HC;L_insula_thickavg;-0.22;;-0.36;-0.08;;;1.54e-03;;;;;;;;;;;;;;;
GRD< HC;R_bankssts_thickavg;-0.16;;-0.3;-0.03;;;0.02;;;;;;;;;;;;;;;
GRD< HC;R_caudalanteriorcingulate_thickavg;0.05;;-0.09;0.19;;;0.47;;;;;;;;;;;;;;;
GRD< HC;R_caudalmiddlefrontal_thickavg;-0.10;;-0.24;0.03;;;0.14;;;;;;;;;;;;;;;
GRD< HC;R_cuneus_thickavg;-0.03;;-0.17;0.1;;;0.63;;;;;;;;;;;;;;;
GRD< HC;R_entorhinal_thickavg;-0.12;;-0.25;0.02;;;0.09;;;;;;;;;;;;;;;
GRD< HC;R_fusiform_thickavg;-0.12;;-0.26;0.01;;;0.08;;;;;;;;;;;;;;;
GRD< HC;R_inferiorparietal_thickavg;-0.07;;-0.21;0.07;;;0.31;;;;;;;;;;;;;;;
GRD< HC;R_inferiortemporal_thickavg;-0.19;;-0.33;-0.06;;;5.94e-03;;;;;;;;;;;;;;;
GRD< HC;R_isthmuscingulate_thickavg;-0.10;;-0.23;0.04;;;0.17;;;;;;;;;;;;;;;
GRD< HC;R_lateraloccipital_thickavg;-0.19;;-0.32;-0.05;;;7.38e-03;;;;;;;;;;;;;;;
GRD< HC;R_lateralorbitofrontal_thickavg;-0.07;;-0.21;0.06;;;0.30;;;;;;;;;;;;;;;
GRD< HC;R_lingual_thickavg;0.02;;-0.12;0.15;;;0.80;;;;;;;;;;;;;;;
GRD< HC;R_medialorbitofrontal_thickavg;-0.02;;-0.15;0.12;;;0.81;;;;;;;;;;;;;;;
GRD< HC;R_middletemporal_thickavg;-0.15;;-0.29;-0.01;;;0.03;;;;;;;;;;;;;;;
GRD< HC;R_parahippocampal_thickavg;-0.06;;-0.19;0.08;;;0.41;;;;;;;;;;;;;;;
GRD< HC;R_paracentral_thickavg;-0.10;;-0.24;0.04;;;0.16;;;;;;;;;;;;;;;
GRD< HC;R_parsopercularis_thickavg;-0.14;;-0.27;0;;;0.05;;;;;;;;;;;;;;;
GRD< HC;R_parsorbitalis_thickavg;-0.06;;-0.2;0.08;;;0.39;;;;;;;;;;;;;;;
GRD< HC;R_parstriangularis_thickavg;-0.08;;-0.22;0.05;;;0.24;;;;;;;;;;;;;;;
GRD< HC;R_pericalcarine_thickavg;0.10;;-0.04;0.23;;;0.17;;;;;;;;;;;;;;;
GRD< HC;R_postcentral_thickavg;-0.10;;-0.24;0.03;;;0.14;;;;;;;;;;;;;;;
GRD< HC;R_posteriorcingulate_thickavg;-0.13;;-0.27;0.01;;;0.06;;;;;;;;;;;;;;;
GRD< HC;R_precentral_thickavg;-0.09;;-0.22;0.05;;;0.22;;;;;;;;;;;;;;;
GRD< HC;R_precuneus_thickavg;-0.24;;-0.38;-0.11;;;4.55e-04;;;;;;;;;;;;;;;
GRD< HC;R_rostralanteriorcingulate_thickavg;-0.09;;-0.23;0.04;;;0.18;;;;;;;;;;;;;;;
