CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no APS< HC;L_bankssts_thickavg;0.06;0;-0.11;0.23;0;0;0.50;0
no APS< HC;L_caudalanteriorcingulate_thickavg;-0.11;0;-0.28;0.06;0;0;0.21;0
no APS< HC;L_caudalmiddlefrontal_thickavg;-0.06;0;-0.23;0.11;0;0;0.52;0
no APS< HC;L_cuneus_thickavg;0.14;0;-0.03;0.31;0;0;0.10;0
no APS< HC;L_entorhinal_thickavg;-0.07;0;-0.24;0.1;0;0;0.40;0
no APS< HC;L_fusiform_thickavg;-0.03;0;-0.2;0.14;0;0;0.76;0
no APS< HC;L_inferiorparietal_thickavg;-0.03;0;-0.2;0.14;0;0;0.74;0
no APS< HC;L_inferiortemporal_thickavg;-0.14;0;-0.31;0.02;0;0;0.09;0
no APS< HC;L_isthmuscingulate_thickavg;-0.04;0;-0.21;0.13;0;0;0.67;0
no APS< HC;L_lateraloccipital_thickavg;0.02;0;-0.15;0.19;0;0;0.85;0
no APS< HC;L_lateralorbitofrontal_thickavg;0.02;0;-0.15;0.19;0;0;0.81;0
no APS< HC;L_lingual_thickavg;0.13;0;-0.04;0.3;0;0;0.14;0
no APS< HC;L_medialorbitofrontal_thickavg;-0.11;0;-0.27;0.06;0;0;0.23;0
no APS< HC;L_middletemporal_thickavg;-0.05;0;-0.22;0.12;0;0;0.58;0
no APS< HC;L_parahippocampal_thickavg;-0.03;0;-0.19;0.14;0;0;0.77;0
no APS< HC;L_paracentral_thickavg;0.03;0;0.14;0.2;0;0;0.76;0
no APS< HC;L_parsopercularis_thickavg;0.06;0;-0.11;0.23;0;0;0.51;0
no APS< HC;L_parsorbitalis_thickavg;0.04;0;-0.13;0.21;0;0;0.66;0
no APS< HC;L_parstriangularis_thickavg;0;0;-0.17;0.17;0;0;0.98;0
no APS< HC;L_pericalcarine_thickavg;0.20;0;0.03;0.37;0;0;0.02;0
no APS< HC;L_postcentral_thickavg;-0.11;0;-0.28;0.06;0;0;0.22;0
no APS< HC;L_posteriorcingulate_thickavg;-0.07;0;-0.24;0.1;0;0;0.44;0
no APS< HC;L_precentral_thickavg;-0.06;0;-0.23;0.11;0;0;0.49;0
no APS< HC;L_precuneus_thickavg;0.11;0;-0.06;0.28;0;0;0.22;0
no APS< HC;L_rostralanteriorcingulate_thickavg;-0.13;0;-0.3;0.04;0;0;0.14;0
no APS< HC;L_rostralmiddlefrontal_thickavg;-0.07;0;-0.24;0.1;0;0;0.43;0
no APS< HC;L_superiorfrontal_thickavg;-0.03;0;-0.2;0.14;0;0;0.71;0
no APS< HC;L_superiorparietal_thickavg;0.03;0;-0.14;0.2;0;0;0.71;0
no APS< HC;L_superiortemporal_thickavg;-0.04;0;-0.21;0.13;0;0;0.63;0
no APS< HC;L_supramarginal_thickavg;-0.09;0;-0.26;0.07;0;0;0.28;0
no APS< HC;L_frontalpole_thickavg;0.06;0;-0.11;0.23;0;0;0.49;0
no APS< HC;L_temporalpole_thickavg;-0.06;0;-0.23;0.11;0;0;0.47;0
no APS< HC;L_transversetemporal_thickavg;-0.05;0;-0.22;0.12;0;0;0.59;0
no APS< HC;L_insula_thickavg;-0.16;0;-0.33;0.01;0;0;0.06;0
no APS< HC;R_bankssts_thickavg;-0.06;0;-0.23;0.11;0;0;0.46;0
no APS< HC;R_caudalanteriorcingulate_thickavg;0.06;0;-0.11;0.23;0;0;0.47;0
no APS< HC;R_caudalmiddlefrontal_thickavg;0.06;0;-0.11;0.23;0;0;0.48;0
no APS< HC;R_cuneus_thickavg;0.10;0;-0.07;0.27;0;0;0.23;0
no APS< HC;R_entorhinal_thickavg;-0.13;0;-0.3;0.04;0;0;0.14;0
no APS< HC;R_fusiform_thickavg;-0.04;0;-0.21;0.13;0;0;0.61;0
no APS< HC;R_inferiorparietal_thickavg;0.06;0;-0.11;0.23;0;0;0.51;0
no APS< HC;R_inferiortemporal_thickavg;-0.14;0;-0.31;0.03;0;0;0.10;0
no APS< HC;R_isthmuscingulate_thickavg;-0.03;0;-0.21;0.14;0;0;0.69;0
no APS< HC;R_lateraloccipital_thickavg;-0.12;0;-0.29;0.06;0;0;0.19;0
no APS< HC;R_lateralorbitofrontal_thickavg;0.04;0;-0.13;0.21;0;0;0.67;0
no APS< HC;R_lingual_thickavg;0.07;0;-0.1;0.24;0;0;0.43;0
no APS< HC;R_medialorbitofrontal_thickavg;0;0;-0.16;0.17;0;0;0.96;0
no APS< HC;R_middletemporal_thickavg;-0.10;0;-0.27;0.07;0;0;0.27;0
no APS< HC;R_parahippocampal_thickavg;-0.01;0;-0.18;0.16;0;0;0.93;0
no APS< HC;R_paracentral_thickavg;0.08;0;-0.09;0.25;0;0;0.34;0
no APS< HC;R_parsopercularis_thickavg;0.01;0;-0.16;0.18;0;0;0.89;0
no APS< HC;R_parsorbitalis_thickavg;-0.08;0;-0.25;0.09;0;0;0.37;0
no APS< HC;R_parstriangularis_thickavg;0.01;0;-0.17;0.18;0;0;0.95;0
no APS< HC;R_pericalcarine_thickavg;0.22;0;0.05;0.39;0;0;0.01;0
no APS< HC;R_postcentral_thickavg;-0.07;0;-0.24;0.1;0;0;0.44;0
no APS< HC;R_posteriorcingulate_thickavg;-0.07;0;-0.24;0.1;0;0;0.44;0
no APS< HC;R_precentral_thickavg;0.03;0;-0.14;0.2;0;0;0.75;0
no APS< HC;R_precuneus_thickavg;-0.07;0;-0.24;0.1;0;0;0.43;0
no APS< HC;R_rostralanteriorcingulate_thickavg;-0.02;0;-0.19;0.15;0;0;0.83;0
no APS< HC;R_rostralmiddlefrontal_thickavg;-0.09;0;-0.26;0.08;0;0;0.32;0
no APS< HC;R_superiorfrontal_thickavg;0.02;0;-0.15;0.19;0;0;0.78;0
no APS< HC;R_superiorparietal_thickavg;0.07;0;-0.1;0.24;0;0;0.42;0
no APS< HC;R_superiortemporal_thickavg;-0.20;0;-0.37;-0.03;0;0;0.02;0
no APS< HC;R_supramarginal_thickavg;-0.04;0;-0.21;0.13;0;0;0.66;0
no APS< HC;R_frontalpole_thickavg;-0.05;0;-0.22;0.12;0;0;0.58;0
no APS< HC;R_temporalpole_thickavg;-0.04;0;-0.2;0.13;0;0;0.69;0
no APS< HC;R_transversetemporal_thickavg;-0.14;0;-0.31;0.03;0;0;0.10;0
no APS< HC;R_insula_thickavg;-0.15;0;-0.32;0.02;0;0;0.08;0
