Surface Area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
assymetry_handednessdifferences;L_bankssts_asy_area.csv;;0.059975311;-0.050799512;0.184299387;;;0.265726932;0.596053046
assymetry_handednessdifferences;L_caudalanteriorcingulate_asy_area.csv;;0.05918582;-0.080304608;0.151699544;;;0.546414068;0.988388433
assymetry_handednessdifferences;L_caudalmiddlefrontal_asy_area.csv;;0.057889577;-0.202399837;0.024523136;;;0.124453838;0.694406091
assymetry_handednessdifferences;L_cuneus_asy_area.csv;;0.058721749;-0.0875018;0.142683225;;;0.638458549;0.825557355
assymetry_handednessdifferences;L_entorhinal_asy_area.csv;;0.061590012;-0.111268381;0.130160031;;;0.878109517;0.984137787
assymetry_handednessdifferences;L_fusiform_asy_area.csv;;0.059028257;0.002144902;0.233531417;;;0.045901184;0.986250071
assymetry_handednessdifferences;L_inferiorparietal_asy_area.csv;;0.059029466;-0.071911951;0.159479305;;;0.458253494;0.991724953
assymetry_handednessdifferences;L_inferiortemporal_asy_area.csv;;0.058671534;-0.008520287;0.221467901;;;0.06956328;0.767454658
assymetry_handednessdifferences;L_isthmuscingulate_asy_area.csv;;0.058023838;-0.127026682;0.100422584;;;0.818673481;0.661559664
assymetry_handednessdifferences;L_lateraloccipital_asy_area.csv;;0.05782118;-0.159541447;0.067113413;;;0.424141061;0.934445611
assymetry_handednessdifferences;L_lateralorbitofrontal_asy_area.csv;;0.057961944;-0.115060536;0.112146107;;;0.979942589;0.672377728
assymetry_handednessdifferences;L_lingual_asy_area.csv;;0.058548005;-0.147454455;0.082049508;;;0.576463217;0.654505929
assymetry_handednessdifferences;L_medialorbitofrontal_asy_area.csv;;0.058720811;-0.081815404;0.148365944;;;0.570939009;0.838926207
assymetry_handednessdifferences;L_middletemporal_asy_area.csv;;0.059678447;-0.105742089;0.128193126;;;0.850798233;0.941250081
assymetry_handednessdifferences;L_parahippocampal_asy_area.csv;;0.059439378;-0.254929123;-0.021931042;;;0.019862835;0.920758378
assymetry_handednessdifferences;L_paracentral_asy_area.csv;;0.059236955;-0.036020624;0.196183973;;;0.176411441;0.908319857
assymetry_handednessdifferences;L_parsopercularis_asy_area.csv;;0.058117466;-0.090764318;0.137051964;;;0.690464399;0.901816476
assymetry_handednessdifferences;L_parsorbitalis_asy_area.csv;;0.057812298;-0.133565447;0.093054596;;;0.726064533;0.946652626
assymetry_handednessdifferences;L_parstriangularis_asy_area.csv;;0.058800333;-0.070284259;0.160208809;;;0.444473904;0.683840702
assymetry_handednessdifferences;L_pericalcarine_asy_area.csv;;0.058700296;-0.165303771;0.064797159;;;0.391942632;0.947310823
assymetry_handednessdifferences;L_postcentral_asy_area.csv;;0.05802477;-0.066053162;0.161399758;;;0.411303149;0.910791305
assymetry_handednessdifferences;L_posteriorcingulate_asy_area.csv;;0.061884878;-0.117535984;0.125048282;;;0.951601518;0.712819488
assymetry_handednessdifferences;L_precentral_asy_area.csv;;0.059025028;-0.068650257;0.162723602;;;0.425512776;0.871970595
assymetry_handednessdifferences;L_precuneus_asy_area.csv;;0.058011744;-0.062949476;0.164452381;;;0.381656665;0.726504886
assymetry_handednessdifferences;L_rostralanteriorcingulate_asy_area.csv;;0.05828974;-0.110722487;0.117769096;;;0.951801482;0.970570868
assymetry_handednessdifferences;L_rostralmiddlefrontal_asy_area.csv;;0.058521301;-0.132412659;0.096986626;;;0.762136484;0.986911812
assymetry_handednessdifferences;L_superiorfrontal_asy_area.csv;;0.058363177;-0.092255441;0.136524007;;;0.70450161;0.997475358
assymetry_handednessdifferences;L_superiorparietal_asy_area.csv;;0.058149846;-0.213907833;0.014035374;;;0.085687531;0.905673475
assymetry_handednessdifferences;L_superiortemporal_asy_area.csv;;0.060544837;-0.242028755;-0.004697355;;;0.041595086;0.920330739
assymetry_handednessdifferences;L_supramarginal_asy_area.csv;;0.058402154;-0.194757305;0.034174934;;;0.169193971;0.834841458
assymetry_handednessdifferences;L_frontalpole_asy_area.csv;;0.058626418;-0.097516273;0.132295062;;;0.766761507;0.98144683
assymetry_handednessdifferences;L_temporalpole_asy_area.csv;;0.058904636;-0.174496685;0.056405245;;;0.316152794;0.702760527
assymetry_handednessdifferences;L_transversetemporal_asy_area.csv;;0.05937168;-0.001883856;0.230848855;;;0.053826012;0.838898554
assymetry_handednessdifferences;L_insula_asy_area.csv;;0.058272585;-0.178408012;0.050016324;;;0.270614979;0.922856803
assymetry_handednessdifferences;R_bankssts_asy_area.csv;;0.059975311;-0.050799512;0.184299387;;;0.265726932;0.596053046
assymetry_handednessdifferences;R_caudalanteriorcingulate_asy_area.csv;;0.05918582;-0.080304608;0.151699544;;;0.546414068;0.988388433
assymetry_handednessdifferences;R_caudalmiddlefrontal_asy_area.csv;;0.057889577;-0.202399837;0.024523136;;;0.124453838;0.694406091
assymetry_handednessdifferences;R_cuneus_asy_area.csv;;0.058721749;-0.0875018;0.142683225;;;0.638458549;0.825557355
assymetry_handednessdifferences;R_entorhinal_asy_area.csv;;0.061590012;-0.111268381;0.130160031;;;0.878109517;0.984137787
assymetry_handednessdifferences;R_fusiform_asy_area.csv;;0.059028257;0.002144902;0.233531417;;;0.045901184;0.986250071
assymetry_handednessdifferences;R_inferiorparietal_asy_area.csv;;0.059029466;-0.071911951;0.159479305;;;0.458253494;0.991724953
assymetry_handednessdifferences;R_inferiortemporal_asy_area.csv;;0.058671534;-0.008520287;0.221467901;;;0.06956328;0.767454658
assymetry_handednessdifferences;R_isthmuscingulate_asy_area.csv;;0.058023838;-0.127026682;0.100422584;;;0.818673481;0.661559664
assymetry_handednessdifferences;R_lateraloccipital_asy_area.csv;;0.05782118;-0.159541447;0.067113413;;;0.424141061;0.934445611
assymetry_handednessdifferences;R_lateralorbitofrontal_asy_area.csv;;0.057961944;-0.115060536;0.112146107;;;0.979942589;0.672377728
assymetry_handednessdifferences;R_lingual_asy_area.csv;;0.058548005;-0.147454455;0.082049508;;;0.576463217;0.654505929
assymetry_handednessdifferences;R_medialorbitofrontal_asy_area.csv;;0.058720811;-0.081815404;0.148365944;;;0.570939009;0.838926207
assymetry_handednessdifferences;R_middletemporal_asy_area.csv;;0.059678447;-0.105742089;0.128193126;;;0.850798233;0.941250081
assymetry_handednessdifferences;R_parahippocampal_asy_area.csv;;0.059439378;-0.254929123;-0.021931042;;;0.019862835;0.920758378
assymetry_handednessdifferences;R_paracentral_asy_area.csv;;0.059236955;-0.036020624;0.196183973;;;0.176411441;0.908319857
assymetry_handednessdifferences;R_parsopercularis_asy_area.csv;;0.058117466;-0.090764318;0.137051964;;;0.690464399;0.901816476
assymetry_handednessdifferences;R_parsorbitalis_asy_area.csv;;0.057812298;-0.133565447;0.093054596;;;0.726064533;0.946652626
assymetry_handednessdifferences;R_parstriangularis_asy_area.csv;;0.058800333;-0.070284259;0.160208809;;;0.444473904;0.683840702
assymetry_handednessdifferences;R_pericalcarine_asy_area.csv;;0.058700296;-0.165303771;0.064797159;;;0.391942632;0.947310823
assymetry_handednessdifferences;R_postcentral_asy_area.csv;;0.05802477;-0.066053162;0.161399758;;;0.411303149;0.910791305
assymetry_handednessdifferences;R_posteriorcingulate_asy_area.csv;;0.061884878;-0.117535984;0.125048282;;;0.951601518;0.712819488
assymetry_handednessdifferences;R_precentral_asy_area.csv;;0.059025028;-0.068650257;0.162723602;;;0.425512776;0.871970595
assymetry_handednessdifferences;R_precuneus_asy_area.csv;;0.058011744;-0.062949476;0.164452381;;;0.381656665;0.726504886
assymetry_handednessdifferences;R_rostralanteriorcingulate_asy_area.csv;;0.05828974;-0.110722487;0.117769096;;;0.951801482;0.970570868
assymetry_handednessdifferences;R_rostralmiddlefrontal_asy_area.csv;;0.058521301;-0.132412659;0.096986626;;;0.762136484;0.986911812
assymetry_handednessdifferences;R_superiorfrontal_asy_area.csv;;0.058363177;-0.092255441;0.136524007;;;0.70450161;0.997475358
assymetry_handednessdifferences;R_superiorparietal_asy_area.csv;;0.058149846;-0.213907833;0.014035374;;;0.085687531;0.905673475
assymetry_handednessdifferences;R_superiortemporal_asy_area.csv;;0.060544837;-0.242028755;-0.004697355;;;0.041595086;0.920330739
assymetry_handednessdifferences;R_supramarginal_asy_area.csv;;0.058402154;-0.194757305;0.034174934;;;0.169193971;0.834841458
