Surface Area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;
assymetry_icv-effects;L_bankssts_asy_area.csv;;0.008111065;-0.002856219;0.028938571;;;0.107873438;0.077675274;;
assymetry_icv-effects;L_caudalanteriorcingulate_asy_area.csv;;0.007887449;0.029616622;0.060534852;;;0.0000000109788;0.74938486;;
assymetry_icv-effects;L_caudalmiddlefrontal_asy_area.csv;;0.008391167;-0.047107417;-0.014214645;;;0.000258222;0.325663197;;
assymetry_icv-effects;L_cuneus_asy_area.csv;;0.009966685;-0.064285613;-0.025216925;;;0.00000711946;0.020849097;;
assymetry_icv-effects;L_entorhinal_asy_area.csv;;0.009979797;-0.025094204;0.014025881;;;0.579211771;0.080727495;;
assymetry_icv-effects;L_fusiform_asy_area.csv;;0.010792896;-0.036578145;0.005729228;;;0.15296667;0.00183333;;
assymetry_icv-effects;L_inferiorparietal_asy_area.csv;;0.009197994;-0.006414147;0.029641327;;;0.206725054;0.082216949;;
assymetry_icv-effects;L_inferiortemporal_asy_area.csv;;0.011737371;-0.033411639;0.012598009;;;0.375273103;0.000508504;;
assymetry_icv-effects;L_isthmuscingulate_asy_area.csv;;0.007870692;0.018538104;0.04939065;;;0.0000159388;0.532233801;;
assymetry_icv-effects;L_lateraloccipital_asy_area.csv;;0.011445659;-0.035792259;0.009073898;;;0.243136385;0.000677505;;
assymetry_icv-effects;L_lateralorbitofrontal_asy_area.csv;;0.011241718;-0.054466913;-0.010400188;;;0.003912817;0.00066963;;
assymetry_icv-effects;L_lingual_asy_area.csv;;0.007868816;-0.005200013;0.02564518;;;0.193900696;0.155837743;;
assymetry_icv-effects;L_medialorbitofrontal_asy_area.csv;;0.011796284;0.026018961;0.072259543;;;0.0000310459;0.000466579;;
assymetry_icv-effects;L_middletemporal_asy_area.csv;;0.011060994;-0.034843036;0.008515263;;;0.234000072;0.003427091;;
assymetry_icv-effects;L_parahippocampal_asy_area.csv;;0.009134733;-0.042085386;-0.006277889;;;0.008115684;0.035616028;;
assymetry_icv-effects;L_paracentral_asy_area.csv;;0.008140342;-0.058200283;-0.02629073;;;0.000000210692;0.919000128;;
assymetry_icv-effects;L_parsopercularis_asy_area.csv;;0.008337744;-0.014779471;0.017903887;;;0.851373868;0.151200654;;
assymetry_icv-effects;L_parsorbitalis_asy_area.csv;;0.007967263;-0.008346477;0.02288462;;;0.361575303;0.283471457;;
assymetry_icv-effects;L_parstriangularis_asy_area.csv;;0.007842412;-0.010253775;0.020487915;;;0.514087226;0.116151903;;
assymetry_icv-effects;L_pericalcarine_asy_area.csv;;0.009598067;-0.030065025;0.007558705;;;0.241020332;0.025506403;;
assymetry_icv-effects;L_postcentral_asy_area.csv;;0.007913782;-0.021994667;0.009026787;;;0.412602383;0.0594266;;
assymetry_icv-effects;L_posteriorcingulate_asy_area.csv;;0.007855756;-0.040841107;-0.010047111;;;0.001199862;0.366634554;;
assymetry_icv-effects;L_precentral_asy_area.csv;;0.009589966;-0.03780984;-0.000217864;;;0.047402973;0.016440383;;
assymetry_icv-effects;L_precuneus_asy_area.csv;;0.010019521;-0.034139392;0.005136409;;;0.147806263;0.013801684;;
assymetry_icv-effects;L_rostralanteriorcingulate_asy_area.csv;;0.009994285;0.037048771;0.076225647;;;0.0000000145353;0.025171585;;
assymetry_icv-effects;L_rostralmiddlefrontal_asy_area.csv;;0.009433329;-0.000890135;0.036087835;;;0.062096882;0.036305761;;
assymetry_icv-effects;L_superiorfrontal_asy_area.csv;;0.007876335;-0.067235506;-0.036360842;;;0.0000000000481873;0.953352627;;
