Cortical Thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
assymetry_icv-effects;L_bankssts_asy_area.csv;;0.009922032;-0.033176419;0.005717231;;;0.166435548;0.005213333
assymetry_icv-effects;L_caudalanteriorcingulate_asy_area.csv;;0.008402072;-0.003302185;0.029633334;;;0.117127858;0.455097928
assymetry_icv-effects;L_caudalmiddlefrontal_asy_area.csv;;0.009757957;-0.036417271;0.001833218;;;0.076378799;0.019183269
assymetry_icv-effects;L_cuneus_asy_area.csv;;0.007862237;-0.024423123;0.006396279;;;0.251621591;0.174740018
assymetry_icv-effects;L_entorhinal_asy_area.csv;;0.008731041;-0.018024191;0.016200862;;;0.916838839;0.042872738
assymetry_icv-effects;L_fusiform_asy_area.csv;;0.009577178;-0.002064188;0.03547766;;;0.081083783;0.04960594
assymetry_icv-effects;L_inferiorparietal_asy_area.csv;;0.009454539;0.024094094;0.061155205;;;0.00000653246;0.032240268
assymetry_icv-effects;L_inferiortemporal_asy_area.csv;;0.010280684;-0.001238733;0.039060807;;;0.065845694;0.137730727
assymetry_icv-effects;L_isthmuscingulate_asy_area.csv;;0.008133149;-0.009142932;0.022738427;;;0.403263195;0.363755714
assymetry_icv-effects;L_lateraloccipital_asy_area.csv;;0.007843964;-0.027746349;0.003001427;;;0.114721369;0.289682914
assymetry_icv-effects;L_lateralorbitofrontal_asy_area.csv;;0.009383265;0.00058446;0.037366184;;;0.04315038;0.018118976
assymetry_icv-effects;L_lingual_asy_area.csv;;0.009084201;-0.01041236;0.025197055;;;0.415783219;0.235255684
assymetry_icv-effects;L_medialorbitofrontal_asy_area.csv;;0.011414845;0.012764258;0.057509627;;;0.002082693;0.000386934
assymetry_icv-effects;L_middletemporal_asy_area.csv;;0.012972017;-0.007950575;0.042898798;;;0.177960275;0.0000117839
assymetry_icv-effects;L_parahippocampal_asy_area.csv;;0.009089334;-0.036643147;-0.001013611;;;0.038313915;0.001901131
assymetry_icv-effects;L_paracentral_asy_area.csv;;0.009702204;-0.007061519;0.030970421;;;0.21789764;0.151743538
assymetry_icv-effects;L_parsopercularis_asy_area.csv;;0.010524368;0.007263023;0.048517787;;;0.008047299;0.000864358
assymetry_icv-effects;L_parsorbitalis_asy_area.csv;;0.007833846;0.001259474;0.031967587;;;0.033943907;0.046483409
assymetry_icv-effects;L_parstriangularis_asy_area.csv;;0.010040827;-0.020465613;0.018893707;;;0.937608756;0.001064425
assymetry_icv-effects;L_pericalcarine_asy_area.csv;;0.009935496;-0.031220839;0.007725591;;;0.237051282;0.010349507
assymetry_icv-effects;L_postcentral_asy_area.csv;;0.008290325;-0.036838199;-0.004340724;;;0.013007893;0.34713587
