SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexia_acANvscontrols;L_bankssts_thickavg;-0,82267;0,088266;-0,99567;-0,64967;398;224;1,16E-20;2,70E-19
anorexia_acANvscontrols;L_caudalanteriorcingulate_thickavg;-0,06595;0,084365;-0,23131;0,099401;398;224;0,434365;0,467777
anorexia_acANvscontrols;L_caudalmiddlefrontal_thickavg;-0,60007;0,358414;-1,30255;0,102411;398;224;0,094085;0,129136
anorexia_acANvscontrols;L_cuneus_thickavg;-0,79415;0,125471;-1,04007;-0,54823;398;224;2,46E-10;1,15E-09
anorexia_acANvscontrols;L_entorhinal_thickavg;0,075311;0,084261;-0,08984;0,24046;398;224;0,371441;0,419368
anorexia_acANvscontrols;L_fusiform_thickavg;-0,48846;0,285412;-1,04786;0,070934;398;224;0,087001;0,121802
anorexia_acANvscontrols;L_inferiorparietal_thickavg;-0,74353;0,470666;-1,66602;0,178957;398;224;0,114166;0,147992
anorexia_acANvscontrols;L_inferiortemporal_thickavg;-0,56842;0,174231;-0,9099;-0,22693;398;224;0,001105;0,00239
anorexia_acANvscontrols;L_isthmuscingulate_thickavg;-0,79563;0,087325;-0,96678;-0,62448;398;224;8,15E-20;1,43E-18
anorexia_acANvscontrols;L_lateraloccipital_thickavg;-0,81941;0,244448;-1,29852;-0,3403;398;224;0,000802;0,001811
anorexia_acANvscontrols;L_lateralorbitofrontal_thickavg;-0,55448;0,085971;-0,72298;-0,38598;398;224;1,12E-10;5,61E-10
anorexia_acANvscontrols;L_lingual_thickavg;-0,83172;0,176082;-1,17684;-0,48661;398;224;2,32E-06;7,06E-06
anorexia_acANvscontrols;L_medialorbitofrontal_thickavg;-0,4677;0,085727;-0,63572;-0,29967;398;224;4,88E-08;1,90E-07
anorexia_acANvscontrols;L_middletemporal_thickavg;-0,72699;0,087482;-0,89845;-0,55553;398;224;9,56E-17;1,02E-15
anorexia_acANvscontrols;L_parahippocampal_thickavg;-0,31665;0,084868;-0,48299;-0,15031;398;224;0,000191;0,000445
anorexia_acANvscontrols;L_paracentral_thickavg;-0,61922;0,342154;-1,28983;0,051384;398;224;0,070329;0,106292
anorexia_acANvscontrols;L_parsopercularis_thickavg;-0,66639;0,086609;-0,83614;-0,49664;398;224;1,42E-14;9,96E-14
anorexia_acANvscontrols;L_parsorbitalis_thickavg;-0,51978;0,085938;-0,68821;-0,35134;398;224;1,46E-09;6,40E-09
anorexia_acANvscontrols;L_parstriangularis_thickavg;-0,71011;0,158797;-1,02135;-0,39887;398;224;7,76E-06;2,26E-05
anorexia_acANvscontrols;L_pericalcarine_thickavg;-0,6087;0,114824;-0,83375;-0,38365;398;224;1,15E-07;4,24E-07
anorexia_acANvscontrols;L_postcentral_thickavg;-0,59168;0,367507;-1,31198;0,128621;398;224;0,107402;0,144579
anorexia_acANvscontrols;L_posteriorcingulate_thickavg;-0,69651;0,086768;-0,86657;-0,52645;398;224;9,97E-16;8,72E-15
anorexia_acANvscontrols;L_precentral_thickavg;-0,47296;0,329652;-1,11907;0,173144;398;224;0,151364;0,18823
anorexia_acANvscontrols;L_precuneus_thickavg;-0,95184;0,231783;-1,40612;-0,49755;398;224;4,02E-05;0,000108
