SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexia_acANvscontrols;LLatVent;0,473095;0,085333;0,305845;0,640345;398;224;2,95E-08;9,46E-08
anorexia_acANvscontrols;Lthal;-0,72179;0,280514;-1,27159;-0,172;398;224;0,010079;0,012405
anorexia_acANvscontrols;Lcaud;-0,19381;0,084388;-0,3592;-0,02841;398;224;0,021642;0,024734
anorexia_acANvscontrols;Lput;-0,51466;0,135635;-0,7805;-0,24882;398;224;0,000148;0,000237
anorexia_acANvscontrols;Lpal;-0,31648;0,1894;-0,6877;0,054733;398;224;0,094725;0,094725
anorexia_acANvscontrols;Lhippo;-0,42301;0,085185;-0,58997;-0,25605;398;224;6,84E-07;1,56E-06
anorexia_acANvscontrols;Lamyg;-0,4586;0,085301;-0,62579;-0,29141;398;224;7,60E-08;2,03E-07
anorexia_acANvscontrols;Laccumb;-0,53684;0,085678;-0,70477;-0,36892;398;224;3,71E-10;2,97E-09
anorexia_acANvscontrols;RLatVent;0,507635;0,08556;0,339942;0,675329;398;224;2,97E-09;1,59E-08
anorexia_acANvscontrols;Rthal;-0,81497;0,180544;-1,16883;-0,46111;398;224;6,36E-06;1,13E-05
anorexia_acANvscontrols;Rcaud;-0,18623;0,084405;-0,35166;-0,0208;398;224;0,027355;0,029178
anorexia_acANvscontrols;Rput;-0,57622;0,086134;-0,74504;-0,4074;398;224;2,23E-11;3,58E-10
anorexia_acANvscontrols;Rpal;-0,28563;0,084681;-0,4516;-0,11965;398;224;0,000744;0,000992
anorexia_acANvscontrols;Rhippo;-0,4995;0,085531;-0,66714;-0,33187;398;224;5,22E-09;2,09E-08
anorexia_acANvscontrols;Ramyg;-0,41229;0,085205;-0,57929;-0,24529;398;224;1,31E-06;2,61E-06
anorexia_acANvscontrols;Raccumb;-0,31457;0,084805;-0,48079;-0,14836;398;224;0,000208;0,000302
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
