SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexia_acAN-pwrANvscontrols;L_bankssts_surfavg;-0,06624;0,12021;-0,30185;0,16937;117;224;0,581624;0,999897
anorexia_acAN-pwrANvscontrols;L_caudalanteriorcingulate_surfavg;0,082768;0,120179;-0,15278;0,318315;117;224;0,491007;0,999897
anorexia_acAN-pwrANvscontrols;L_caudalmiddlefrontal_surfavg;0,08707;0,120561;-0,14923;0,323365;117;224;0,47017;0,999897
anorexia_acAN-pwrANvscontrols;L_cuneus_surfavg;-0,04995;0,120192;-0,28553;0,185618;117;224;0,677687;0,999897
anorexia_acAN-pwrANvscontrols;L_entorhinal_surfavg;0,072026;0,120209;-0,16358;0,307632;117;224;0,549056;0,999897
anorexia_acAN-pwrANvscontrols;L_fusiform_surfavg;0,030585;0,120196;-0,205;0,266165;117;224;0,799143;0,999897
anorexia_acAN-pwrANvscontrols;L_inferiorparietal_surfavg;0,064946;0,120319;-0,17087;0,300766;117;224;0,589349;0,999897
anorexia_acAN-pwrANvscontrols;L_inferiortemporal_surfavg;0,087127;0,120269;-0,14859;0,322849;117;224;0,468796;0,999897
anorexia_acAN-pwrANvscontrols;L_isthmuscingulate_surfavg;0,14949;0,120355;-0,0864;0,385381;117;224;0,214208;0,999897
anorexia_acAN-pwrANvscontrols;L_lateraloccipital_surfavg;-1,50E-05;0,120193;-0,23559;0,235558;117;224;0,999897;0,999897
anorexia_acAN-pwrANvscontrols;L_lateralorbitofrontal_surfavg;-0,1129;0,120399;-0,34887;0,123082;117;224;0,34841;0,999897
anorexia_acAN-pwrANvscontrols;L_lingual_surfavg;-0,08551;0,120262;-0,32122;0,150194;117;224;0,477039;0,999897
anorexia_acAN-pwrANvscontrols;L_medialorbitofrontal_surfavg;-0,02498;0,120271;-0,26071;0,210745;117;224;0,835455;0,999897
anorexia_acAN-pwrANvscontrols;L_middletemporal_surfavg;-0,02031;0,120131;-0,25577;0,215139;117;224;0,865719;0,999897
anorexia_acAN-pwrANvscontrols;L_parahippocampal_surfavg;-0,08536;0,12037;-0,32128;0,150564;117;224;0,478251;0,999897
anorexia_acAN-pwrANvscontrols;L_paracentral_surfavg;-0,07338;0,120193;-0,30895;0,162199;117;224;0,541543;0,999897
anorexia_acAN-pwrANvscontrols;L_parsopercularis_surfavg;-0,08254;0,120242;-0,31821;0,153126;117;224;0,492409;0,999897
anorexia_acAN-pwrANvscontrols;L_parsorbitalis_surfavg;-0,0294;0,120131;-0,26486;0,206048;117;224;0,806632;0,999897
anorexia_acAN-pwrANvscontrols;L_parstriangularis_surfavg;-0,14342;0,120237;-0,37908;0,092236;117;224;0,232929;0,999897
anorexia_acAN-pwrANvscontrols;L_pericalcarine_surfavg;-0,05044;0,120111;-0,28585;0,184974;117;224;0,67453;0,999897
anorexia_acAN-pwrANvscontrols;L_postcentral_surfavg;0,046092;0,120176;-0,18945;0,281633;117;224;0,701321;0,999897
anorexia_acAN-pwrANvscontrols;L_posteriorcingulate_surfavg;-0,07833;0,120412;-0,31433;0,157672;117;224;0,515356;0,999897
anorexia_acAN-pwrANvscontrols;L_precentral_surfavg;-0,11341;0,120171;-0,34894;0,12212;117;224;0,345299;0,999897
anorexia_acAN-pwrANvscontrols;L_precuneus_surfavg;0,045852;0,120195;-0,18973;0,28143;117;224;0,702848;0,999897
anorexia_acAN-pwrANvscontrols;L_rostralanteriorcingulate_surfavg;0,097919;0,120154;-0,13758;0,333417;117;224;0,415103;0,999897
anorexia_acAN-pwrANvscontrols;L_rostralmiddlefrontal_surfavg;0,156752;0,120624;-0,07967;0,393171;117;224;0,193768;0,999897
anorexia_acAN-pwrANvscontrols;L_superiorfrontal_surfavg;-0,06164;0,120152;-0,29713;0,173858;117;224;0,607968;0,999897
anorexia_acAN-pwrANvscontrols;L_superiorparietal_surfavg;0,015855;0,120443;-0,22021;0,251918;117;224;0,895269;0,999897
anorexia_acAN-pwrANvscontrols;L_superiortemporal_surfavg;-0,1694;0,120303;-0,40519;0,066392;117;224;0,159104;0,999897
anorexia_acAN-pwrANvscontrols;L_supramarginal_surfavg;0,077659;0,120153;-0,15784;0,313154;117;224;0,518064;0,999897
anorexia_acAN-pwrANvscontrols;L_frontalpole_surfavg;-0,04307;0,120196;-0,27865;0,192513;117;224;0,720118;0,999897
anorexia_acAN-pwrANvscontrols;L_temporalpole_surfavg;0,15135;0,120313;-0,08446;0,387159;117;224;0,208401;0,999897
anorexia_acAN-pwrANvscontrols;L_transversetemporal_surfavg;-0,17187;0,120458;-0,40797;0,064222;117;224;0,153633;0,999897
anorexia_acAN-pwrANvscontrols;L_insula_surfavg;-0,01535;0,120441;-0,25141;0,220713;117;224;0,898603;0,999897
anorexia_acAN-pwrANvscontrols;R_bankssts_surfavg;-0,1034;0,120295;-0,33918;0,132373;117;224;0,390031;0,999897
