SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexiavsCN;L_bankssts;-0,24045;0,073627;-0,38476;-0,09615;945;674;0,001091;0,003472
anorexiavsCN;L_caudalanteriorcingulate;-0,10978;0,05157;-0,21085;-0,0087;961;684;0,033278;0,05096
anorexiavsCN;L_caudalmiddlefrontal;-0,16963;0,051612;-0,27079;-0,06847;961;684;0,001014;0,00338
anorexiavsCN;L_cuneus;-0,13369;0,05161;-0,23484;-0,03253;960;680;0,009589;0,019741
anorexiavsCN;L_entorhinal;-0,06117;0,051515;-0,16214;0,039794;959;681;0,235032;0,274204
anorexiavsCN;L_fusiform;-0,16999;0,103541;-0,37293;0,032945;962;684;0,100635;0,130452
anorexiavsCN;L_inferiorparietal;-0,24691;0,0674;-0,37901;-0,11481;960;684;0,000249;0,001162
anorexiavsCN;L_inferiortemporal;-0,12127;0,075378;-0,26901;0,026465;961;683;0,107645;0,137003
anorexiavsCN;L_isthmuscingulate;-0,04067;0,051387;-0,14139;0,060043;962;684;0,428642;0,461614
anorexiavsCN;L_lateraloccipital;-0,17488;0,051588;-0,27599;-0,07377;961;684;0,000699;0,002447
anorexiavsCN;L_lateralorbitofrontal;-0,18332;0,085614;-0,35112;-0,01552;961;682;0,032252;0,05096
anorexiavsCN;L_lingual;-0,12667;0,065123;-0,25431;0,000969;960;681;0,051764;0,07247
anorexiavsCN;L_medialorbitofrontal;-0,0526;0,051494;-0,15352;0,04833;962;683;0,307055;0,341172
anorexiavsCN;L_middletemporal;-0,19315;0,056331;-0,30355;-0,08274;954;680;0,000606;0,002358
anorexiavsCN;L_parahippocampal;-0,08344;0,110759;-0,30053;0,133643;959;682;0,451235;0,478583
anorexiavsCN;L_paracentral;-0,27836;0,079624;-0,43442;-0,12229;962;684;4,73E-04;2,07E-03
anorexiavsCN;L_parsopercularis;-0,25077;0,051619;-0,35194;-0,14959;962;684;1,19E-06;1,74E-05
anorexiavsCN;L_parsorbitalis;-0,17769;0,051545;-0,27872;-0,07667;962;683;0,000566;0,002331
anorexiavsCN;L_parstriangularis;-0,16951;0,063252;-0,29348;-0,04554;961;684;0,007364;0,016628
anorexiavsCN;L_pericalcarine;-0,11304;0,051747;-0,21447;-0,01162;953;678;0,028922;0,048203
anorexiavsCN;L_postcentral;-0,15402;0,089054;-0,32856;0,020524;939;673;0,08372;0,110574
anorexiavsCN;L_posteriorcingulate;-0,12007;0,051503;-0,22102;-0,01913;961;684;0,019733;0,034532
anorexiavsCN;L_precentral;-0,24886;0,052262;-0,35129;-0,14643;942;670;1,92E-06;2,24E-05
anorexiavsCN;L_precuneus;-0,2267;0,051657;-0,32795;-0,12546;962;684;1,14E-05;7,26E-05
anorexiavsCN;L_rostralanteriorcingulate;-0,16669;0,051573;-0,26777;-0,06561;960;684;0,001229;0,003583
anorexiavsCN;L_rostralmiddlefrontal;-0,11888;0,051617;-0,22004;-0,01771;961;682;0,021274;0,036321
anorexiavsCN;L_superiorfrontal;-0,18987;0,07257;-0,33211;-0,04764;961;683;8,89E-03;1,92E-02
anorexiavsCN;L_superiorparietal;-0,13029;0,069645;-0,26679;0,006208;962;684;0,06137;0,084233
anorexiavsCN;L_superiortemporal;-0,23478;0,051915;-0,33653;-0,13303;951;679;6,12E-06;4,76E-05
anorexiavsCN;L_supramarginal;-0,11294;0,086936;-0,28333;0,057452;960;684;0,193908;0,23006
anorexiavsCN;L_frontalpole;0,022981;0,131797;-0,23534;0,281299;962;683;0,861575;0,861575
anorexiavsCN;L_temporalpole;-0,12075;0,051593;-0,22187;-0,01963;960;682;0,01926;0,034532
anorexiavsCN;L_transversetemporal;-0,29618;0,051704;-0,39752;-0,19484;962;684;1,01E-08;3,55E-07
anorexiavsCN;L_insula;-0,22973;0,051687;-0,33103;-0,12842;962;684;8,81E-06;6,16E-05
anorexiavsCN;R_bankssts;-0,17539;0,051592;-0,27651;-0,07427;959;682;0,000675;0,002447
anorexiavsCN;R_caudalanteriorcingulate;-0,11063;0,051498;-0,21157;-0,0097;960;683;0,031693;0,05096
anorexiavsCN;R_caudalmiddlefrontal;-0,15091;0,051589;-0,25203;-0,0498;962;684;0,003441;0,009314
anorexiavsCN;R_cuneus;-0,25077;0,051719;-0,35213;-0,1494;955;681;1,24E-06;1,74E-05
anorexiavsCN;R_entorhinal;0,034514;0,051415;-0,06626;0,135285;959;684;0,502037;0,524517
anorexiavsCN;R_fusiform;-0,10498;0,108859;-0,31834;0,108385;962;683;0,334884;0,36628
anorexiavsCN;R_inferiorparietal;-0,24218;0,051662;-0,34344;-0,14093;961;683;2,76E-06;2,52E-05
anorexiavsCN;R_inferiortemporal;-0,11428;0,106848;-0,3237;0,095134;961;682;0,284801;0,32155
anorexiavsCN;R_isthmuscingulate;-0,08127;0,051464;-0,18214;0,019599;962;684;0,114305;0,142881
anorexiavsCN;R_lateraloccipital;-0,01907;0,098727;-0,21257;0,174428;962;683;0,846811;0,859084
anorexiavsCN;R_lateralorbitofrontal;-0,19981;0,051591;-0,30092;-0,09869;961;682;0,000108;0,000579
anorexiavsCN;R_lingual;-0,14949;0,081581;-0,30938;0,010407;955;682;0,066892;0,090047
anorexiavsCN;R_medialorbitofrontal;-0,1157;0,076404;-0,26545;0,034053;962;683;0,129957;0,159597
anorexiavsCN;R_middletemporal;-0,20356;0,072194;-0,34506;-0,06206;962;684;0,004808;0,012465
anorexiavsCN;R_parahippocampal;-0,14287;0,051681;-0,24416;-0,04157;959;684;0,005703;0,013765
anorexiavsCN;R_paracentral;-0,21379;0,073125;-0,35711;-0,07047;962;684;0,00346;0,009314
anorexiavsCN;R_parsopercularis;-0,21284;0,085438;-0,38029;-0,04539;962;684;0,012732;0,024757
anorexiavsCN;R_parsorbitalis;-0,13426;0,051435;-0,23507;-0,03345;962;683;0,009046;0,019188
anorexiavsCN;R_parstriangularis;-0,29736;0,051662;-0,39862;-0,19611;962;683;8,62E-09;3,55E-07
anorexiavsCN;R_pericalcarine;-0,22537;0,051929;-0,32715;-0,12359;946;677;1,42E-05;8,31E-05
anorexiavsCN;R_postcentral;-0,20028;0,05215;-0,30249;-0,09807;930;674;0,000123;0,000614
anorexiavsCN;R_posteriorcingulate;-0,16681;0,051566;-0,26788;-0,06574;961;684;0,001217;0,003583
anorexiavsCN;R_precentral;-0,16329;0,07981;-0,31972;-0,00687;940;674;0,040752;0,05943
anorexiavsCN;R_precuneus;-0,14075;0,0662;-0,2705;-0,011;962;684;0,033488;0,05096
anorexiavsCN;R_rostralanteriorcingulate;-0,10864;0,051505;-0,20959;-0,00769;960;684;0,034921;0,05201
anorexiavsCN;R_rostralmiddlefrontal;-0,1324;0,051621;-0,23358;-0,03123;960;682;0,01032;0,020641
anorexiavsCN;R_superiorfrontal;-0,24159;0,05163;-0,34279;-0,1404;961;683;2,88E-06;2,52E-05
anorexiavsCN;R_superiorparietal;-0,17867;0,064445;-0,30498;-0,05236;962;684;0,005564;0,013765
anorexiavsCN;R_superiortemporal;-0,21522;0,07912;-0,37029;-0,06015;960;682;0,006525;0,015225
anorexiavsCN;R_supramarginal;-0,15653;0,080053;-0,31343;0,000371;961;684;0,050545;0,072206
anorexiavsCN;R_frontalpole;-0,07664;0,051532;-0,17765;0,024356;962;683;0,13693;0,16526
anorexiavsCN;R_temporalpole;0,01032;0,051415;-0,09045;0,111091;962;683;0,840923;0,859084
anorexiavsCN;R_transversetemporal;-0,27095;0,051732;-0,37235;-0,16956;962;684;1,63E-07;3,79E-06
anorexiavsCN;R_insula;-0,1155;0,100411;-0,3123;0,081303;962;683;0,250035;0,286926
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
