SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexia_pwrANvscontrols;L_bankssts_surfavg;-0,08383;0,080928;-0,24244;0,07479;551;249;0,300293;0,93231
anorexia_pwrANvscontrols;L_caudalanteriorcingulate_surfavg;-0,00547;0,150924;-0,30128;0,290334;558;250;0,971077;0,971077
anorexia_pwrANvscontrols;L_caudalmiddlefrontal_surfavg;-0,00789;0,080649;-0,16595;0,150183;559;250;0,922109;0,964668
anorexia_pwrANvscontrols;L_cuneus_surfavg;0,072638;0,080797;-0,08572;0,230998;557;246;0,368648;0,93231
anorexia_pwrANvscontrols;L_entorhinal_surfavg;0,004418;0,080546;-0,15345;0,162284;559;250;0,956256;0,970529
anorexia_pwrANvscontrols;L_fusiform_surfavg;0,10165;0,149263;-0,1909;0,3942;559;250;0,495862;0,93231
anorexia_pwrANvscontrols;L_inferiorparietal_surfavg;-0,23717;0,08077;-0,39548;-0,07887;557;250;0,00332;0,225783
anorexia_pwrANvscontrols;L_inferiortemporal_surfavg;0,048676;0,080498;-0,1091;0,20645;558;250;0,545389;0,93231
anorexia_pwrANvscontrols;L_isthmuscingulate_surfavg;0,031885;0,080457;-0,12581;0,189578;559;250;0,691882;0,93231
anorexia_pwrANvscontrols;L_lateraloccipital_surfavg;-0,01953;0,08066;-0,17762;0,138556;558;250;0,808641;0,93231
anorexia_pwrANvscontrols;L_lateralorbitofrontal_surfavg;-0,10229;0,154555;-0,40521;0,200633;558;248;0,508078;0,93231
anorexia_pwrANvscontrols;L_lingual_surfavg;0,089891;0,080665;-0,06821;0,247992;557;248;0,265117;0,93231
anorexia_pwrANvscontrols;L_medialorbitofrontal_surfavg;0,161124;0,080749;0,00286;0,319388;559;249;0,046001;0,93231
anorexia_pwrANvscontrols;L_middletemporal_surfavg;0,051665;0,080537;-0,10618;0,209515;554;250;0,521192;0,93231
anorexia_pwrANvscontrols;L_parahippocampal_surfavg;0,076901;0,080822;-0,08151;0,235309;559;250;0,341356;0,93231
anorexia_pwrANvscontrols;L_paracentral_surfavg;-0,04101;0,126452;-0,28885;0,206831;559;250;0,745702;0,93231
anorexia_pwrANvscontrols;L_parsopercularis_surfavg;-0,04706;0,080453;-0,20474;0,110628;559;250;0,558608;0,93231
