SurfaceArea;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
anorexia_pwrANvscontrols;L_bankssts_thickavg;-0,45478;0,118263;-0,68657;-0,22299;551;551;0,00012;0,000842
anorexia_pwrANvscontrols;L_caudalanteriorcingulate_thickavg;-0,21017;0,080801;-0,36853;-0,0518;558;558;0,009294;0,019502
anorexia_pwrANvscontrols;L_caudalmiddlefrontal_thickavg;-0,63867;0,135854;-0,90494;-0,3724;559;559;2,59E-06;7,73E-05
anorexia_pwrANvscontrols;L_cuneus_thickavg;-0,33364;0,081649;-0,49367;-0,17361;557;557;4,38E-05;0,000384
anorexia_pwrANvscontrols;L_entorhinal_thickavg;0,008172;0,0805;-0,1496;0,165949;559;559;0,919138;0,932459
anorexia_pwrANvscontrols;L_fusiform_thickavg;-0,28983;0,121876;-0,5287;-0,05096;559;559;0,017403;0,02833
anorexia_pwrANvscontrols;L_inferiorparietal_thickavg;-0,65304;0,159002;-0,96468;-0,3414;557;557;4,01E-05;0,000384
anorexia_pwrANvscontrols;L_inferiortemporal_thickavg;-0,31707;0,128557;-0,56904;-0,06511;558;558;0,013648;0,023301
anorexia_pwrANvscontrols;L_isthmuscingulate_thickavg;-0,46094;0,081422;-0,62053;-0,30136;559;559;1,50E-08;1,05E-06
anorexia_pwrANvscontrols;L_lateraloccipital_thickavg;-0,47162;0,137613;-0,74134;-0,2019;558;558;0,00061;0,002512
anorexia_pwrANvscontrols;L_lateralorbitofrontal_thickavg;-0,13175;0,121912;-0,37069;0,107193;558;558;0,27983;0,343651
anorexia_pwrANvscontrols;L_lingual_thickavg;-0,248;0,081125;-0,407;-0,089;557;557;0,002236;0,007114
anorexia_pwrANvscontrols;L_medialorbitofrontal_thickavg;-0,1337;0,163695;-0,45454;0,187132;559;559;0,414049;0,467475
anorexia_pwrANvscontrols;L_middletemporal_thickavg;-0,36218;0,112668;-0,58301;-0,14135;554;554;0,001306;0,004813
anorexia_pwrANvscontrols;L_parahippocampal_thickavg;-0,09245;0,129656;-0,34658;0,161669;559;559;0,475806;0,528673
anorexia_pwrANvscontrols;L_paracentral_thickavg;-0,66875;0,147712;-0,95826;-0,37924;559;559;5,97E-06;0,000104
anorexia_pwrANvscontrols;L_parsopercularis_thickavg;-0,50253;0,133405;-0,764;-0,24106;559;559;0,000165;0,001052
anorexia_pwrANvscontrols;L_parsorbitalis_thickavg;-0,47085;0,126702;-0,71918;-0,22252;559;559;0,000202;0,001089
anorexia_pwrANvscontrols;L_parstriangularis_thickavg;-0,34786;0,181805;-0,70419;0,008473;559;559;0,055702;0,084764
anorexia_pwrANvscontrols;L_pericalcarine_thickavg;-0,21656;0,119919;-0,4516;0,018474;556;556;0,070933;0,105644
anorexia_pwrANvscontrols;L_postcentral_thickavg;-0,35995;0,099452;-0,55487;-0,16503;558;558;0,000295;0,001378
anorexia_pwrANvscontrols;L_posteriorcingulate_thickavg;-0,48516;0,176093;-0,83029;-0,14002;558;558;0,005867;0,01369
anorexia_pwrANvscontrols;L_precentral_thickavg;-0,54386;0,131863;-0,8023;-0,28541;559;559;3,72E-05;0,000384
anorexia_pwrANvscontrols;L_precuneus_thickavg;-0,68836;0,192397;-1,06545;-0,31127;559;559;0,000346;0,001516
anorexia_pwrANvscontrols;L_rostralanteriorcingulate_thickavg;-0,08949;0,093497;-0,27274;0,093756;559;559;0,338472;0,401577
anorexia_pwrANvscontrols;L_rostralmiddlefrontal_thickavg;-0,37232;0,186176;-0,73722;-0,00742;557;557;0,045519;0,070808
