Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.187;;;;;;;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;0.073;;;;;;;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.163;;;;;;;
AgevsCortThick;L_cuneus_thickavg;-0.126;;;;;;;
AgevsCortThick;L_entorhinal_thickavg;-0.22;;;;;;;
AgevsCortThick;L_fusiform_thickavg;-0.18;;;;;;;
AgevsCortThick;L_inferiorparietal_thickavg;-0.304;;;;;;;
AgevsCortThick;L_inferiortemporal_thickavg;-0.103;;;;;;;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.166;;;;;;;
AgevsCortThick;L_lateraloccipital_thickavg;-0.226;;;;;;;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.162;;;;;;;
AgevsCortThick;L_lingual_thickavg;-0.249;;;;;;;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.12;;;;;;;
AgevsCortThick;L_middletemporal_thickavg;-0.27;;;;;;;
AgevsCortThick;L_parahippocampal_thickavg;-0.159;;;;;;;
AgevsCortThick;L_paracentral_thickavg;-0.217;;;;;;;
AgevsCortThick;L_parsopercularis_thickavg;-0.212;;;;;;;
AgevsCortThick;L_parsorbitalis_thickavg;-0.122;;;;;;;
AgevsCortThick;L_parstriangularis_thickavg;-0.128;;;;;;;
AgevsCortThick;L_pericalcarine_thickavg;-0.172;;;;;;;
AgevsCortThick;L_postcentral_thickavg;-0.229;;;;;;;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.104;;;;;;;
AgevsCortThick;L_precentral_thickavg;-0.336;;;;;;;
AgevsCortThick;L_precuneus_thickavg;-0.33;;;;;;;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;0.005;;;;;;;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.089;;;;;;;
AgevsCortThick;L_superiorfrontal_thickavg;-0.244;;;;;;;
AgevsCortThick;L_superiorparietal_thickavg;-0.282;;;;;;;
AgevsCortThick;L_superiortemporal_thickavg;-0.417;;;;;;;
AgevsCortThick;L_supramarginal_thickavg;-0.309;;;;;;;
AgevsCortThick;L_frontalpole_thickavg;-0.019;;;;;;;
AgevsCortThick;L_temporalpole_thickavg;-0.155;;;;;;;
AgevsCortThick;L_transversetemporal_thickavg;-0.161;;;;;;;
AgevsCortThick;L_insula_thickavg;-0.188;;;;;;;
AgevsCortThick;R_bankssts_thickavg;-0.196;;;;;;;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;0.049;;;;;;;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.209;;;;;;;
AgevsCortThick;R_cuneus_thickavg;-0.138;;;;;;;
AgevsCortThick;R_entorhinal_thickavg;-0.252;;;;;;;
AgevsCortThick;R_fusiform_thickavg;-0.232;;;;;;;
AgevsCortThick;R_inferiorparietal_thickavg;-0.276;;;;;;;
AgevsCortThick;R_inferiortemporal_thickavg;-0.176;;;;;;;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.122;;;;;;;
AgevsCortThick;R_lateraloccipital_thickavg;-0.265;;;;;;;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.038;;;;;;;
AgevsCortThick;R_lingual_thickavg;-0.221;;;;;;;
AgevsCortThick;R_medialorbitofrontal_thickavg;-0.012;;;;;;;
AgevsCortThick;R_middletemporal_thickavg;-0.188;;;;;;;
AgevsCortThick;R_parahippocampal_thickavg;-0.176;;;;;;;
AgevsCortThick;R_paracentral_thickavg;-0.199;;;;;;;
AgevsCortThick;R_parsopercularis_thickavg;-0.157;;;;;;;
AgevsCortThick;R_parsorbitalis_thickavg;-0.078;;;;;;;
AgevsCortThick;R_parstriangularis_thickavg;-0.115;;;;;;;
AgevsCortThick;R_pericalcarine_thickavg;-0.131;;;;;;;
AgevsCortThick;R_postcentral_thickavg;-0.226;;;;;;;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.118;;;;;;;
AgevsCortThick;R_precentral_thickavg;-0.294;;;;;;;
AgevsCortThick;R_precuneus_thickavg;-0.313;;;;;;;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;0.055;;;;;;;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.057;;;;;;;
AgevsCortThick;R_superiorfrontal_thickavg;-0.223;;;;;;;
AgevsCortThick;R_superiorparietal_thickavg;-0.236;;;;;;;
AgevsCortThick;R_superiortemporal_thickavg;-0.396;;;;;;;
AgevsCortThick;R_supramarginal_thickavg;-0.291;;;;;;;
AgevsCortThick;R_frontalpole_thickavg;-0.034;;;;;;;
AgevsCortThick;R_temporalpole_thickavg;-0.263;;;;;;;
AgevsCortThick;R_transversetemporal_thickavg;-0.115;;;;;;;
AgevsCortThick;R_insula_thickavg;-0.241;;;;;;;
