Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.17;;;;;;;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;0.066;;;;;;;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.174;;;;;;;
AgevsCortThick;L_cuneus_thickavg;-0.096;;;;;;;
AgevsCortThick;L_entorhinal_thickavg;-0.174;;;;;;;
AgevsCortThick;L_fusiform_thickavg;-0.174;;;;;;;
AgevsCortThick;L_inferiorparietal_thickavg;-0.233;;;;;;;
AgevsCortThick;L_inferiortemporal_thickavg;-0.088;;;;;;;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.137;;;;;;;
AgevsCortThick;L_lateraloccipital_thickavg;-0.252;;;;;;;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.136;;;;;;;
AgevsCortThick;L_lingual_thickavg;-0.198;;;;;;;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.012;;;;;;;
AgevsCortThick;L_middletemporal_thickavg;-0.19;;;;;;;
AgevsCortThick;L_parahippocampal_thickavg;-0.102;;;;;;;
AgevsCortThick;L_paracentral_thickavg;-0.183;;;;;;;
AgevsCortThick;L_parsopercularis_thickavg;-0.12;;;;;;;
AgevsCortThick;L_parsorbitalis_thickavg;-0.076;;;;;;;
AgevsCortThick;L_parstriangularis_thickavg;-0.1;;;;;;;
AgevsCortThick;L_pericalcarine_thickavg;-0.068;;;;;;;
AgevsCortThick;L_postcentral_thickavg;-0.243;;;;;;;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.069;;;;;;;
AgevsCortThick;L_precentral_thickavg;-0.319;;;;;;;
AgevsCortThick;L_precuneus_thickavg;-0.265;;;;;;;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;0.052;;;;;;;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.11;;;;;;;
AgevsCortThick;L_superiorfrontal_thickavg;-0.25;;;;;;;
AgevsCortThick;L_superiorparietal_thickavg;-0.265;;;;;;;
AgevsCortThick;L_superiortemporal_thickavg;-0.325;;;;;;;
AgevsCortThick;L_supramarginal_thickavg;-0.244;;;;;;;
AgevsCortThick;L_frontalpole_thickavg;-0.025;;;;;;;
AgevsCortThick;L_temporalpole_thickavg;-0.125;;;;;;;
AgevsCortThick;L_transversetemporal_thickavg;-0.189;;;;;;;
AgevsCortThick;L_insula_thickavg;-0.142;;;;;;;
AgevsCortThick;R_bankssts_thickavg;-0.199;;;;;;;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;0.127;;;;;;;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.174;;;;;;;
AgevsCortThick;R_cuneus_thickavg;-0.159;;;;;;;
AgevsCortThick;R_entorhinal_thickavg;-0.178;;;;;;;
AgevsCortThick;R_fusiform_thickavg;-0.245;;;;;;;
AgevsCortThick;R_inferiorparietal_thickavg;-0.249;;;;;;;
AgevsCortThick;R_inferiortemporal_thickavg;-0.14;;;;;;;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.11;;;;;;;
AgevsCortThick;R_lateraloccipital_thickavg;-0.252;;;;;;;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.005;;;;;;;
AgevsCortThick;R_lingual_thickavg;-0.166;;;;;;;
AgevsCortThick;R_medialorbitofrontal_thickavg;0.072;;;;;;;
AgevsCortThick;R_middletemporal_thickavg;-0.156;;;;;;;
AgevsCortThick;R_parahippocampal_thickavg;-0.085;;;;;;;
AgevsCortThick;R_paracentral_thickavg;-0.26;;;;;;;
AgevsCortThick;R_parsopercularis_thickavg;-0.07;;;;;;;
AgevsCortThick;R_parsorbitalis_thickavg;-0.045;;;;;;;
AgevsCortThick;R_parstriangularis_thickavg;-0.046;;;;;;;
AgevsCortThick;R_pericalcarine_thickavg;-0.119;;;;;;;
AgevsCortThick;R_postcentral_thickavg;-0.284;;;;;;;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.004;;;;;;;
AgevsCortThick;R_precentral_thickavg;-0.329;;;;;;;
AgevsCortThick;R_precuneus_thickavg;-0.309;;;;;;;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;0.151;;;;;;;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;0.001;;;;;;;
AgevsCortThick;R_superiorfrontal_thickavg;-0.167;;;;;;;
AgevsCortThick;R_superiorparietal_thickavg;-0.258;;;;;;;
AgevsCortThick;R_superiortemporal_thickavg;-0.322;;;;;;;
AgevsCortThick;R_supramarginal_thickavg;-0.275;;;;;;;
AgevsCortThick;R_frontalpole_thickavg;-0.025;;;;;;;
AgevsCortThick;R_temporalpole_thickavg;-0.158;;;;;;;
AgevsCortThick;R_transversetemporal_thickavg;-0.211;;;;;;;
AgevsCortThick;R_insula_thickavg;-0.159;;;;;;;
