Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
AgevsCortThick;L_bankssts_thickavg;-0.216;;;;;;0.1348;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;-0.056;;;;;;0.0002;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.258;;;;;;0.5413;
AgevsCortThick;L_cuneus_thickavg;-0.159;;;;;;0.0025;
AgevsCortThick;L_entorhinal_thickavg;-0.004;;;;;;0.7225;
AgevsCortThick;L_fusiform_thickavg;-0.182;;;;;;0.1722;
AgevsCortThick;L_inferiorparietal_thickavg;-0.23;;;;;;0.2081;
AgevsCortThick;L_inferiortemporal_thickavg;-0.144;;;;;;0.0449;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.224;;;;;;0.5258;
AgevsCortThick;L_lateraloccipital_thickavg;-0.088;;;;;;0.2683;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.191;;;;;;0.6571;
AgevsCortThick;L_lingual_thickavg;-0.216;;;;;;0.5093;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.153;;;;;;0.9359;
AgevsCortThick;L_middletemporal_thickavg;-0.218;;;;;;0.0033;
AgevsCortThick;L_parahippocampal_thickavg;-0.105;;;;;;0.2011;
AgevsCortThick;L_paracentral_thickavg;-0.225;;;;;;0.1578;
AgevsCortThick;L_parsopercularis_thickavg;-0.325;;;;;;0.4775;
AgevsCortThick;L_parsorbitalis_thickavg;-0.214;;;;;;0.0847;
AgevsCortThick;L_parstriangularis_thickavg;-0.29;;;;;;0.3120;
AgevsCortThick;L_pericalcarine_thickavg;-0.142;;;;;;0.1714;
AgevsCortThick;L_postcentral_thickavg;-0.226;;;;;;0.0441;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.254;;;;;;0.0227;
AgevsCortThick;L_precentral_thickavg;-0.29;;;;;;0;
AgevsCortThick;L_precuneus_thickavg;-0.262;;;;;;0.7903;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;-0.129;;;;;;0.0664;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.227;;;;;;0.5133;
AgevsCortThick;L_superiorfrontal_thickavg;-0.31;;;;;;0.6952;
AgevsCortThick;L_superiorparietal_thickavg;-0.176;;;;;;0.9745;
AgevsCortThick;L_superiortemporal_thickavg;-0.285;;;;;;0.0815;
AgevsCortThick;L_supramarginal_thickavg;-0.279;;;;;;0.3212;
AgevsCortThick;L_frontalpole_thickavg;-0.096;;;;;;0.0005;
AgevsCortThick;L_temporalpole_thickavg;-0.035;;;;;;0.0379;
AgevsCortThick;L_transversetemporal_thickavg;-0.206;;;;;;0.6329;
AgevsCortThick;L_insula_thickavg;-0.251;;;;;;0.3535;
AgevsCortThick;R_bankssts_thickavg;-0.234;;;;;;0.2366;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;-0.102;;;;;;0.0001;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.248;;;;;;0.8999;
AgevsCortThick;R_cuneus_thickavg;-0.169;;;;;;0.0112;
AgevsCortThick;R_entorhinal_thickavg;-0.002;;;;;;0.1436;
AgevsCortThick;R_fusiform_thickavg;-0.2;;;;;;0.0303;
AgevsCortThick;R_inferiorparietal_thickavg;-0.235;;;;;;0.1918;
AgevsCortThick;R_inferiortemporal_thickavg;-0.121;;;;;;0.0857;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.24;;;;;;0.0196;
AgevsCortThick;R_lateraloccipital_thickavg;-0.109;;;;;;0.8078;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.207;;;;;;0.0027;
AgevsCortThick;R_lingual_thickavg;-0.223;;;;;;0.1938;
AgevsCortThick;R_medialorbitofrontal_thickavg;-0.177;;;;;;0.0545;
AgevsCortThick;R_middletemporal_thickavg;-0.213;;;;;;0.0009;
AgevsCortThick;R_parahippocampal_thickavg;-0.11;;;;;;0.3844;
AgevsCortThick;R_paracentral_thickavg;-0.229;;;;;;0.0248;
AgevsCortThick;R_parsopercularis_thickavg;-0.315;;;;;;0.6346;
AgevsCortThick;R_parsorbitalis_thickavg;-0.193;;;;;;0.0043;
AgevsCortThick;R_parstriangularis_thickavg;-0.304;;;;;;0.4239;
AgevsCortThick;R_pericalcarine_thickavg;-0.155;;;;;;0.0415;
AgevsCortThick;R_postcentral_thickavg;-0.221;;;;;;0.3740;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.224;;;;;;0.0076;
AgevsCortThick;R_precentral_thickavg;-0.278;;;;;;0.0000;
AgevsCortThick;R_precuneus_thickavg;-0.258;;;;;;0.6332;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;-0.142;;;;;;0.0376;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.213;;;;;;0.2797;
AgevsCortThick;R_superiorfrontal_thickavg;-0.294;;;;;;0.6076;
AgevsCortThick;R_superiorparietal_thickavg;-0.167;;;;;;0.7408;
AgevsCortThick;R_superiortemporal_thickavg;-0.29;;;;;;0.0476;
AgevsCortThick;R_supramarginal_thickavg;-0.281;;;;;;0.0463;
AgevsCortThick;R_frontalpole_thickavg;-0.111;;;;;;0.0515;
AgevsCortThick;R_temporalpole_thickavg;-0.02;;;;;;0.0013;
AgevsCortThick;R_transversetemporal_thickavg;-0.196;;;;;;0.0427;
AgevsCortThick;R_insula_thickavg;-0.26;;;;;;0.1187;
