Surface Area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_P
HY4&5 PD vsCN;L_bankssts_thickavg;-0.162;18.36;-62.57;9.65;-2.70;299;74;0.150;
HY4&5 PD vsCN;L_caudalanteriorcingulate_thickavg;-0.091;15.48;-42.11;18.77;-1.92;325;82;0.451;
HY4&5 PD vsCN;L_caudalmiddlefrontal_thickavg;-0.073;38.09;-98.09;51.70;-1.06;327;82;0.543;
HY4&5 PD vsCN;L_cuneus_thickavg;-0.211;26.35;-96.61;7.03;-3.13;306;76;0.090;
HY4&5 PD vsCN;L_entorhinal_thickavg;-0.122;10.21;-30.25;9.90;-2.46;324;83;0.320;
HY4&5 PD vsCN;L_fusiform_thickavg;-0.251;40.88;-170.46;-9.69;-2.94;328;83;0.028;
HY4&5 PD vsCN;L_inferiorparietal_thickavg;-0.320;66.82;-316.36;-53.54;-4.17;312;81;0.006;
HY4&5 PD vsCN;L_inferiortemporal_thickavg;-0.405;50.55;-281.03;-82.19;-5.73;315;81;<0.001;
HY4&5 PD vsCN;L_isthmuscingulate_thickavg;0.015;17.65;-32.51;36.89;0.22;327;82;0.901;
HY4&5 PD vsCN;L_lateraloccipital_thickavg;-0.423;70.62;-395.94;-118.17;-5.50;319;78;<0.001;
HY4&5 PD vsCN;L_lateralorbitofrontal_thickavg;-0.320;30.05;-142.09;-23.90;-3.34;328;83;0.006;
HY4&5 PD vsCN;L_lingual_thickavg;-0.366;50.03;-251.44;-54.68;-5.20;325;78;0.002;
HY4&5 PD vsCN;L_medialorbitofrontal_thickavg;-0.351;23.73;-120.23;-26.91;-4.10;323;83;0.002;
HY4&5 PD vsCN;L_middletemporal_thickavg;-0.257;46.85;-194.34;-10.44;-3.49;305;77;0.029;
HY4&5 PD vsCN;L_parahippocampal_thickavg;-0.151;12.63;-41.47;8.18;-2.46;327;83;0.188;
HY4&5 PD vsCN;L_paracentral_thickavg;-0.095;21.92;-60.44;25.75;-1.32;326;83;0.429;
HY4&5 PD vsCN;L_parsopercularis_thickavg;-0.026;29.14;-63.49;51.11;-0.40;327;83;0.832;
HY4&5 PD vsCN;L_parsorbitalis_thickavg;-0.297;8.94;-40.49;-5.33;-3.77;327;83;0.011;
HY4&5 PD vsCN;L_parstriangularis_thickavg;-0.201;22.85;-84.23;5.65;-3.24;328;82;0.086;
