CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_p;;
HY2 PD vsCN;L_bankssts_thickavg;-0.104;0.010;-0.047;-0.008;-1.184;832;819; 0.006;;;
HY2 PD vsCN;L_caudalanteriorcingulate_thickavg;0.060;0.015;-0.008;0.050;0.815;901;928;0.150;;;
HY2 PD vsCN;L_caudalmiddlefrontal_thickavg;-0.100;0.008;-0.038;-0.005;-0.884;898;933;0.011;;;
HY2 PD vsCN;L_cuneus_thickavg;-0.121;0.008;-0.038;-0.009;-1.335;867;871;0.002;;;
HY2 PD vsCN;L_entorhinal_thickavg;-0.115;0.018;-0.083;-0.015;-1.518;899;912;0.005;;;
HY2 PD vsCN;L_fusiform_thickavg;-0.173;0.009;-0.057;-0.022;-1.531;901;922;<0.001;;;
HY2 PD vsCN;L_inferiorparietal_thickavg;-0.175;0.008;-0.051;-0.020;-1.558;875;899;<0.001;;;
HY2 PD vsCN;L_inferiortemporal_thickavg;-0.141;0.009;-0.050;-0.015;-1.219;867;905;<0.001;;;
HY2 PD vsCN;L_isthmuscingulate_thickavg;-0.160;0.011;-0.061;-0.020;-1.731;904;933;<0.001;;;
HY2 PD vsCN;L_lateraloccipital_thickavg;-0.131;0.008;-0.041;-0.010;-1.220;883;921;0.001;;;
HY2 PD vsCN;L_lateralorbitofrontal_thickavg;-0.073;0.008;-0.033;<0.001;-0.647;900;936;0.054;;;
HY2 PD vsCN;L_lingual_thickavg;-0.105;0.007;-0.034;-0.006;-1.028;891;903;0.006;;;
HY2 PD vsCN;L_medialorbitofrontal_thickavg;-0.111;0.009;-0.040;-0.006;-0.996;898;924;0.007;;;
HY2 PD vsCN;L_middletemporal_thickavg;-0.136;0.010;-0.051;-0.014;-1.214;846;854;<0.001;;;
HY2 PD vsCN;L_parahippocampal_thickavg;-0.173;0.016;-0.097;-0.035;-2.533;902;937;<0.001;;;
HY2 PD vsCN;L_paracentral_thickavg;-0.103;0.010;-0.044;-0.007;-1.134;901;929;0.008;;;
HY2 PD vsCN;L_parsopercularis_thickavg;0.005;0.008;-0.015;0.017;0.041;905;935;0.902;;;
HY2 PD vsCN;L_parsorbitalis_thickavg;-0.064;0.011;-0.038;0.004;-0.668;903;931;0.109;;;
HY2 PD vsCN;L_parstriangularis_thickavg;-0.029;0.008;-0.022;0.010;-0.278;905;935;0.443;;;
