CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;
HY2PDvsH3YPD;L_bankssts_thickavg;-0.165;0.015;-0.071;-0.013;-1.831;919;229;0.005;;;;;;;;;;;;;
HY2PDvsH3YPD;L_caudalanteriorcingulate_thickavg;-0.058;0.022;-0.064;0.023;-0.778;1046;257;0.356;;;;;;;;;;;;;
HY2PDvsH3YPD;L_caudalmiddlefrontal_thickavg;-0.116;0.013;-0.049;<0.001;-1.027;1051;259;0.053;;;;;;;;;;;;;
HY2PDvsH3YPD;L_cuneus_thickavg;-0.126;0.012;-0.049;-0.001;-1.407;980;225;0.045;;;;;;;;;;;;;
HY2PDvsH3YPD;L_entorhinal_thickavg;-0.165;0.027;-0.123;-0.019;-2.206;1028;259;0.008;;;;;;;;;;;;;
HY2PDvsH3YPD;L_fusiform_thickavg;-0.186;0.013;-0.069;-0.016;-1.661;1038;254;0.002;;;;;;;;;;;;;
HY2PDvsH3YPD;L_inferiorparietal_thickavg;-0.233;0.012;-0.070;-0.023;-2.054;1015;250;<0.001;;;;;;;;;;;;;
HY2PDvsH3YPD;L_inferiortemporal_thickavg;-0.183;0.014;-0.071;-0.015;-1.627;1020;234;0.003;;;;;;;;;;;;;
HY2PDvsH3YPD;L_isthmuscingulate_thickavg;-0.151;0.015;-0.067;-0.007;-1.611;1052;259;0.016;;;;;;;;;;;;;
HY2PDvsH3YPD;L_lateraloccipital_thickavg;-0.148;0.012;-0.052;-0.006;-1.389;1036;248;0.015;;;;;;;;;;;;;
HY2PDvsH3YPD;L_lateralorbitofrontal_thickavg;-0.141;0.013;-0.058;-0.006;-1.267;1055;260;0.016;;;;;;;;;;;;;
HY2PDvsH3YPD;L_lingual_thickavg;-0.185;0.011;-0.055;-0.013;-1.766;1020;244;0.002;;;;;;;;;;;;;
HY2PDvsH3YPD;L_medialorbitofrontal_thickavg;0.002;0.013;-0.026;0.027;0.015;1042;256;0.979;;;;;;;;;;;;;
HY2PDvsH3YPD;L_middletemporal_thickavg;-0.237;0.014;-0.083;-0.027;-2.073;960;231;<0.001;;;;;;;;;;;;;
HY2PDvsH3YPD;L_parahippocampal_thickavg;-0.093;0.024;-0.082;0.011;-1.411;1055;259;0.133;;;;;;;;;;;;;
HY2PDvsH3YPD;L_paracentral_thickavg;-0.113;0.015;-0.057;0.001;-1.272;1047;257;0.056;;;;;;;;;;;;;
HY2PDvsH3YPD;L_parsopercularis_thickavg;-0.117;0.012;-0.048;<0.001;-1.014;1053;259;0.048;;;;;;;;;;;;;
HY2PDvsH3YPD;L_parsorbitalis_thickavg;-0.082;0.016;-0.052;0.010;-0.836;1050;260;0.179;;;;;;;;;;;;;
HY2PDvsH3YPD;L_parstriangularis_thickavg;-0.172;0.013;-0.061;-0.012;-1.593;1053;260;0.004;;;;;;;;;;;;;
HY2PDvsH3YPD;L_pericalcarine_thickavg;-0.055;0.012;-0.035;0.012;-0.732;976;219;0.349;;;;;;;;;;;;;
HY2PDvsH3YPD;L_postcentral_thickavg;-0.101;0.011;-0.040;0.002;-0.970;1002;248;0.075;;;;;;;;;;;;;
