CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;%diff;n_controls;n_patients;pobs;;
HY3 PD vsCN;L_bankssts_thickavg;-0.172;0.017;-0.081;-0.013;-2.077;459;227;0.007;;
HY3 PD vsCN;L_caudalanteriorcingulate_thickavg;0.087;0.025;-0.017;0.080;1.226;497;255;0.204;;
HY3 PD vsCN;L_caudalmiddlefrontal_thickavg;-0.0258;0.014;-0.082;-0.028;-2.308;499;258;<0.001;;
HY3 PD vsCN;L_cuneus_thickavg;-0.129;0.013;-0.052;-0.001;-1.521;475;223;0.039;;
HY3 PD vsCN;L_entorhinal_thickavg;-0.276;0.029;-0.174;-0.062;-3.672;499;257;<0.001;;
HY3 PD vsCN;L_fusiform_thickavg;-0.372;0.014;-0.117;-0.061;-3.476;499;252;<0.001;;
HY3 PD vsCN;L_inferiorparietal_thickavg;-0.359;0.013;-0.103;-0.051;-3.427;483;248;<0.001;;
HY3 PD vsCN;L_inferiortemporal_thickavg;-0.336;0.014;-0.106;-0.049;-2.928;481;232;<0.001;;
HY3 PD vsCN;L_isthmuscingulate_thickavg;-0.283;0.017;-0.107;-0.039;-3.154;501;257;<0.001;;
HY3 PD vsCN;L_lateraloccipital_thickavg;-0.220;0.013;-0.071;-0.020;-2.210;489;246;<0.001;;
HY3 PD vsCN;L_lateralorbitofrontal_thickavg;-0.166;0.014;-0.062;-0.008;-1.397;500;258;0.011;;
HY3 PD vsCN;L_lingual_thickavg;-0.217;0.012;-0.068;-0.020;-2.320;490;242;<0.001;;
HY3 PD vsCN;L_medialorbitofrontal_thickavg;-0.005;0.014;-0.029;0.027;-0.048;496;254;0.937;;
HY3 PD vsCN;L_middletemporal_thickavg;-0.311;0.016;-0.109;-0.048;-2.954;470;229;<0.001;;
HY3 PD vsCN;L_parahippocampal_thickavg;-0.183;0.028;-0.128;-0.020;-2.895;499;257;0.007;;
HY3 PD vsCN;L_paracentral_thickavg;-0.211;0.015;-0.085;-0.025;-2.466;498;255;<0.001;;
HY3 PD vsCN;L_parsopercularis_thickavg;-0.095;0.013;-0.047;0.005;-0.868;501;257;0.119;;
HY3 PD vsCN;L_parsorbitalis_thickavg;-0.121;0.018;-0.071;0.002;-1.371;499;258;0.061;;
HY3 PD vsCN;L_parstriangularis_thickavg;-0.165;0.014;-0.064;-0.011;-1.663;501;258;0.006;;
HY3 PD vsCN;L_pericalcarine_thickavg;-0.031;0.013;-0.032;0.019;-0.436;473;217;0.607;;
HY3 PD vsCN;L_postcentral_thickavg;-0.077;0.012;-0.039;0.008;-0.810;481;246;0.186;;
HY3 PD vsCN;L_posteriorcingulate_thickavg;-0.094;0.015;-0.050;0.007;-0.907;500;257;0.145;;
HY3 PD vsCN;L_precentral_thickavg;-0.244;0.015;-0.088;-0.031;-2.522;480;245;<0.001;;
HY3 PD vsCN;L_precuneus_thickavg;-0.267;0.013;-0.085;-0.034;-2.701;501;255;<0.001;;
