Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;;;;;;;;;;;;
APS< HC;L_bankssts_thickavg;-0.07;;-0.15;0.01;;;0.08;;;;;;;;;;;;;;;
APS< HC;L_caudalanteriorcingulate_thickavg;-0.02;;-0.1;0.06;;;0.60;;;;;;;;;;;;;;;
APS< HC;L_caudalmiddlefrontal_thickavg;-0.06;;-0.13;0.02;;;0.16;;;;;;;;;;;;;;;
APS< HC;L_cuneus_thickavg;-0.07;;-0.14;0.01;;;0.09;;;;;;;;;;;;;;;
APS< HC;L_entorhinal_thickavg;-0.11;;-0.18;-0.03;;;5.67e-03;;;;;;;;;;;;;;;
APS< HC;L_fusiform_thickavg;-0.04;;-0.12;0.03;;;0.27;;;;;;;;;;;;;;;
APS< HC;L_inferiorparietal_thickavg;-0.06;;-0.14;0.02;;;0.13;;;;;;;;;;;;;;;
APS< HC;L_inferiortemporal_thickavg;-0.04;;-0.12;0.04;;;0.29;;;;;;;;;;;;;;;
APS< HC;L_isthmuscingulate_thickavg;-0.01;;-0.09;0.06;;;0.72;;;;;;;;;;;;;;;
APS< HC;L_lateraloccipital_thickavg;0;;-0.08;0.07;;;0.93;;;;;;;;;;;;;;;
APS< HC;L_lateralorbitofrontal_thickavg;-0.02;;-0.1;0.05;;;0.59;;;;;;;;;;;;;;;
APS< HC;L_lingual_thickavg;-0.05;;-0.13;0.02;;;0.16;;;;;;;;;;;;;;;
APS< HC;L_medialorbitofrontal_thickavg;-0.02;;-0.09;0.06;;;0.66;;;;;;;;;;;;;;;
APS< HC;L_middletemporal_thickavg;0;;-0.07;0.08;;;0.95;;;;;;;;;;;;;;;
APS< HC;L_parahippocampal_thickavg;-0.04;;-0.11;0.04;;;0.37;;;;;;;;;;;;;;;
APS< HC;L_paracentral_thickavg;-0.03;;-0.1;0.05;;;0.50;;;;;;;;;;;;;;;
APS< HC;L_parsopercularis_thickavg;-0.09;;-0.17;-0.01;;;0.02;;;;;;;;;;;;;;;
APS< HC;L_parsorbitalis_thickavg;0.01;;-0.07;0.09;;;0.78;;;;;;;;;;;;;;;
APS< HC;L_parstriangularis_thickavg;-0.07;;-0.14;0.01;;;0.08;;;;;;;;;;;;;;;
