Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
APS< GRD;L_bankssts_thickavg;-0.03;;0.18;-0.24;;;0.81;
APS< GRD;L_caudalanteriorcingulate_thickavg;0.04;;0.25;-0.16;;;0.68;
APS< GRD;L_caudalmiddlefrontal_thickavg;-0.07;;0.14;-0.27;;;0.54;
APS< GRD;L_cuneus_thickavg;-0.03;;0.18;-0.24;;;0.75;
APS< GRD;L_entorhinal_thickavg;0.07;;0.13;-0.28;;;0.48;
APS< GRD;L_fusiform_thickavg;0.08;;0.29;-0.12;;;0.43;
APS< GRD;L_inferiorparietal_thickavg;0.04;;0.24;-0.17;;;0.72;
APS< GRD;L_inferiortemporal_thickavg;-0.01;;0.2;-0.21;;;0.94;
APS< GRD;L_isthmuscingulate_thickavg;0.03;;0.24;-0.17;;;0.76;
APS< GRD;L_lateraloccipital_thickavg;0.18;;0.39;-0.03;;;0.09;
APS< GRD;L_lateralorbitofrontal_thickavg;-0.09;;0.11;-0.3;;;0.37;
APS< GRD;L_lingual_thickavg;0.08;;0.28;-0.13;;;0.47;
APS< GRD;L_medialorbitofrontal_thickavg;0.01;;0.22;-0.19;;;0.91;
APS< GRD;L_middletemporal_thickavg;-0.04;;0.17;-0.24;;;0.72;
APS< GRD;L_parahippocampal_thickavg;0.06;;0.27;-0.14;;;0.56;
APS< GRD;L_paracentral_thickavg;-0.02;;0.18;-0.23;;;0.83;
APS< GRD;L_parsopercularis_thickavg;-0.12;;0.09;-0.33;;;0.25;
APS< GRD;L_parsorbitalis_thickavg;-0.13;;0.07;-0.34;;;0.21;
APS< GRD;L_parstriangularis_thickavg;-0.12;;0.09;-0.32;;;0.27;
APS< GRD;L_pericalcarine_thickavg;-0.05;;0.16;-0.26;;;0.64;
APS< GRD;L_postcentral_thickavg;0.05;;0.26;-0.15;;;0.62;
APS< GRD;L_posteriorcingulate_thickavg;0.09;;0.3;-0.12;;;0.39;
APS< GRD;L_precentral_thickavg;0.01;;0.22;-0.2;;;0.91;
APS< GRD;L_precuneus_thickavg;0.12;;0.33;-0.08;;;0.25;
APS< GRD;L_rostralanteriorcingulate_thickavg;-0.14;;0.06;-0.35;;;0.18;
APS< GRD;L_rostralmiddlefrontal_thickavg;0.10;;0.31;-0.11;;;0.35;
APS< GRD;L_superiorfrontal_thickavg;-0.21;;0;-0.41;;;0.05;
APS< GRD;L_superiorparietal_thickavg;-0.03;;0.18;-0.24;;;0.77;
APS< GRD;L_superiortemporal_thickavg;-0.01;;0.2;-0.22;;;0.92;
APS< GRD;L_supramarginal_thickavg;0.04;;0.25;-0.17;;;0.70;
APS< GRD;L_frontalpole_thickavg;-0.06;;0.15;-0.26;;;0.59;
APS< GRD;L_temporalpole_thickavg;-0.01;;0.2;-0.22;;;0.92;
APS< GRD;L_transversetemporal_thickavg;-0.11;;0.09;-0.32;;;0.29;
APS< GRD;L_insula_thickavg;-0.07;;0.14;-0.28;;;0.51;
APS< GRD;R_bankssts_thickavg;0.09;;0.3;-0.12;;;0.39;
APS< GRD;R_caudalanteriorcingulate_thickavg;-0.07;;0.13;-0.28;;;0.50;
APS< GRD;R_caudalmiddlefrontal_thickavg;-0.16;;0.05;-0.37;;;0.13;
