Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no GRD< HC;L_bankssts_thickavg;-0.06;;-0.14;0.01;;;0.09;
no GRD< HC;L_caudalanteriorcingulate_thickavg;-0.02;;-0.09;0.06;;;0.65;
no GRD< HC;L_caudalmiddlefrontal_thickavg;-0.05;;-0.13;0.02;;;0.15;
no GRD< HC;L_cuneus_thickavg;-0.07;;-0.14;0.01;;;0.09;
no GRD< HC;L_entorhinal_thickavg;-0.10;;-0.18;-0.03;;;6.71e-03;
no GRD< HC;L_fusiform_thickavg;-0.04;;-0.11;0.04;;;0.36;
no GRD< HC;L_inferiorparietal_thickavg;-0.05;;-0.13;0.02;;;0.17;
no GRD< HC;L_inferiortemporal_thickavg;-0.03;;-0.1;0.05;;;0.51;
no GRD< HC;L_isthmuscingulate_thickavg;-0.02;;-0.09;0.06;;;0.69;
no GRD< HC;L_lateraloccipital_thickavg;0.01;;-0.06;0.09;;;0.76;
no GRD< HC;L_lateralorbitofrontal_thickavg;-0.03;;-0.10;0.05;;;0.50;
no GRD< HC;L_lingual_thickavg;-0.06;;-0.14;0.01;;;0.11;
no GRD< HC;L_medialorbitofrontal_thickavg;-0.02;;-0.09;0.06;;;0.65;
no GRD< HC;L_middletemporal_thickavg;0.02;;-0.06;0.09;;;0.69;
no GRD< HC;L_parahippocampal_thickavg;-0.04;;-0.12;0.03;;;0.27;
no GRD< HC;L_paracentral_thickavg;-0.02;;-0.09;0.06;;;0.67;
no GRD< HC;L_parsopercularis_thickavg;-0.09;;-0.17;-0.02;;;0.02;
no GRD< HC;L_parsorbitalis_thickavg;0.02;;-0.06;0.09;;;0.69;
no GRD< HC;L_parstriangularis_thickavg;-0.07;;-0.15;0;;;0.06;
no GRD< HC;L_pericalcarine_thickavg;-0.06;;-0.13;0.02;;;0.13;
no GRD< HC;L_postcentral_thickavg;0.01;;-0.06;0.09;;;0.73;
no GRD< HC;L_posteriorcingulate_thickavg;-0.04;;-0.12;-0.12;;;0.24;
no GRD< HC;L_precentral_thickavg;0.05;;-0.02;0.13;;;0.18;
no GRD< HC;L_precuneus_thickavg;-0.03;;-0.11;0.04;;;0.42;
no GRD< HC;L_rostralanteriorcingulate_thickavg;-0.11;;-0.19;-0.04;;;3.19e-03;
no GRD< HC;L_rostralmiddlefrontal_thickavg;-0.01;;-0.09;0.06;;;0.74;
no GRD< HC;L_superiorfrontal_thickavg;-0.05;;-0.12;0.03;;;0.24;
no GRD< HC;L_superiorparietal_thickavg;0.01;;-0.07;0.08;;;0.84;
