Surface area;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;;
psychosisvsCN;L_bankssts_thickavg;-0,07;;-0,14;0;;;0,05;0,11;;;
psychosisvsCN;L_caudalanteriorcingulate_thickavg;-0,01;;-0,08;0,06;;;0,73;0,81;;;
psychosisvsCN;L_caudalmiddlefrontal_thickavg;-0,05;;-0,12;0,02;;;0,17;0,29;;;
psychosisvsCN;L_cuneus_thickavg;-0,05;;-0,12;0,02;;;0,2;0,32;;;
psychosisvsCN;L_entorhinal_thickavg;-0,09;;-0,16;-0,02;;;0,01;0,04;;;
psychosisvsCN;L_fusiform_thickavg;-0,05;;-0,12;0,03;;;0,21;0,32;;;
psychosisvsCN;L_inferiorparietal_thickavg;-0,06;;-0,13;0,01;;;0,1;0,19;;;
psychosisvsCN;L_inferiortemporal_thickavg;-0,03;;-0,1;0,04;;;0,45;0,62;;;
psychosisvsCN;L_isthmuscingulate_thickavg;0;;-0,07;0,07;;;0,98;0,99;;;
psychosisvsCN;L_lateraloccipital_thickavg;0;;-0,07;0,07;;;0,99;0,99;;;
psychosisvsCN;L_lateralorbitofrontal_thickavg;-0,02;;-0,09;0,05;;;0,64;0,76;;;
psychosisvsCN;L_lingual_thickavg;-0,05;;-0,12;0,02;;;0,16;0,27;;;
psychosisvsCN;L_medialorbitofrontal_thickavg;-0,01;;-0,08;0,06;;;0,73;0,81;;;
psychosisvsCN;L_middletemporal_thickavg;0,02;;-0,06;0,09;;;0,67;0,78;;;
psychosisvsCN;L_parahippocampal_thickavg;-0,04;;-0,12;0,03;;;0,22;0,33;;;
psychosisvsCN;L_paracentral_thickavg;0;;-0,07;0,07;;;0,95;0,97;;;
psychosisvsCN;L_parsopercularis_thickavg;-0,09;;-0,16;-0,02;;;9,85E-03;0,03;;;
psychosisvsCN;L_parsorbitalis_thickavg;0,03;;-0,04;0,1;;;0,47;0,62;;;
psychosisvsCN;L_parstriangularis_thickavg;-0,05;;-0,12;0,02;;;0,15;0,27;;;
