CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
BIPS < HC;L_bankssts_thickavg;-0.04;;-0.26;0.17;;;0.69;
BIPS < HC;L_caudalanteriorcingulate_thickavg;-0.20;;-0.42;0.01;;;0.06;
BIPS < HC;L_caudalmiddlefrontal_thickavg;-0.18;;-0.39;0.04;;;0.10;
BIPS < HC;L_cuneus_thickavg;0.26;;0.04;0.48;;;0.02;
BIPS < HC;L_entorhinal_thickavg;-0.28;;-0.5;-0.07;;;9.04e-03;
BIPS < HC;L_fusiform_thickavg;-0.17;;-0.38;0.04;;;0.11;
BIPS < HC;L_inferiorparietal_thickavg;-0.25;;-0.46;-0.04;;;0.02;
BIPS < HC;L_inferiortemporal_thickavg;-0.09;;-0.3;0.12;;;0.41;
BIPS < HC;L_isthmuscingulate_thickavg;-0.19;;-0.4;0.02;;;0.08;
BIPS < HC;L_lateraloccipital_thickavg;-0.11;;-0.32;0.11;;;0.33;
BIPS < HC;L_lateralorbitofrontal_thickavg;0.05;;-0.16;0.26;;;0.64;
BIPS < HC;L_lingual_thickavg;0.11;;-0.11;0.33;;;0.32;
BIPS < HC;L_medialorbitofrontal_thickavg;0.03;;-0.18;0.25;;;0.77;
BIPS < HC;L_middletemporal_thickavg;-0.10;;-0.31;0.12;;;0.38;
BIPS < HC;L_parahippocampal_thickavg;-0.09;;-0.3;0.13;;;0.43;
BIPS < HC;L_paracentral_thickavg;-0.05;;-0.27;0.16;;;0.63;
BIPS < HC;L_parsopercularis_thickavg;0.15;;-0.07;0.36;;;0.18;
BIPS < HC;L_parsorbitalis_thickavg;-0.06;;-0.27;0.16;;;0.61;
BIPS < HC;L_parstriangularis_thickavg;0.04;;-0.17;0.26;;;0.69;
BIPS < HC;L_pericalcarine_thickavg;0.25;;0.03;0.47;;;0.03;
BIPS < HC;L_postcentral_thickavg;-0.02;;-0.24;0.19;;;0.84;
BIPS < HC;L_posteriorcingulate_thickavg;-0.17;;-0.38;0.05;;;0.13;
BIPS < HC;L_precentral_thickavg;-0.11;;-0.33;0.1;;;0.30;
BIPS < HC;L_precuneus_thickavg;-0.02;;-0.23;0.19;;;0.86;
BIPS < HC;L_rostralanteriorcingulate_thickavg;-0.12;;-0.34;0.09;;;0.26;
BIPS < HC;L_rostralmiddlefrontal_thickavg;-0.10;;-0.31;0.12;;;0.37;
BIPS < HC;L_superiorfrontal_thickavg;-0.09;;-0.3;0.12;;;0.41;
BIPS < HC;L_superiorparietal_thickavg;0;;-0.21;0.22;;;0.97;
BIPS < HC;L_superiortemporal_thickavg;-0.11;;-0.33;0.1;;;0.31;
BIPS < HC;L_supramarginal_thickavg;-0.10;;-0.31;0.11;;;0.36;
BIPS < HC;L_frontalpole_thickavg;0.10;;-0.11;0.31;;;0.36;
BIPS < HC;L_temporalpole_thickavg;-0.14;;-0.35;0.07;;;0.19;
BIPS < HC;L_transversetemporal_thickavg;-0.11;;-0.33;0.1;;;0.30;
BIPS < HC;L_insula_thickavg;-0.08;;-0.29;0.13;;;0.47;
BIPS < HC;R_bankssts_thickavg;-0.02;;-0.23;0.19;;;0.87;
BIPS < HC;R_caudalanteriorcingulate_thickavg;-0.15;;-0.36;0.06;;;0.17;
BIPS < HC;R_caudalmiddlefrontal_thickavg;-0.02;;-0.24;0.19;;;0.83;
