CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
no BIPS< HC;L_bankssts_thickavg;-0.08;;-0.16;-0.01;;;0.02;
no BIPS< HC;L_caudalanteriorcingulate_thickavg;-0.06;;-0.13;0.01;;;0.11;
no BIPS< HC;L_caudalmiddlefrontal_thickavg;-0.09;;-0.17;-0.02;;;0.01;
no BIPS< HC;L_cuneus_thickavg;0.01;;-0.06;0.09;;;0.74;
no BIPS< HC;L_entorhinal_thickavg;0;;-0.08;0.07;;;0.92;
no BIPS< HC;L_fusiform_thickavg;-0.15;;-0.22;-0.08;;;5.03e-05;
no BIPS< HC;L_inferiorparietal_thickavg;-0.15;;-0.22;-0.08;;;6.27e-05;
no BIPS< HC;L_inferiortemporal_thickavg;-0.11;;-0.18;-0.03;;;4.23e-03;
no BIPS< HC;L_isthmuscingulate_thickavg;-0.01;;-0.08;0.07;;;0.86;
no BIPS< HC;L_lateraloccipital_thickavg;-0.10;;-0.17;-0.03;;;6.85e-03;
no BIPS< HC;L_lateralorbitofrontal_thickavg;-0.07;;-0.14;0;;;0.06;
no BIPS< HC;L_lingual_thickavg;-0.03;;-0.1;0.05;;;0.50;
no BIPS< HC;L_medialorbitofrontal_thickavg;-0.12;;-0.2;-0.05;;;9.98e-04;
no BIPS< HC;L_middletemporal_thickavg;-0.09;;-0.16;-0.01;;;0.02;
no BIPS< HC;L_parahippocampal_thickavg;-0.12;;-0.19;-0.05;;;1.52e-03;
no BIPS< HC;L_paracentral_thickavg;-0.14;;-0.21;-0.07;;;1.91e-04;
no BIPS< HC;L_parsopercularis_thickavg;-0.05;;-0.12;0.03;;;0.23;
no BIPS< HC;L_parsorbitalis_thickavg;-0.04;;-0.11;0.03;;;0.27;
no BIPS< HC;L_parstriangularis_thickavg;0.03;;-0.04;0.1;;;0.44;
no BIPS< HC;L_pericalcarine_thickavg;0.02;;-0.05;0.09;;;0.58;
no BIPS< HC;L_postcentral_thickavg;-0.09;;-0.16;-0.01;;;0.02;
no BIPS< HC;L_posteriorcingulate_thickavg;-0.09;;-0.16;-0.01;;;0.02;
no BIPS< HC;L_precentral_thickavg;-0.11;;-0.18;-0.03;;;4.25e-03;
no BIPS< HC;L_precuneus_thickavg;-0.10;;-0.17;-0.03;;;8.51e-03;
