CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
APS < GRD;L_bankssts_thickavg;-0.16;;0.05;-0.37;;;0.14;
APS < GRD;L_caudalanteriorcingulate_thickavg;-0.06;;0.15;-0.27;;;0.58;
APS < GRD;L_caudalmiddlefrontal_thickavg;-0.11;;0.09;-0.32;;;0.28;
APS < GRD;L_cuneus_thickavg;-0.09;;0.12;-0.3;;;0.40;
APS < GRD;L_entorhinal_thickavg;0.07;;0.27;-0.14;;;0.52;
APS < GRD;L_fusiform_thickavg;-0.17;;0.04;-0.37;;;0.12;
APS < GRD;L_inferiorparietal_thickavg;-0.21;;-0.01;-0.42;;;0.04;
APS < GRD;L_inferiortemporal_thickavg; 0.08;;0.29;-0.13;;;0.45;
APS < GRD;L_isthmuscingulate_thickavg;-0.05;;0.16;-0.25;;;0.66;
APS < GRD;L_lateraloccipital_thickavg;-0.20;;0.01;-0.4;;;0.07;
APS < GRD;L_lateralorbitofrontal_thickavg;-0.16;;0.05;-0.36;;;0.14;
APS < GRD;L_lingual_thickavg;-0.11;;0.1;-0.32;;;0.32;
APS < GRD;L_medialorbitofrontal_thickavg;0.02;;0.22;-0.19;;;0.88;
APS < GRD;L_middletemporal_thickavg;-0.05;;0.15;-0.26;;;0.62;
APS < GRD;L_parahippocampal_thickavg;-0.01;;0.2;-0.22;;;0.92;
APS < GRD;L_paracentral_thickavg;-0.15;;0.05;-0.36;;;0.14;
APS < GRD;L_parsopercularis_thickavg;-0.05;;0.16;-0.25;;;0.66;
APS < GRD;L_parsorbitalis_thickavg;-0.05;;0.16;-0.26;;;0.64;
APS < GRD;L_parstriangularis_thickavg;0.08;;0.29;-0.12;;;0.42;
APS < GRD;L_pericalcarine_thickavg;-0.10;;0.1;-0.31;;;0.33;
APS < GRD;L_postcentral_thickavg;0.09;;0.3;-0.12;;;0.40;
APS < GRD;L_posteriorcingulate_thickavg;-0.13;;0.08;-0.34;;;0.22;
APS < GRD;L_precentral_thickavg;-0.05;;0.16;-0.25;;;0.66;
APS < GRD;L_precuneus_thickavg;-0.20;;0.01;-0.41;;;0.06;
APS < GRD;L_rostralanteriorcingulate_thickavg;0.03;;0.23;-0.18;;;0.79;
APS < GRD;L_rostralmiddlefrontal_thickavg;-0.14;;0.06;-0.35;;;0.17;
APS < GRD;L_superiorfrontal_thickavg;-0.08;;0.13;-0.29;;;0.45;
APS < GRD;L_superiorparietal_thickavg;-0.15;;0.06;-0.35;;;0.17;
APS < GRD;L_superiortemporal_thickavg;-0.11;;0.1;-0.32;;;0.32;
APS < GRD;L_supramarginal_thickavg;0.05;;0.26;-0.16;;;0.63;
APS < GRD;L_frontalpole_thickavg;-0.06;;0.15;-0.27;;;0.58;
APS < GRD;L_temporalpole_thickavg;0.03;;0.24;-0.18;;;0.79;
APS < GRD;L_transversetemporal_thickavg;0.02;;0.23;-0.18;;;0.81;
APS < GRD;L_insula_thickavg;0.06;;0.27;-0.14;;;0.56;
APS < GRD;R_bankssts_thickavg;-0.04;;0.17;-0.25;;;0.73;
APS < GRD;R_caudalanteriorcingulate_thickavg;-0.29;;-0.08;-0.5;;;6.30e-03;
APS < GRD;R_caudalmiddlefrontal_thickavg;-0.21;;0;-0.41;;;0.05;
APS < GRD;R_cuneus_thickavg;-0.02;;0.19;-0.23;;;0.84;
APS < GRD;R_entorhinal_thickavg;0.09;;0.3;-0.12;;;0.40;
APS < GRD;R_fusiform_thickavg;-0.02;;0.19;-0.22;;;0.87;
APS < GRD;R_inferiorparietal_thickavg;-0.23;;-0.03;-0.44;;;0.03;
APS < GRD;R_inferiortemporal_thickavg;0;;0.21;-0.21;;;1;
APS < GRD;R_isthmuscingulate_thickavg;-0.03;;0.17;-0.24;;;0.77;
APS < GRD;R_lateraloccipital_thickavg;-0.07;;0.14;-0.28;;;0.52;
APS < GRD;R_lateralorbitofrontal_thickavg;-0.12;;0.08;-0.33;;;0.24;
APS < GRD;R_lingual_thickavg;-0.05;;0.16;-0.26;;;0.62;
APS < GRD;R_medialorbitofrontal_thickavg;-0.12;;0.08;-0.33;;;0.24;
APS < GRD;R_middletemporal_thickavg;-0.14;;0.07;-0.35;;;0.20;
APS < GRD;R_parahippocampal_thickavg;0.02;;0.23;-0.18;;;0.84;
APS < GRD;R_paracentral_thickavg;-0.12;;0.09;-0.32;;;0.27;
APS < GRD;R_parsopercularis_thickavg;-0.05;;0.16;-0.25;;;0.65;
APS < GRD;R_parsorbitalis_thickavg;0.12;;0.33;-0.1;;;0.28;
APS < GRD;R_parstriangularis_thickavg;0;;0.21;-0.21;;;1;
APS < GRD;R_pericalcarine_thickavg;-0.12;;0.09;-0.33;;;0.25;
APS < GRD;R_postcentral_thickavg;-0.12;;0.09;-0.32;;;0.27;
APS < GRD;R_posteriorcingulate_thickavg;-0.08;;0.13;-0.29;;;0.46;
APS < GRD;R_precentral_thickavg;-0.18;;0.03;-0.38;;;0.10;
APS < GRD;R_precuneus_thickavg;-0.03;;0.18;-0.24;;;0.78;
APS < GRD;R_rostralanteriorcingulate_thickavg;0.03;;0.23;-0.18;;;0.81;
APS < GRD;R_rostralmiddlefrontal_thickavg;-0.04;;0.17;-0.25;;;0.70;
