CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
CHR-PS+ < CHR-PS-;L_bankssts_thickavg;0;;-0.18;0.18;;;1;
CHR-PS+ < CHR-PS-;L_caudalanteriorcingulate_thickavg;0.01;;-0.16;0.19;;;0.86;
CHR-PS+ < CHR-PS-;L_caudalmiddlefrontal_thickavg;-0.10;;-0.27;0.08;;;0.17;
CHR-PS+ < CHR-PS-;L_cuneus_thickavg;-0.08;;-0.26;0.1;;;0.26;
CHR-PS+ < CHR-PS-;L_entorhinal_thickavg;-0.09;;-0.26;0.09;;;0.20;
CHR-PS+ < CHR-PS-;L_fusiform_thickavg;-0.14;;-0.32;0.03;;;0.04;
CHR-PS+ < CHR-PS-;L_inferiorparietal_thickavg;-0.06;;-0.23;0.12;;;0.39;
CHR-PS+ < CHR-PS-;L_inferiortemporal_thickavg;-0.08;;-0.25;0.1;;;0.26;
CHR-PS+ < CHR-PS-;L_isthmuscingulate_thickavg;-0.02;;-0.2;0.15;;;0.74;
CHR-PS+ < CHR-PS-;L_lateraloccipital_thickavg;-0.10;;-0.28;0.07;;;0.15;
CHR-PS+ < CHR-PS-;L_lateralorbitofrontal_thickavg;-0.08;;-0.26;0.09;;;0.25;
CHR-PS+ < CHR-PS-;L_lingual_thickavg;-0.01;;-0.19;0.16;;;0.87;
CHR-PS+ < CHR-PS-;L_medialorbitofrontal_thickavg;0.08;;-0.1;0.25;;;0.28;
CHR-PS+ < CHR-PS-;L_middletemporal_thickavg;-0.10;;-0.27;0.08;;;0.15;
CHR-PS+ < CHR-PS-;L_parahippocampal_thickavg;0.02;;-0.16;0.19;;;0.80;
CHR-PS+ < CHR-PS-;L_paracentral_thickavg;-0.20;;-0.38;-0.03;;;3.73e-03;
CHR-PS+ < CHR-PS-;L_parsopercularis_thickavg;0.03;;-0.15;0.2;;;0.72;
CHR-PS+ < CHR-PS-;L_parsorbitalis_thickavg;-0.05 ;;-0.23;0.12;;;0.46;
CHR-PS+ < CHR-PS-;L_parstriangularis_thickavg;-0.03;;-0.21;0.14;;;0.64;
CHR-PS+ < CHR-PS-;L_pericalcarine_thickavg;-0.01;;-0.18;0.17;;;0.92;
CHR-PS+ < CHR-PS-;L_postcentral_thickavg;-0.04;;-0.22;0.13;;;0.55;
CHR-PS+ < CHR-PS-;L_posteriorcingulate_thickavg;0.03;;-0.14;0.21;;;0.62;
CHR-PS+ < CHR-PS-;L_precentral_thickavg;0;;-0.17;0.18;;;0.96;
CHR-PS+ < CHR-PS-;L_precuneus_thickavg;0.01;;-0.17;0.18;;;0.94;
CHR-PS+ < CHR-PS-;L_rostralanteriorcingulate_thickavg;-0.06;;-0.24;0.11;;;0.35;
CHR-PS+ < CHR-PS-;L_rostralmiddlefrontal_thickavg;-0.06;;-0.23;0.12;;;0.43;
CHR-PS+ < CHR-PS-;L_superiorfrontal_thickavg;-0.01;;-0.19;0.16;;;0.88;
CHR-PS+ < CHR-PS-;L_superiorparietal_thickavg;-0.05;;-0.23;0.12;;;0.45;
CHR-PS+ < CHR-PS-;L_superiortemporal_thickavg;-0.13;;-0.31;0.04;;;0.04;
CHR-PS+ < CHR-PS-;L_supramarginal_thickavg;0;;-0.18;0.17;;;0.97;
CHR-PS+ < CHR-PS-;L_frontalpole_thickavg;-0.07;;-0.24;0.11;;;0.34;
CHR-PS+ < CHR-PS-;L_temporalpole_thickavg;-0.05;;-0.23;0.12;;;0.46;
CHR-PS+ < CHR-PS-;L_transversetemporal_thickavg;-0.07;;-0.25;0.1;;;0.30;
CHR-PS+ < CHR-PS-;L_insula_thickavg;-0.01;;-0.19;0.16;;;0.86;
CHR-PS+ < CHR-PS-;R_bankssts_thickavg;-0.09;;-0.27;0.08;;;0.19;
CHR-PS+ < CHR-PS-;R_caudalanteriorcingulate_thickavg;-0.01;;-0.18;0.17;;;0.91;
CHR-PS+ < CHR-PS-;R_caudalmiddlefrontal_thickavg;-0.02;;-0.2;0.15;;;0.76;
CHR-PS+ < CHR-PS-;R_cuneus_thickavg;-0.05;;-0.22;0.13;;;0.52;
CHR-PS+ < CHR-PS-;R_entorhinal_thickavg;-0.10;;-0.28;0.07;;;0.14;
