CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
CHR-PS- < HC;L_bankssts_thickavg;-0.11;;-0.19;-0.04;;;4.00e-03;
CHR-PS- < HC;L_caudalanteriorcingulate_thickavg;-0.07;;-0.15;0.01;;;0.07;
CHR-PS- < HC;L_caudalmiddlefrontal_thickavg;-0.13;;-0.2;-0.05;;;1.33e-03;
CHR-PS- < HC;L_cuneus_thickavg;0.01;;-0.06;0.09;;;0.74;
CHR-PS- < HC;L_entorhinal_thickavg;0;;-0.08;0.08;;;0.97;
CHR-PS- < HC;L_fusiform_thickavg;-0.15;;-0.23;-0.07;;;1.38e-04;
CHR-PS- < HC;L_inferiorparietal_thickavg;-0.17;;-0.24;-0.09;;;2.28e-05;
CHR-PS- < HC;L_inferiortemporal_thickavg;-0.11;;-0.19;-0.03;;;4.48e-03;
CHR-PS- < HC;L_isthmuscingulate_thickavg;-0.02;;-0.1;0.05;;;0.54;
CHR-PS- < HC;L_lateraloccipital_thickavg;-0.12;;-0.19;-0.04;;;3.40e-03;
CHR-PS- < HC;L_lateralorbitofrontal_thickavg;-0.07;;-0.15;0;;;0.06;
CHR-PS- < HC;L_lingual_thickavg;-0.05;;-0.13;0.03;;;0.21;
CHR-PS- < HC;L_medialorbitofrontal_thickavg;-0.15;;-0.22;-0.07;;;2.39e-04;
CHR-PS- < HC;L_middletemporal_thickavg;-0.07;;-0.15;0.01;;;0.07;
CHR-PS- < HC;L_parahippocampal_thickavg;-0.13;;-0.21;-0.06;;;6.19e-04;
CHR-PS- < HC;L_paracentral_thickavg;-0.13;;-0.21;-0.05;;;1.20e-03;
CHR-PS- < HC;L_parsopercularis_thickavg;-0.06;;-0.14;0.01;;;0.11;
CHR-PS- < HC;L_parsorbitalis_thickavg;-0.04;;-0.12;0.04;;;0.32;
CHR-PS- < HC;L_parstriangularis_thickavg;0.01;;-0.06;0.09;;;0.74;
CHR-PS- < HC;L_pericalcarine_thickavg;0.01;;-0.07;0.09;;;0.78;
CHR-PS- < HC;L_postcentral_thickavg;-0.10;;-0.18;-0.03;;;9.50e-03;
CHR-PS- < HC;L_posteriorcingulate_thickavg;-0.10;;-0.18;-0.03;;;8.53e-03;
CHR-PS- < HC;L_precentral_thickavg;-0.15;;-0.23;-0.07;;;1.25e-04;
CHR-PS- < HC;L_precuneus_thickavg;-0.12;;-0.2;-0.04;;;2.61e-03;
