CorticalThickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p
GRD< no GRD;L_bankssts_thickavg;0.03;;-0.1;0.17;;;0.62;
GRD< no GRD;L_caudalanteriorcingulate_thickavg;0.05;;-0.09;0.19;;;0.49;
GRD< no GRD;L_caudalmiddlefrontal_thickavg;-0.02;;-0.15;0.12;;;0.79;
GRD< no GRD;L_cuneus_thickavg;0.05;;-0.09;0.19;;;0.47;
GRD< no GRD;L_entorhinal_thickavg;-0.06;;-0.2;0.07;;;0.36;
GRD< no GRD;L_fusiform_thickavg;0.05;;-0.09;0.18;;;0.52;
GRD< no GRD;L_inferiorparietal_thickavg;0.03;;-0.11;0.16;;;0.68;
GRD< no GRD;L_inferiortemporal_thickavg;0;;-0.13;0.14;;;0.95;
GRD< no GRD;L_isthmuscingulate_thickavg;0;;-0.14;0.13;;;0.99;
GRD< no GRD;L_lateraloccipital_thickavg;0.08;;-0.06;0.21;;;0.27;
GRD< no GRD;L_lateralorbitofrontal_thickavg;0.12;;-0.02;0.25;;;0.09;
GRD< no GRD;L_lingual_thickavg;0.05;;-0.08;0.19;;;0.44;
GRD< no GRD;L_medialorbitofrontal_thickavg;0.09;;-0.04;0.23;;;0.18;
GRD< no GRD;L_middletemporal_thickavg;0.06;;-0.07;0.2;;;0.35;
GRD< no GRD;L_parahippocampal_thickavg;-0.01;;-0.15;0.12;;;0.86;
GRD< no GRD;L_paracentral_thickavg;0.01;;-0.13;0.15;;;0.88;
GRD< no GRD;L_parsopercularis_thickavg;-0.05;;-0.19;0.08;;;0.46;
GRD< no GRD;L_parsorbitalis_thickavg;-0.01;;-0.15;0.12;;;0.85;
GRD< no GRD;L_parstriangularis_thickavg;-0.08;;-0.22;0.05;;;0.22;
GRD< no GRD;L_pericalcarine_thickavg;0.11;;-0.03;0.24;;;0.13;
GRD< no GRD;L_postcentral_thickavg;-0.10;;-0.24;0.04;;;0.15;
GRD< no GRD;L_posteriorcingulate_thickavg;0.02;;-0.12;0.16;;;0.77;
GRD< no GRD;L_precentral_thickavg;-0.06;;-0.19;0.08;;;0.41;
GRD< no GRD;L_precuneus_thickavg;0.01;;-0.12;0.15;;;0.86;
GRD< no GRD;L_rostralanteriorcingulate_thickavg;-0.04;;-0.17;0.1;;;0.59;
GRD< no GRD;L_rostralmiddlefrontal_thickavg;0.05;;-0.09;0.19;;;0.47;
GRD< no GRD;L_superiorfrontal_thickavg;-0.06;;-0.2;0.07;;;0.35;
GRD< no GRD;L_superiorparietal_thickavg;-0.03;;-0.16;0.11;;;0.69;
GRD< no GRD;L_superiortemporal_thickavg;0.02;;-0.12;0.16;;;0.79;
GRD< no GRD;L_supramarginal_thickavg;-0.09;;-0.23;0.04;;;0.19;
GRD< no GRD;L_frontalpole_thickavg;0.06;;-0.08;0.19;;;0.41;
GRD< no GRD;L_temporalpole_thickavg;0.15;;0.01;0.28;;;0.04;
GRD< no GRD;L_transversetemporal_thickavg;-0.07;;-0.21;0.06;;;0.31;
GRD< no GRD;L_insula_thickavg;-0.07;;-0.21;0.06;;;0.31;
GRD< no GRD;R_bankssts_thickavg;-0.04;;-0.17;0.1;;;0.61;
GRD< no GRD;R_caudalanteriorcingulate_thickavg;0.14;;0;0.27;;;0.05;
GRD< no GRD;R_caudalmiddlefrontal_thickavg;0.01;;-0.12;0.15;;;0.87;
GRD< no GRD;R_cuneus_thickavg;0;;-0.14;0.13;;;0.98;
GRD< no GRD;R_entorhinal_thickavg;-0.08;;-0.21;0.06;;;0.27;
GRD< no GRD;R_fusiform_thickavg;-0.04;;-0.17;0.1;;;0.60;
GRD< no GRD;R_inferiorparietal_thickavg;0.04;;-0.09;0.18;;;0.54;
GRD< no GRD;R_inferiortemporal_thickavg;-0.07;;-0.2;0.07;;;0.33;
GRD< no GRD;R_isthmuscingulate_thickavg;-0.05;;-0.19;0.08;;;0.45;
GRD< no GRD;R_lateraloccipital_thickavg;-0.05;;-0.18;0.09;;;0.51;
GRD< no GRD;R_lateralorbitofrontal_thickavg;0;;-0.14;0.13;;;0.98;
GRD< no GRD;R_lingual_thickavg;0.01;;-0.13;0.15;;;0.90;
GRD< no GRD;R_medialorbitofrontal_thickavg;0.09;;-0.05;0.22;;;0.22;
GRD< no GRD;R_middletemporal_thickavg;0.03;;-0.1;0.17;;;0.63;
GRD< no GRD;R_parahippocampal_thickavg;0;;-0.13;0.14;;;0.97;
GRD< no GRD;R_paracentral_thickavg;-0.01;;-0.15;0.13;;;0.88;
GRD< no GRD;R_parsopercularis_thickavg;-0.09;;-0.23;0.04;;;0.18;
GRD< no GRD;R_parsorbitalis_thickavg;-0.08;;-0.22;0.05;;;0.24;
GRD< no GRD;R_parstriangularis_thickavg;-0.05;;-0.18;0.09;;;0.50;
GRD< no GRD;R_pericalcarine_thickavg;0.04;;-0.1;0.17;;;0.61;
GRD< no GRD;R_postcentral_thickavg;0.01;;-0.12;0.15;;;0.87;
GRD< no GRD;R_posteriorcingulate_thickavg;-0.01;;-0.15;0.12;;;0.88;
GRD< no GRD;R_precentral_thickavg;0.03;;-0.11;0.17;;;0.66;
GRD< no GRD;R_precuneus_thickavg;-0.14;;-0.27;0;;;0.05;
GRD< no GRD;R_rostralanteriorcingulate_thickavg;-0.03;;-0.16;0.11;;;0.68;
GRD< no GRD;R_rostralmiddlefrontal_thickavg;0;;-0.14;0.13;;;0.96;
GRD< no GRD;R_superiorfrontal_thickavg;0.01;;-0.13;0.15;;;0.88;
GRD< no GRD;R_superiorparietal_thickavg;0.04;;-0.09;0.18;;;0.54;
GRD< no GRD;R_superiortemporal_thickavg;-0.03;;-0.17;0.1;;;0.63;
GRD< no GRD;R_supramarginal_thickavg;0.04;;-0.09;0.18;;;0.53;
GRD< no GRD;R_frontalpole_thickavg;0.01;;-0.13;0.15;;;0.90;
GRD< no GRD;R_temporalpole_thickavg;0.08;;-0.06;0.22;;;0.25;
GRD< no GRD;R_transversetemporal_thickavg;-0.02;;-0.15;0.12;;;0.82;
GRD< no GRD;R_insula_thickavg;0.03;;-0.1;0.17;;;0.64;
;;;;;;;;;
